"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n","SQ","dsiSQ_E1_sec","SQ_","dsiSQ_E1_pob"
"1",319,5,5,5,1282,2,2,3,1,0,0,1,0,0,1,0,0,2,0.444,2,0.442
"20",451,5,5,5,715,2,3,3,1,0,0,1,0,0,1,0,0,2,0.444,2,0.442
"22",463,4,4,4,1991,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0,4,0.621,4,NA
"52",495,3,3,3,1785,2,6,5,1,0,0,0.796,0.088,0.117,0.76,0.104,0.135,6,0.676,6,NA
"75",580,2,2,2,671,2,5,1,0,1,0,0.481,0.321,0.198,0.643,0.209,0.147,5,0.615,5,NA
"226",213,1,1,1,938,2,1,4,1,0,0,1,0,0,0.991,0,0.009,1,0.722,1,NA
"446",1,7,7,7,1952,2,14,15,1,0,0,0.901,0.079,0.02,0.874,0.116,0.011,14,0.324,14,NA
"506",68,6,6,6,755,2,15,16,1,0,0,0.766,0.227,0.008,0.988,0,0.012,14,0.396,14,0.56
"642",1049,10,10,10,7721,2,13,7,1,0,0,0.93,0.053,0.017,1,0,0,13,0.315,13,0.304
"644",1120,17,17,17,710,2,11,8,1,0,0,1,0,0,1,0,0,11,0.482,11,0.53
"934",868,11,11,11,982,2,12,10,1,0,0,1,0,0,1,0,0,9,0.603,9,0.605
"950",884,13,13,13,1603,2,10,9,1,0,0,1,0,0,1,0,0,12,0.453,12,0.414
"1128",735,16,16,16,2750,2,8,11,1,0,0,0.949,0.036,0.014,0.926,0.053,0.021,8,0.688,8,0.796
"1139",746,11,11,11,1146,2,9,10,1,0,0,1,0,0,1,0,0,9,0.603,9,0.605
"1572",694,12,12,12,1939,2,7,6,1,0,0,0.61,0.073,0.317,0.758,0.099,0.143,13,0.11,13,0.127
"1644",1190,14,14,14,2956,2,16,13,1,0,0,0.856,0.136,0.008,0.886,0.098,0.016,13,0.114,13,NA
"1923",1194,7,7,7,5564,2,17,15,0,1,0,0.889,0.111,0,0.874,0.116,0.011,14,0.324,14,NA
