"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n","SQ","dsiSQ_E1_sec","SQ_","dsiSQ_E1_pob"
"1",1,4,4,4,864,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186,11,0.319,11,0.261
"18",18,2,4,4,1331,3,10,4,1,0,0,0.789,0.211,0,0.349,0.465,0.186,10,0.484,10,0.658
"40",40,4,4,4,988,3,11,4,0,0,1,0.25,0.417,0.333,0.349,0.465,0.186,11,0.319,11,0.261
"63",63,3,4,4,89,3,12,4,0,1,0,0.3,0.65,0.05,0.349,0.465,0.186,15,0.295,15,0.271
"73",75,1,1,1,1123,3,13,1,0,0,1,0.529,0.235,0.235,0.469,0.375,0.156,14,0.6,14,0.793
"90",92,1,3,3,1871,3,14,3,0,0,1,0.583,0.25,0.167,0.391,0.391,0.217,14,0.6,14,0.793
"102",105,3,3,3,302,3,15,3,0,1,0,0.133,0.667,0.2,0.391,0.391,0.217,15,0.295,15,0.271
"117",184,15,15,15,295,3,3,15,1,0,0,0.957,0,0.043,0.541,0.243,0.216,5,0.412,5,NA
"123",207,15,15,15,704,3,5,15,1,0,0,0.657,0.257,0.086,0.541,0.243,0.216,5,0.412,5,NA
"142",226,13,13,13,1407,3,4,13,1,0,0,0.845,0.024,0.131,1,0,0,3,0.326,3,0.267
"176",267,12,12,12,2090,3,6,12,0,1,0,0,0.85,0.15,0.314,0.543,0.143,6,0.571,6,0.512
"250",121,12,12,12,1400,3,1,12,0,0,1,0.947,0,0.053,0.314,0.543,0.143,6,0.571,6,0.512
"288",159,11,11,11,505,3,2,11,1,0,0,1,0,0,1,0,0,1,0.431,1,0.429
"353",290,9,9,9,1536,3,16,9,0,0,1,0.75,0,0.25,0.273,0.091,0.636,8,0.067,8,0.062
"361",298,9,9,9,18276,3,7,9,0,0,1,0.667,0.222,0.111,0.273,0.091,0.636,8,0.067,8,0.062
"390",328,5,5,5,2635,3,8,5,1,0,0,0.928,0.014,0.058,1,0,0,8,0.15,8,0.198
