"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,2,15,14,1952,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
2,1,2,15,14,2013,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
3,1,2,15,14,1875,7,7,1,0,0,0,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
4,1,2,15,14,2273,7,7,1,0,0,0,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
5,1,2,15,14,496,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
6,1,2,15,14,1723,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
7,1,2,15,14,594,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
8,1,2,15,14,1679,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
9,1,2,15,14,1296,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
10,1,2,15,14,1289,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
11,1,2,16,14,2910,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
12,1,2,16,14,5599,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
13,1,2,16,14,21096,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
14,1,2,16,14,17781,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
15,1,2,16,14,1936,6,6,1,0,0,0,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
16,1,2,16,14,1784,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
17,1,2,16,14,3285,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
18,1,2,16,14,2121,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
19,1,2,16,14,1371,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
20,1,2,15,14,1829,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
21,1,2,15,14,842,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
22,1,2,15,14,906,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
23,1,2,15,14,1117,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
24,1,2,15,14,1358,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
25,1,2,15,14,1038,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
26,1,2,15,14,960,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
27,1,2,15,14,1473,7,7,1,0,0,0,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
28,1,2,16,14,376,6,6,1,0,0,0,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
29,1,2,16,14,1082,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
30,1,2,16,14,1610,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
31,1,2,16,14,702,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
32,1,2,16,14,2033,6,6,1,0,0,0,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
33,1,2,16,14,2326,6,6,1,0,0,0,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
34,1,2,16,14,1794,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
35,1,2,16,14,3438,6,6,1,0,0,0,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
36,1,2,16,14,5283,6,6,1,0,0,0,1,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
37,1,2,16,14,3384,6,6,1,0,0,0,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
38,1,2,16,14,2353,6,6,1,0,0,0,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
39,1,2,16,14,1672,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
40,1,2,16,14,2041,6,6,1,0,0,0,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
41,1,2,16,14,1292,6,6,1,0,0,1,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
42,1,2,16,14,1124,6,6,1,0,0,0,0,0,184293,3013030,0,0.875603624317767,0.9617134607583,14,1,6,1,0.883,0.116,0.019,0.857,0.143,0,14,1,6,1,6,6
43,1,2,15,14,726,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
44,1,2,15,14,800,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
45,1,2,15,14,866,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
46,1,2,15,14,836,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
47,1,2,15,14,807,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,1,7,1,0.883,0.116,0.019,0.857,0.143,0,14,1,7,1,7,7
