"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,17,3,9,2107,3,3,0,1,1,0,1,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
2,1,17,3,9,1198,3,3,0,1,1,0,1,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
3,1,17,3,9,1207,3,3,1,0,0,0,1,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
4,1,17,3,9,2153,3,3,0,1,1,0,0,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
5,1,17,3,9,761,3,3,0,1,0,0,0,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
6,1,17,3,9,2123,3,3,1,0,0,0,1,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
7,1,17,3,9,1317,3,3,1,0,0,0,1,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
8,1,17,3,9,1752,3,3,1,0,0,0,0,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
9,1,17,3,9,1927,3,3,0,1,0,0,0,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
10,1,17,3,9,1674,3,3,1,0,0,0,0,1,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
11,1,17,3,9,660,3,3,0,1,0,0,1,0,105145,1777227,0,1.25347323608695,0.939034983435573,9,1,3,1,0.411,0.589,0.232,0,0.95,0.05,9,1,3,1,3,3
12,2,17,6,13,2745,6,6,0,1,1,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
13,2,17,6,13,2250,6,6,0,1,1,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
14,2,17,6,13,1689,6,6,1,0,0,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
15,2,17,6,13,1765,6,6,0,1,1,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
16,2,17,6,13,848,6,6,0,1,0,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
17,2,17,6,13,1481,6,6,0,1,0,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
18,2,17,6,13,3464,6,6,0,1,0,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
19,2,17,6,13,3963,6,6,0,1,0,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
20,2,17,6,13,63,6,6,1,0,0,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
21,2,17,6,13,878,6,6,1,0,0,0,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
22,2,17,6,13,512,6,6,1,0,0,1,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
23,2,17,6,13,354,6,6,1,0,0,1,0,0,111921,1777227,0,1.12714857053704,0.882183266172866,17,1,6,1,0.381,0.619,0.175,0.3,0.3,0.4,17,1,6,1,6,6
24,3,17,2,18,3542,2,2,1,0,0,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
25,3,17,2,18,1325,2,2,1,0,0,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
26,3,17,2,18,3849,2,2,1,0,0,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
27,3,17,2,18,1551,2,2,0,1,1,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
28,3,17,2,18,1906,2,2,1,0,0,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
29,3,17,2,18,2769,2,2,0,1,1,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
30,3,17,2,18,1466,2,2,1,0,0,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
31,3,17,2,18,2044,2,2,0,1,1,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
32,3,17,2,18,770,2,2,0,1,1,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
33,3,17,2,18,2068,2,2,1,0,0,0,0,0,103919,1777227,0,0.950113389595101,0.950113389595101,18,1,2,1,0.468,0.533,0.208,0.182,0.636,0.182,18,1,2,1,2,2
