"seccion","munn","edon","disloc2015","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2015","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,23,11,7,9704,3,7,1,0,0,0,0,0,87740,1258416,0,0.959220681217914,0.956170503761112,7,0.771,8,0.275,1,0,0,0,1,0,7,0.811,8,0.281,4,4
4,1,23,14,7,2764,8,7,1,0,0,0,0,0,89935,1258416,0,0.959220681217914,0.932833713237338,7,0.771,8,0.771,1,0,0,0,1,0,7,0.811,8,0.811,7,7
5,1,23,14,7,5428,8,7,1,0,0,0,0,0,89935,1258416,0,0.959220681217914,0.932833713237338,7,0.771,8,0.771,1,0,0,0,1,0,7,0.811,8,0.811,7,7
6,1,23,14,7,1299,8,7,1,0,0,0,0,0,89935,1258416,0,0.959220681217914,0.932833713237338,7,0.771,8,0.771,1,0,0,0,1,0,7,0.811,8,0.811,7,7
7,1,23,8,7,1892,8,7,1,0,0,0,1,0,85146,1258416,0,0.959220681217914,0.985300542597421,7,0.771,8,0.771,1,0,0,0,1,0,7,0.811,8,0.811,7,7
8,1,23,11,7,1170,8,7,1,0,0,0,0,0,87740,1258416,0,0.959220681217914,0.956170503761112,7,0.771,8,0.771,1,0,0,0,1,0,7,0.811,8,0.811,7,7
9,1,23,11,7,875,8,7,1,0,0,0,0,0,87740,1258416,0,0.959220681217914,0.956170503761112,7,0.771,8,0.771,1,0,0,0,1,0,7,0.811,8,0.811,7,7
10,1,23,11,7,918,8,7,1,0,0,0,0,0,87740,1258416,0,0.959220681217914,0.956170503761112,7,0.771,8,0.771,1,0,0,0,1,0,7,0.811,8,0.811,7,7
13,1,23,13,3,3202,1,3,1,0,0,0,0,0,88044,1258416,0,1.09295848043878,0.952869020035437,3,0.246,1,0.432,1,0,0,NA,NA,NA,3,0.323,1,0.477,1,1
14,1,23,13,3,5245,4,3,1,0,0,0,0,0,88044,1258416,0,1.09295848043878,0.952869020035437,3,0.246,1,0.707,1,0,0,NA,NA,NA,3,0.323,1,0.636,5,5
15,1,23,13,5,3811,4,5,1,0,0,0,0,0,88044,1258416,0,1.17102258451746,0.952869020035437,5,0.707,4,0.707,1,0,0,0.4,0.6,0,5,0.636,4,0.636,5,5
16,1,23,13,5,10929,4,5,1,0,0,0,0,0,88044,1258416,0,1.17102258451746,0.952869020035437,5,0.707,4,0.707,1,0,0,0.4,0.6,0,5,0.636,4,0.636,5,5
18,1,23,9,5,1853,4,5,1,0,0,0,1,0,87999,1258416,0,1.17102258451746,0.953356288139638,5,0.707,4,0.707,1,0,0,0.4,0.6,0,5,0.636,4,0.636,5,5
19,1,23,9,5,1921,4,5,1,0,0,0,0,0,87999,1258416,0,1.17102258451746,0.953356288139638,5,0.707,4,0.707,1,0,0,0.4,0.6,0,5,0.636,4,0.636,5,5
20,1,23,12,5,1805,3,5,1,0,0,0,0,0,87832,1258416,0,1.17102258451746,0.955168958921578,5,0.707,4,0.275,1,0,0,0.4,0.6,0,5,0.636,4,0.281,4,4
21,1,23,12,4,1031,3,4,1,0,0,0,0,0,87832,1258416,0,0.952804088586031,0.955168958921578,4,0.333,5,0.275,1,0,0,0.556,0.444,0,4,0.375,5,0.281,4,4
22,1,23,12,4,1216,3,4,1,0,0,0,0,0,87832,1258416,0,0.952804088586031,0.955168958921578,4,0.333,5,0.275,1,0,0,0.556,0.444,0,4,0.375,5,0.281,4,4
