"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
1,1,1,11,6,2331,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
2,1,1,11,6,1165,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
3,1,1,11,10,1986,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
4,1,1,11,10,1793,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
5,1,1,11,10,824,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
6,1,1,11,10,766,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
7,1,1,11,10,887,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
8,1,1,11,6,1274,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
9,1,1,11,6,1295,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
10,1,1,11,6,1277,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
11,1,1,11,10,1454,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
12,1,1,11,10,919,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
13,1,1,11,10,917,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
14,1,1,11,10,1084,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
15,1,1,11,10,1196,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
16,1,1,11,6,992,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
17,1,1,11,6,1194,11,11,1,0,0,1,0,0,65516,1160287,0,0.985828817484957,0.983887735650664,6,0.605,11,0.605,0.951,0.048,0.024,1,0,0,6,0.426,11,0.426
18,1,1,11,10,1194,11,11,1,0,0,1,0,0,65516,1160287,0,0.96513481095523,0.983887735650664,6,0.605,13,0.572,0.867,0.133,0.044,0.974,0.026,0,6,0.426,13,0.458
19,1,1,13,10,1189,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
20,1,1,13,10,1192,13,13,1,0,0,1,0,0,67045,1160287,0,0.96513481095523,0.96144960681466,10,0.572,13,0.572,0.867,0.133,0.044,0.974,0.026,0,10,0.458,13,0.458
21,1,1,13,6,1496,13,13,1,0,0,1,0,0,67045,1160287,0,0.985828817484957,0.96144960681466,10,0.572,11,0.605,0.951,0.048,0.024,1,0,0,10,0.458,11,0.426
22,1,1,13,6,808,13,13,1,0,0,0,0,0,67045,1160287,0,0.985828817484957,0.96144960681466,10,0.572,11,0.605,0.951,0.048,0.024,1,0,0,10,0.458,11,0.426
23,1,1,13,6,1157,13,13,1,0,0,1,0,0,67045,1160287,0,0.985828817484957,0.96144960681466,10,0.572,11,0.605,0.951,0.048,0.024,1,0,0,10,0.458,11,0.426
24,1,1,13,6,739,13,13,1,0,0,1,0,0,67045,1160287,0,0.985828817484957,0.96144960681466,10,0.572,11,0.605,0.951,0.048,0.024,1,0,0,10,0.458,11,0.426
25,1,1,13,6,1050,13,13,1,0,0,1,0,0,67045,1160287,0,0.985828817484957,0.96144960681466,10,0.572,11,0.605,0.951,0.048,0.024,1,0,0,10,0.458,11,0.426
26,1,1,13,6,1324,13,13,1,0,0,1,0,0,67045,1160287,0,0.985828817484957,0.96144960681466,10,0.572,11,0.605,0.951,0.048,0.024,1,0,0,10,0.458,11,0.426
27,1,1,13,6,634,13,13,1,0,0,1,0,0,67045,1160287,0,0.985828817484957,0.96144960681466,10,0.572,11,0.605,0.951,0.048,0.024,1,0,0,10,0.458,11,0.426
