"seccion","munn","edon","disloc2018","disloc2011","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2011","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
1,1,3,4,9,864,4,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,11,0.261,2,0.269,0.56,0.44,0.2,0,0,1,11,0.319,2,0.343
2,1,3,4,9,769,4,4,0,1,1,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,11,0.261,2,0.269,0.56,0.44,0.2,0,0,1,11,0.319,2,0.343
3,1,3,4,9,2154,2,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,10,0.658,2,0.269,0.56,0.44,0.2,0,0,1,10,0.484,2,0.343
4,1,3,4,9,713,2,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,10,0.658,2,0.269,0.56,0.44,0.2,0,0,1,10,0.484,2,0.343
5,1,3,4,9,1292,2,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,10,0.658,2,0.269,0.56,0.44,0.2,0,0,1,10,0.484,2,0.343
6,1,3,4,9,1046,4,4,1,0,0,0,0,0,34508,573075,0,1.94373405871819,1.0379386663962,11,0.261,2,0.269,0.56,0.44,0.2,0,0,1,11,0.319,2,0.343
7,1,3,4,9,1254,4,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,11,0.261,2,0.269,0.56,0.44,0.2,0,0,1,11,0.319,2,0.343
8,1,3,4,9,625,2,4,1,0,0,0,0,0,34508,573075,0,1.94373405871819,1.0379386663962,10,0.658,2,0.269,0.56,0.44,0.2,0,0,1,10,0.484,2,0.343
9,1,3,4,9,427,2,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,10,0.658,2,0.269,0.56,0.44,0.2,0,0,1,10,0.484,2,0.343
10,1,3,4,9,1829,2,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,10,0.658,2,0.269,0.56,0.44,0.2,0,0,1,10,0.484,2,0.343
