"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
1,1,24,4,4,1602,4,1,1,0,0,1,0,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
2,1,24,4,4,2706,4,1,1,0,0,1,0,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
3,1,24,4,4,358,4,1,0,1,0,0,0,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
4,1,24,4,4,560,4,1,0,1,0,0,0,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
5,1,24,4,4,357,4,1,0,1,0,0,0,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
6,1,24,4,4,2030,4,1,0,1,0,1,0,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
7,1,24,4,4,1667,4,1,0,1,0,1,0,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
8,1,24,4,4,2175,4,1,0,1,0,0,0,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
9,1,24,4,4,395,4,1,0,1,0,0,0,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
10,1,24,4,4,201,4,1,0,1,0,0,1,0,169372,2534093,0,0.997446646041455,0.997446646041455,4,0.541,4,0.541,0.07,0.93,0.095,0.34,0.64,0.02,4,0.505,4,0.505
