"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
1,1,29,8,3,1538,10,8,0,1,1,0,0,1,76223,1169936,0,0.99176283195143,1.02325719708399,11,0.226,5,0.592,0.71,0.291,0.097,0,0,1,11,0.222,5,0.545
2,1,29,8,3,3949,10,8,1,0,0,0,0,0,76223,1169936,0,0.99176283195143,1.02325719708399,11,0.226,5,0.592,0.71,0.291,0.097,0,0,1,11,0.222,5,0.545
3,1,29,8,3,3848,10,8,1,0,0,0,0,0,76223,1169936,0,0.99176283195143,1.02325719708399,11,0.226,5,0.592,0.71,0.291,0.097,0,0,1,11,0.222,5,0.545
4,1,29,8,3,832,10,8,0,1,1,0,0,0,76223,1169936,0,0.99176283195143,1.02325719708399,11,0.226,5,0.592,0.71,0.291,0.097,0,0,1,11,0.222,5,0.545
5,2,29,8,2,3165,7,8,1,0,0,0,0,0,76223,1169936,0,1.01629991000476,1.02325719708399,4,0.712,10,0.163,1,0,0,0,1,0,4,0.703,10,0.182
6,2,29,8,2,1143,7,8,1,0,0,0,0,0,76223,1169936,0,1.01629991000476,1.02325719708399,4,0.712,10,0.163,1,0,0,0,1,0,4,0.703,10,0.182
7,2,29,8,2,442,7,8,1,0,0,0,0,0,76223,1169936,0,1.01629991000476,1.02325719708399,4,0.712,10,0.163,1,0,0,0,1,0,4,0.703,10,0.182
8,2,29,8,2,2704,7,8,1,0,0,0,0,0,76223,1169936,0,1.01629991000476,1.02325719708399,4,0.712,10,0.163,1,0,0,0,1,0,4,0.703,10,0.182
9,2,29,8,2,2223,7,8,1,0,0,0,0,0,76223,1169936,0,1.01629991000476,1.02325719708399,4,0.712,10,0.163,1,0,0,0,1,0,4,0.703,10,0.182
10,2,29,8,2,3402,7,8,1,0,0,0,0,0,76223,1169936,0,1.01629991000476,1.02325719708399,4,0.712,10,0.163,1,0,0,0,1,0,4,0.703,10,0.182
11,2,29,8,2,1057,7,8,1,0,0,0,0,0,76223,1169936,0,1.01629991000476,1.02325719708399,4,0.712,10,0.163,1,0,0,0,1,0,4,0.703,10,0.182
12,3,29,4,15,1335,8,4,1,0,0,0,1,0,78035,1169936,0,0.984988625705737,0.999496806988317,15,0.276,8,0.276,0.743,0.257,0.114,0,1,0,15,0.396,8,0.396
13,3,29,4,16,2516,8,4,1,0,0,0,0,0,78035,1169936,0,0.841667859694206,0.999496806988317,15,0.276,8,0.46,0.743,0.257,0.057,0,0.889,0.111,15,0.396,8,0.327
14,3,29,4,16,6027,8,4,1,0,0,0,1,0,78035,1169936,0,0.841667859694206,0.999496806988317,15,0.276,8,0.46,0.743,0.257,0.057,0,0.889,0.111,15,0.396,8,0.327
15,3,29,4,16,2090,8,4,1,0,0,0,0,0,78035,1169936,0,0.841667859694206,0.999496806988317,15,0.276,8,0.46,0.743,0.257,0.057,0,0.889,0.111,15,0.396,8,0.327
16,3,29,4,15,1791,8,4,0,1,1,0,0,0,78035,1169936,0,0.984988625705737,0.999496806988317,15,0.276,8,0.276,0.743,0.257,0.114,0,1,0,15,0.396,8,0.396
17,3,29,4,15,1501,8,4,1,0,0,0,0,0,78035,1169936,0,0.984988625705737,0.999496806988317,15,0.276,8,0.276,0.743,0.257,0.114,0,1,0,15,0.396,8,0.396
18,3,29,4,15,1086,8,4,1,0,0,0,1,0,78035,1169936,0,0.984988625705737,0.999496806988317,15,0.276,8,0.276,0.743,0.257,0.114,0,1,0,15,0.396,8,0.396
19,3,29,4,16,1037,8,4,1,0,0,0,0,0,78035,1169936,0,0.841667859694206,0.999496806988317,15,0.276,8,0.46,0.743,0.257,0.057,0,0.889,0.111,15,0.396,8,0.327
20,3,29,4,16,1350,8,4,1,0,0,0,0,0,78035,1169936,0,0.841667859694206,0.999496806988317,15,0.276,8,0.46,0.743,0.257,0.057,0,0.889,0.111,15,0.396,8,0.327
21,3,29,4,16,568,8,4,1,0,0,0,0,0,78035,1169936,0,0.841667859694206,0.999496806988317,15,0.276,8,0.46,0.743,0.257,0.057,0,0.889,0.111,15,0.396,8,0.327
22,3,29,4,16,1785,8,4,1,0,0,0,1,0,78035,1169936,0,0.841667859694206,0.999496806988317,15,0.276,8,0.46,0.743,0.257,0.057,0,0.889,0.111,15,0.396,8,0.327
23,3,29,4,15,587,8,4,1,0,0,0,1,0,78035,1169936,0,0.984988625705737,0.999496806988317,15,0.276,8,0.276,0.743,0.257,0.114,0,1,0,15,0.396,8,0.396
