"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,14,2,3,1998,3,2,0,1,1,0,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
2,1,14,2,3,1409,3,2,1,0,0,0,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
3,1,14,2,3,2552,3,2,1,0,0,1,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
4,1,14,2,3,2703,3,2,0,1,1,1,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
5,1,14,2,3,2716,3,2,0,1,1,0,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
6,1,14,2,3,1865,3,2,1,0,0,0,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
7,1,14,2,3,729,3,2,0,1,0,0,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
8,1,14,2,3,317,3,2,0,1,0,0,1,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
9,1,14,2,3,230,3,2,0,1,0,0,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
10,1,14,2,3,3421,3,2,0,1,1,1,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
11,1,14,2,3,1949,3,2,0,1,0,1,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
12,1,14,2,3,1210,3,2,0,1,0,0,1,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,3,0.943,0.276,0.724,0.193,0.861,0.139,0,17,0.151,3,0.941,1,1
13,2,14,4,17,2431,8,4,0,1,1,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
14,2,14,4,17,1219,8,4,1,0,0,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
15,2,14,4,17,2365,8,4,0,1,1,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
16,2,14,4,17,3273,8,4,1,0,0,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
17,2,14,4,17,1368,8,4,0,1,1,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
18,2,14,4,17,3301,8,4,0,1,1,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
19,2,14,4,17,1468,8,4,1,0,0,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
20,2,14,4,17,1770,8,4,1,0,0,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
21,2,14,4,17,1008,8,4,1,0,0,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
22,2,14,4,17,2625,8,4,1,0,0,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
23,2,14,4,17,924,8,4,0,1,0,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,9,0.554,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,9,0.496,7,7
24,3,14,3,1,2618,8,3,0,1,1,0,1,0,354010,7224159,0,1.02033261772266,1.02033261772266,1,1,2,1,0.222,0.778,0.218,0.338,0.656,0.006,1,1,2,1,3,3
25,3,14,3,1,1152,8,3,0,1,1,0,1,0,354010,7224159,0,1.02033261772266,1.02033261772266,1,1,2,1,0.222,0.778,0.218,0.338,0.656,0.006,1,1,2,1,3,3
