"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,19,20,20,1144,3,1,0,1,1,0,1,0,139132,4405937,0,0.800260279023472,1.21797368962291,20,0.657,3,0.657,0.462,0.539,0.212,0,1,0,20,0.78,3,0.78,1,1
2,1,19,20,20,1644,3,1,0,1,1,0,1,0,139132,4405937,0,0.800260279023472,1.21797368962291,20,0.657,3,0.657,0.462,0.539,0.212,0,1,0,20,0.78,3,0.78,1,1
3,2,19,21,22,767,1,2,0,1,1,0,0,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
4,2,19,21,22,491,1,2,0,1,1,0,0,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
5,2,19,21,22,476,1,2,0,1,1,0,0,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
6,2,19,21,22,389,1,2,1,0,0,0,1,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
7,2,19,21,22,184,1,2,0,1,0,0,1,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
8,2,19,21,22,282,1,2,0,1,0,0,0,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
9,2,19,21,22,244,1,2,0,1,0,0,0,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
10,2,19,21,22,426,1,2,0,1,0,0,1,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
11,2,19,21,22,187,1,2,0,1,0,0,0,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
12,3,19,24,22,243,2,3,1,0,0,0,0,0,192265,4405937,0,0.595747255683342,0.881383067040883,24,0.327,2,0.628,0.389,0.611,0.176,0.163,0.837,0,24,0.308,2,0.389,6,6
13,3,19,24,22,354,2,3,0,1,1,0,0,0,192265,4405937,0,0.595747255683342,0.881383067040883,24,0.327,2,0.628,0.389,0.611,0.176,0.163,0.837,0,24,0.308,2,0.389,6,6
15,3,19,24,22,214,2,3,0,1,0,1,0,0,192265,4405937,0,0.595747255683342,0.881383067040883,24,0.327,2,0.628,0.389,0.611,0.176,0.163,0.837,0,24,0.308,2,0.389,6,6
16,3,19,24,22,202,2,3,0,1,0,0,0,0,192265,4405937,0,0.595747255683342,0.881383067040883,24,0.327,2,0.628,0.389,0.611,0.176,0.163,0.837,0,24,0.308,2,0.389,6,6
17,3,19,24,22,271,2,3,0,1,0,0,0,0,192265,4405937,0,0.595747255683342,0.881383067040883,24,0.327,2,0.628,0.389,0.611,0.176,0.163,0.837,0,24,0.308,2,0.389,6,6
18,3,19,24,22,20,2,3,0,1,0,0,0,0,192265,4405937,0,0.595747255683342,0.881383067040883,24,0.327,2,0.628,0.389,0.611,0.176,0.163,0.837,0,24,0.308,2,0.389,6,6
19,3,19,24,22,43,2,3,0,1,0,0,0,0,192265,4405937,0,0.595747255683342,0.881383067040883,24,0.327,2,0.628,0.389,0.611,0.176,0.163,0.837,0,24,0.308,2,0.389,6,6
20,4,19,26,24,7095,2,4,1,0,0,0,1,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
21,4,19,26,24,2786,2,4,1,0,0,0,0,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
22,4,19,26,24,1542,2,4,1,0,0,0,1,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
23,4,19,26,24,1452,2,4,1,0,0,0,1,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
24,4,19,26,24,663,2,4,1,0,0,0,0,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
25,4,19,26,24,1722,2,4,1,0,0,0,0,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
