"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,27,6,1,3737,18,6,0,1,1,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
2,1,27,6,1,2647,18,6,0,1,1,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
3,1,27,6,1,1447,18,6,1,0,0,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
4,1,27,6,1,1324,18,6,1,0,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
5,1,27,6,1,2012,18,6,0,1,1,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
6,1,27,6,1,779,18,6,0,1,1,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
7,1,27,6,1,1681,18,6,0,1,1,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
8,1,27,6,1,1682,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
9,1,27,6,1,1456,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
10,1,27,6,1,474,18,6,0,1,0,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
11,1,27,6,1,697,18,6,0,1,0,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
12,1,27,6,1,894,18,6,0,1,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
13,1,27,6,1,1547,18,6,0,1,1,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
14,1,27,6,1,948,18,6,1,0,0,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
15,1,27,6,1,1056,18,6,1,0,0,0,1,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
16,1,27,6,1,1031,18,6,1,0,0,0,0,0,115548,2238350,0,1.89089916865822,0.922457292537259,18,0.512,18,0.488,0.093,0.907,0.185,0,0.905,0.095,18,0.506,18,0.494,6,6
