"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,2,9,5,5,905,15,15,1,0,0,0,0,1,283053,8851017,0,1.13980181317125,0.947570371498046,5,1,15,1,1,0,0,0.148,0,0.852,5,1,15,1,15,15
56,2,9,3,5,4431,16,16,1,0,0,0,0,1,258644,8851017,0,1.13980181317125,1.03699539275466,3,1,16,1,1,0,0,0.148,0,0.852,3,1,16,1,16,16
345,3,9,26,26,1668,23,23,1,0,0,0,0,1,243637,8851017,0,1.06953175600561,1.10086988578761,26,0.949,23,0.949,1,0,0,0.534,0,0.466,26,0.965,23,0.965,23,23
359,3,9,26,32,1497,21,21,1,0,0,0,0,0,243637,8851017,0,1.02724819642907,1.10086988578761,32,1,21,1,1,0,0,0.062,0,0.938,32,1,21,1,21,21
369,3,9,30,26,1050,22,22,1,0,0,1,0,0,251564,8851017,0,1.06953175600561,1.06618052012067,30,1,22,1,1,0,0,0.534,0,0.466,30,1,22,1,22,22
747,4,9,20,20,4007,31,31,1,0,0,0,0,1,299809,8851017,0,0.902071468464759,0.894611690655172,20,1,31,1,0.963,0.036,0.018,0.253,0,0.747,20,1,31,1,31,31
821,5,9,1,1,3366,12,12,1,0,0,0,0,1,301312,8851017,0,0.905752865329513,0.890149202035221,1,1,12,1,1,0,0,0,0,1,1,1,12,1,12,12
963,5,9,2,2,838,10,10,1,0,0,0,0,1,279397,8851017,0,0.929580256093565,0.959969635907459,2,0.948,10,0.948,1,0,0,0.263,0,0.737,2,0.956,10,0.956,10,10
1148,5,9,2,7,1235,11,11,1,0,0,0,0,1,279397,8851017,0,0.981949406016606,0.959969635907459,6,1,11,1,1,0,0,0.289,0,0.711,6,1,11,1,11,11
1219,5,9,4,4,1003,9,9,1,0,0,0,0,1,296856,8851017,0,0.903205552086012,0.90351091560769,4,0.947,9,0.947,1,0,0,0,0,1,4,0.947,9,0.947,9,9
1672,6,9,15,15,1025,19,18,1,0,0,0,0,1,273572,8851017,0,1.17215866953426,0.980409677758091,15,0.689,18,0.526,1,0,0,0.165,0,0.835,15,0.681,18,0.522,19,19
1696,6,9,15,15,2308,18,18,1,0,0,0,0,1,273572,8851017,0,1.17215866953426,0.980409677758091,15,0.689,18,0.689,1,0,0,0.165,0,0.835,15,0.681,18,0.681,18,18
1971,7,9,24,24,1322,6,6,1,0,0,0,0,1,283530,8851017,0,1.15067225339442,0.945976215439764,24,0.894,6,0.894,1,0,0,0.128,0,0.872,24,0.906,6,0.906,6,6
1996,7,9,21,21,1154,7,7,1,0,0,0,0,1,248080,8851017,0,1.02899658203125,1.08115380668992,21,0.954,7,0.954,1,0,0,0.065,0,0.935,21,0.945,7,0.945,7,7
2077,7,9,22,19,982,8,8,1,0,0,0,0,1,253983,8851017,0,1.10930013084478,1.05602594017567,22,1,8,1,1,0,0,0,0,1,22,1,8,1,8,8
2278,7,9,29,21,3220,2,2,1,0,0,0,0,1,258532,8851017,0,1.02899658203125,1.03744463495287,29,1,2,1,1,0,0,0.065,0,0.935,29,1,2,1,2,2
2341,7,9,24,28,1591,5,6,1,0,0,0,0,1,283530,8851017,0,0.883486686337375,0.945976215439764,24,0.894,6,0.926,1,0,0,0.044,0.007,0.949,24,0.906,6,0.917,5,5
2563,7,9,27,29,2598,3,3,1,0,0,0,0,1,262176,8851017,0,0.902446726075165,1.02302512954518,27,1,3,1,1,0,0,0,0,1,27,1,3,1,3,3
2673,7,9,31,31,1644,4,4,1,0,0,0,0,1,263955,8851017,0,0.898916244850868,1.0161301599274,31,1,4,1,1,0,0,0,0,1,31,1,4,1,4,4
2972,8,9,33,33,1166,1,1,1,0,0,0,0,1,240763,8851017,0,0.91905909545902,1.11401102479881,33,1,1,1,0.973,0.026,0.013,0.162,0,0.838,33,1,1,1,1,1
3119,9,9,7,34,2025,28,25,1,0,0,0,0,1,240249,8851017,0,0.953489802601812,1.11639439233311,34,0.333,28,0.333,0.615,0.386,0.193,0,0,1,34,0.352,28,0.352,25,25
3163,10,9,18,18,1770,33,33,1,0,0,0,0,1,305472,8851017,0,0.933163344916584,0.878026910367027,18,1,33,1,1,0,0,0.022,0,0.978,18,1,33,1,33,33
3217,10,9,23,23,1141,32,32,1,0,0,0,0,1,307604,8851017,0,1.06039825659408,0.871941315339321,23,1,32,1,1,0,0,0.517,0,0.483,23,1,32,1,32,32
3609,11,9,8,35,3458,26,26,1,0,0,0,0,1,238869,8851017,0,0.895674238713777,1.12284405412019,35,0.704,26,0.704,0.898,0.102,0.051,0,0.011,0.989,35,0.693,26,0.693,26,26
3696,11,9,8,34,2135,25,26,1,0,0,0,0,1,238869,8851017,0,0.953489802601812,1.12284405412019,35,0.704,26,0.437,0.615,0.386,0.193,0,0,1,35,0.693,26,0.403,30,30
3742,12,9,16,38,1105,30,28,1,0,0,0,0,1,284190,8851017,0,1.10751786840446,0.943779289783723,38,0.906,30,0.906,1,0,0,0.455,0,0.545,38,0.943,30,0.943,28,28
3769,12,9,14,37,1330,29,27,1,0,0,1,0,0,258602,8851017,0,1.01068081228847,1.03716381297761,37,0.979,29,0.979,1,0,0,0.136,0,0.864,37,0.963,29,0.963,27,27
4095,13,9,19,39,1570,27,29,1,0,0,0,0,1,264604,8851017,0,1.10391539367211,1.01363787532931,39,0.389,27,0.27,0.88,0.12,0.06,0.151,0,0.849,39,0.386,27,0.322,30,30
4269,14,9,17,16,1860,24,24,1,0,0,1,0,0,247419,8851017,0,1.15489423167256,1.08404219709738,17,0.949,24,0.949,1,0,0,0.848,0,0.152,17,0.966,24,0.966,24,24
4523,15,9,12,13,1429,14,14,1,0,0,0,0,0,266122,8851017,0,1.02948968767592,1.00785593210496,12,1,14,1,1,0,0,0.788,0,0.212,12,1,14,1,14,14
4586,15,9,9,9,2871,13,13,1,0,0,0,0,1,265709,8851017,0,0.962380885071219,1.00942247482636,9,1,13,1,1,0,0,0,0.021,0.979,9,1,13,1,13,13
4913,16,9,13,13,1411,17,17,1,0,0,1,0,0,245859,8851017,0,1.02948968767592,1.09092055350277,13,1,17,1,1,0,0,0.788,0,0.212,13,1,17,1,17,17
5183,17,9,10,10,1442,20,20,1,0,0,0,0,1,269938,8851017,0,1.01606891944016,0.993608296585276,10,0.773,20,0.773,1,0,0,0.101,0,0.899,10,0.785,20,0.785,20,20
