"seccion","munn","edon","disloc2016","disloc2010","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2010","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,10,3,16,513,3,3,1,0,0,0,1,0,99275,1600675,0,1.08741803646206,1.07490976244439,6,1,3,1,0.171,0.83,0.047,0.009,0.991,0,6,1,3,1,3,3
42,2,10,1,8,760,2,1,0,1,1,0,1,0,99956,1600675,0,1.41226849666536,1.06758640468473,7,1,2,1,0.074,0.926,0.074,0.135,0.865,0,7,1,2,1,1,1
57,3,10,4,16,750,7,4,1,0,0,0,1,0,106856,1600675,0,1.08741803646206,0.998649272541239,8,1,7,1,0.171,0.83,0.047,0.009,0.991,0,8,1,7,1,4,4
66,4,10,6,15,2572,1,6,1,0,0,0,1,0,101768,1600675,0,1.30226066610205,1.04857781096874,15,0.997,1,0.997,0.174,0.826,0.139,0.036,0.964,0,15,0.992,1,0.992,6,6
108,5,10,11,2,9095,12,11,1,0,0,1,0,0,117933,1600675,0,0.685069723528299,0.90484992891444,1,0.72,12,0.72,0.838,0.162,0.015,0.111,0.889,0,1,0.661,12,0.661,11,11
111,5,10,12,2,11583,8,12,1,0,0,0,1,0,116861,1600675,0,0.685069723528299,0.913150380936896,2,0.687,8,0.687,0.838,0.162,0.015,0.111,0.889,0,2,0.74,8,0.74,12,12
136,5,10,11,1,2214,11,11,1,0,0,0,1,0,117933,1600675,0,0.888847118351173,0.90484992891444,1,0.72,12,0.41,0.758,0.242,0.015,0.105,0.895,0,1,0.661,12,0.398,10,10
174,5,10,12,2,886,9,12,1,0,0,0,0,0,116861,1600675,0,0.685069723528299,0.913150380936896,2,0.687,8,0.405,0.838,0.162,0.015,0.111,0.889,0,2,0.74,8,0.476,9,9
265,5,10,9,5,663,10,9,1,0,0,1,0,0,115204,1600675,0,0.992592799295556,0.926284388273555,5,0.405,9,0.268,0.905,0.095,0.027,0.366,0.634,0,5,0.476,9,0.252,10,10
436,7,10,15,11,1328,13,15,1,0,0,0,1,0,109747,1600675,0,1.23247448121231,0.972342448237006,12,1,13,1,0.489,0.511,0.064,0,1,0,12,1,13,1,15,15
446,7,10,14,11,12098,14,14,1,0,0,0,1,0,89987,1600675,0,1.23247448121231,1.18585647556499,11,1,14,1,0.489,0.511,0.064,0,1,0,11,1,14,1,14,14
448,7,10,13,11,7872,15,13,1,0,0,0,1,0,96510,1600675,0,1.23247448121231,1.10570579905364,13,1,15,1,0.489,0.511,0.064,0,1,0,13,1,15,1,13,13
664,10,10,5,8,646,4,5,0,1,1,0,1,0,104000,1600675,0,1.41226849666536,1.02607371794872,9,0.997,4,0.997,0.074,0.926,0.074,0.135,0.865,0,9,0.991,4,0.991,5,5
689,12,10,7,9,8932,6,7,1,0,0,0,1,0,105322,1600675,0,0.951969031232827,1.01319445763152,14,1,6,1,0.429,0.572,0.086,0.143,0.857,0,14,1,6,1,7,7
796,14,10,2,4,1088,5,2,0,1,1,0,1,0,104692,1600675,0,0.847768000190667,1.0192915090615,17,1,5,1,0.38,0.62,0.038,0.063,0.937,0,17,1,5,1,2,2
