"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,13,1,18,1422,8,1,0,1,1,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,10,0.647,8,0.647,0.045,0.954,0.068,0.015,0.985,0,10,0.697,8,0.697,1,1
34,3,13,2,14,5385,2,2,1,0,0,0,1,0,145827,2597901,0,0.656322001115638,0.989719553534896,14,0.53,2,0.53,0.261,0.739,0.085,0,0.919,0.081,14,0.543,2,0.543,2,2
92,6,13,4,16,2564,6,4,0,1,1,0,1,0,153081,2597901,0,1.02331135375307,0.942820032096298,6,1,6,1,0.153,0.847,0.025,0,0.902,0.098,6,1,6,1,4,4
114,7,13,10,11,2261,5,10,0,1,1,0,1,0,159602,2597901,0,1.11696745966639,0.904298400604838,11,0.616,5,0.616,0.343,0.657,0.148,0.031,0.969,0,11,0.686,5,0.686,10,10
152,9,13,6,5,2696,3,6,1,0,0,0,1,0,164906,2597901,0,0.746899301027414,0.875212747464212,5,0.789,3,0.789,0.443,0.557,0.142,0,0.923,0.077,5,0.762,3,0.762,6,6
162,10,13,7,13,2734,16,7,0,1,1,0,1,0,151016,2597901,0,0.562892284571744,0.955712198265967,13,1,16,1,0.102,0.898,0.097,0,0.921,0.079,13,1,16,1,7,7
178,11,13,8,18,2786,1,8,1,0,0,0,0,0,155323,2597901,0,1.78818308719067,0.929210956093646,9,0.897,1,0.897,0.045,0.954,0.068,0.015,0.985,0,9,0.881,1,0.881,8,8
240,14,13,18,16,1298,18,18,0,1,1,0,1,0,144501,2597901,0,1.02331135375307,0.998801623056818,16,1,18,1,0.153,0.847,0.025,0,0.902,0.098,16,1,18,1,18,18
291,17,13,9,17,2668,11,9,0,1,1,0,1,0,147104,2597901,0,2.26503191044151,0.981127864186788,17,0.942,11,0.942,0,1,0.071,0.056,0.819,0.125,17,0.962,11,0.962,9,9
358,22,13,12,2,1723,7,12,0,1,1,0,0,0,95996,2597901,0,0.69739762521422,1.50347757545453,2,0.869,15,0.629,0.698,0.302,0.094,0.016,0.984,0,2,0.718,15,0.627,5,5
369,23,13,2,14,3077,9,2,0,1,1,0,0,1,145827,2597901,0,0.656322001115638,0.989719553534896,14,0.53,2,0.291,0.261,0.739,0.085,0,0.919,0.081,14,0.543,2,0.286,3,3
405,25,13,11,13,1969,17,11,1,0,0,0,0,0,155903,2597901,0,0.562892284571744,0.925754047922961,13,1,17,1,0.102,0.898,0.097,0,0.921,0.079,13,1,17,1,11,11
726,40,13,12,2,3167,15,12,0,1,1,0,0,0,95996,2597901,0,0.69739762521422,1.50347757545453,2,0.869,15,0.869,0.698,0.302,0.094,0.016,0.984,0,2,0.718,15,0.718,12,12
742,47,13,16,2,1153,13,16,1,0,0,0,1,0,133706,2597901,0,0.69739762521422,1.07944171041938,1,1,13,1,0.698,0.302,0.094,0.016,0.984,0,1,1,13,1,16,16
852,47,13,15,1,14321,12,15,0,1,1,0,1,0,134064,2597901,0,0.711454692740092,1.07655920555357,1,1,12,1,0.643,0.356,0.113,0.026,0.974,0,1,1,12,1,15,15
1350,68,13,13,12,1715,10,13,1,0,0,0,1,0,119258,2597901,0,0.912566284765253,1.21021510786139,12,1,10,1,0.273,0.728,0.234,0,1,0,12,1,10,1,13,13
1369,69,13,3,4,1398,4,3,1,0,0,0,1,0,143718,2597901,0,0.807013080447173,1.00424326342792,14,0.291,9,0.533,0.439,0.561,0.131,0.041,0.767,0.192,14,0.286,9,0.546,14,14
1502,76,13,17,3,11799,14,17,0,1,1,0,1,0,154428,2597901,0,0.567406682287326,0.934596273560062,3,1,14,1,0.398,0.602,0.153,0,1,0,3,1,14,1,17,17
