"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,14,2,3,1998,3,2,0,1,1,0,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.133,3,0.279,0.276,0.724,0.193,0.861,0.139,0,17,0.211,3,0.215,1,1
13,2,14,4,17,2431,8,4,0,1,1,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.429,8,0.429,0.308,0.692,0.204,0.386,0.598,0.016,18,0.455,8,0.455,4,4
36,4,14,5,19,1127,4,5,1,0,0,0,0,0,358489,7224159,0,1.01969316718986,1.00758447260585,19,0.343,9,0.337,0.4,0.6,0.148,0.231,0.763,0.006,19,0.327,9,0.325,5,5
40,5,14,3,1,3519,2,3,0,1,1,0,1,0,354010,7224159,0,1.02033261772266,1.02033261772266,1,0.562,2,0.562,0.222,0.778,0.218,0.338,0.656,0.006,1,0.584,2,0.584,3,3
102,8,14,1,3,3523,7,1,0,1,1,1,0,0,350707,7224159,0,0.971495753161595,1.02994223097914,3,0.219,7,0.463,0.276,0.724,0.193,0.861,0.139,0,3,0.205,7,0.481,8,8
149,11,14,4,5,983,6,4,0,1,1,1,0,0,356397,7224159,0,0.945818146111547,1.01349885100043,18,0.429,8,0.669,0.309,0.691,0.174,0.273,0.655,0.073,18,0.455,8,0.476,6,6
188,14,14,7,17,2019,9,7,1,0,0,1,0,0,349421,7224159,0,0.912911268595229,1.03373280369526,17,0.316,9,0.316,0.308,0.692,0.204,0.386,0.598,0.016,17,0.429,9,0.429,7,7
457,31,14,7,17,4544,1,7,0,1,1,0,1,0,349421,7224159,0,0.912911268595229,1.03373280369526,17,0.316,9,0.253,0.308,0.692,0.204,0.386,0.598,0.016,17,0.429,9,0.196,7,7
501,36,14,9,2,5485,5,9,0,1,1,0,0,0,376590,7224159,0,0.959154385405879,0.959154385405879,2,0.778,5,0.778,0.301,0.699,0.169,0.69,0.302,0.008,2,0.757,5,0.757,9,9
570,41,14,13,12,693,14,13,1,0,0,1,0,0,372514,7224159,0,1.53814162344465,0.969649328615837,8,1,14,1,1,0,0,0.962,0.038,0,8,1,14,1,13,13
633,41,14,12,9,1303,12,12,1,0,0,0,0,0,372585,7224159,0,1.37330460305451,0.969464551713032,9,1,12,1,1,0,0,0.227,0.773,0,9,1,12,1,12,12
653,41,14,11,11,2574,13,11,1,0,0,0,0,0,374555,7224159,0,1.41410610260265,0.964365580488847,13,1,13,1,1,0,0,0.195,0.805,0,13,1,13,1,11,11
773,41,14,10,12,1204,11,10,1,0,0,0,0,0,374655,7224159,0,1.53814162344465,0.964108179525163,14,1,11,1,1,0,0,0.962,0.038,0,14,1,11,1,10,10
2438,98,14,20,7,3025,10,20,1,0,0,1,0,0,377344,7224159,0,0.490095791808851,0.957237825432497,7,1,10,1,0.581,0.419,0.171,0.536,0.464,0,7,1,10,1,20,20
2473,99,14,14,16,1791,20,14,1,0,0,0,0,0,376499,7224159,0,0.868081754582443,0.959386213509199,16,0.512,20,0.512,0.985,0.014,0.007,0.452,0.548,0,16,0.657,20,0.657,14,14
2550,99,14,14,16,2493,18,14,1,0,0,0,0,0,376499,7224159,0,0.868081754582443,0.959386213509199,16,0.512,20,0.47,0.985,0.014,0.007,0.452,0.548,0,16,0.657,20,0.519,15,15
2563,99,14,14,16,8177,19,14,1,0,0,0,1,0,376499,7224159,0,0.868081754582443,0.959386213509199,16,0.512,20,0.531,0.985,0.014,0.007,0.452,0.548,0,16,0.657,20,0.561,16,16
2900,120,14,19,10,1554,16,19,1,0,0,0,1,0,313514,7224159,0,1.03604553107638,1.15212701825118,6,0.648,16,0.648,1,0,0,0.805,0.195,0,6,0.694,16,0.694,19,19
2903,120,14,19,10,2046,17,19,1,0,0,0,1,0,313514,7224159,0,1.03604553107638,1.15212701825118,6,0.648,16,0.861,1,0,0,0.805,0.195,0,6,0.694,16,0.823,17,17
3067,120,14,18,10,4097,15,18,1,0,0,1,0,0,341340,7224159,0,1.03604553107638,1.05820574793461,10,0.687,15,0.687,1,0,0,0.805,0.195,0,10,0.624,15,0.624,18,18
