"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,16,14,19,1889,5,14,0,1,1,0,1,0,186652,4319681,0,1.08871708403904,0.964290274593004,19,0.426,4,0.87,0.163,0.837,0.149,0.11,0.415,0.476,19,0.4,4,0.833,7,7
11,2,16,10,21,2596,8,10,0,1,1,0,0,0,167855,4319681,0,1.26196648764116,1.07227492975088,21,0.66,8,0.66,0.098,0.903,0.211,0.013,0.338,0.649,21,0.734,8,0.734,10,10
26,3,16,12,8,1894,9,12,0,1,1,0,0,0,167583,4319681,0,0.878802730023257,1.0740153138047,8,0.646,9,0.646,0.197,0.803,0.162,0.069,0.431,0.5,8,0.496,9,0.496,12,12
38,4,16,9,2,1073,13,9,1,0,0,0,0,0,187393,4319681,0,1.13906266151097,0.960477223446625,2,0.727,13,0.727,0.297,0.703,0.135,0.082,0.268,0.649,2,0.64,13,0.64,9,9
52,5,16,2,13,986,14,2,1,0,0,0,1,0,189009,4319681,0,0.952265280136572,0.952265280136572,13,0.825,16,0.928,0.402,0.598,0.075,0.016,0.516,0.468,13,0.828,16,0.904,8,8
58,6,16,11,23,2653,3,11,1,0,0,0,0,1,171913,4319681,0,1.21265232262527,1.04696391973459,23,0.549,3,0.549,0.538,0.462,0.077,0,0.232,0.768,23,0.556,3,0.556,11,11
132,7,16,8,3,1459,15,8,0,1,1,0,1,0,179574,4319681,0,1.00229826329721,1.00229826329721,3,0.928,14,0.411,0.113,0.887,0.148,0.065,0.143,0.792,3,0.904,14,0.433,6,6
149,9,16,14,19,239,6,14,1,0,0,0,0,0,186652,4319681,0,1.08871708403904,0.964290274593004,19,0.426,4,0.509,0.163,0.837,0.149,0.11,0.415,0.476,19,0.4,4,0.534,16,16
184,11,16,1,4,1475,11,1,1,0,0,0,1,0,183307,4319681,0,0.890767543642584,0.981886716455636,4,0.813,11,0.813,0.667,0.333,0.07,0.405,0.206,0.389,4,0.805,11,0.805,1,1
213,13,16,6,18,3422,4,6,0,1,1,0,0,1,176760,4319681,0,1.2973230524902,1.0182547427774,18,0.411,15,0.426,0.075,0.925,0.129,0,0.419,0.581,18,0.433,15,0.4,14,14
257,16,16,4,7,875,10,4,0,1,1,0,0,1,188737,4319681,0,0.984814722608274,0.953637645683323,7,1,10,1,0.518,0.481,0.114,0.085,0.217,0.698,7,1,10,1,4,4
305,19,16,15,9,1362,2,15,1,0,0,0,0,0,182345,4319681,0,1.0251388786051,0.987066869578729,9,0.788,2,0.788,0.413,0.587,0.119,0.414,0.299,0.287,9,0.801,2,0.801,15,15
433,30,16,5,1,1086,1,5,1,0,0,0,1,0,190178,4319681,0,0.931777021372057,0.94641182646433,1,0.821,1,0.821,0.435,0.565,0.081,0.321,0.358,0.321,1,0.753,1,0.753,5,5
480,34,16,3,12,6009,12,3,1,0,0,1,0,0,191995,4319681,0,0.939451572044728,0.937455185464899,12,1,12,1,0.172,0.828,0.166,0.33,0.291,0.379,12,1,12,1,3,3
685,43,16,13,5,1361,7,13,0,1,1,1,0,0,192316,4319681,0,0.89154411157673,0.93589045286577,7,0.964,7,0.964,0.429,0.572,0.182,0.313,0.388,0.299,7,0.903,7,0.903,13,13
806,50,16,18,24,10135,18,18,1,0,0,0,0,1,178818,4319681,0,1.00653574211396,1.00653574211396,24,1,18,1,0.736,0.264,0.097,0.018,0.055,0.927,24,1,18,1,18,18
941,54,16,20,10,1544,22,20,1,0,0,0,0,0,181589,4319681,0,0.91746164642155,0.991176273526113,10,0.65,19,0.357,0.803,0.197,0.026,0.448,0.414,0.138,10,0.571,19,0.433,21,21
968,54,16,19,11,1111,20,19,1,0,0,0,0,0,182948,4319681,0,1.18934210207511,0.9838134788756,17,0.539,21,0.925,0.968,0.032,0.011,0.886,0.114,0,17,0.493,21,0.838,22,22
1043,54,16,19,17,358,21,19,1,0,0,1,0,0,182948,4319681,0,1.14666047636643,0.9838134788756,17,0.539,21,0.539,0.863,0.137,0.021,0.878,0.041,0.081,17,0.493,21,0.493,19,19
1191,54,16,20,10,14331,19,20,0,1,1,0,1,0,181589,4319681,0,0.91746164642155,0.991176273526113,10,0.65,19,0.65,0.803,0.197,0.026,0.448,0.414,0.138,10,0.571,19,0.571,20,20
2175,103,16,24,14,3028,23,24,0,1,1,0,0,1,156982,4319681,0,1.04502478246396,1.14654360584865,14,1,23,1,0.727,0.273,0.081,0.382,0.039,0.579,14,1,23,1,24,24
2207,103,16,23,20,11080,24,23,1,0,0,0,0,0,158141,4319681,0,0.799457698161704,1.13814069933372,20,1,24,1,0.69,0.31,0.05,0.432,0.216,0.351,20,1,24,1,23,23
2436,109,16,17,6,2485,17,17,1,0,0,1,0,0,186116,4319681,0,0.96706735763359,0.96706735763359,6,1,17,1,0.769,0.231,0.077,0.875,0.036,0.089,6,1,17,1,17,17
2578,113,16,2,13,1250,16,2,1,0,0,0,0,0,189009,4319681,0,0.952265280136572,0.952265280136572,13,0.825,16,0.825,0.402,0.598,0.075,0.016,0.516,0.468,13,0.828,16,0.828,2,2
