"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,19,20,20,1144,3,1,0,1,1,0,1,0,139132,4405937,0,0.800260279023472,1.21797368962291,20,0.974,3,0.974,0.462,0.539,0.212,0,1,0,20,0.941,3,0.941,1,1
3,2,19,21,22,767,1,2,0,1,1,0,0,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.872,1,0.872,0.389,0.611,0.176,0.163,0.837,0,21,0.873,1,0.873,2,2
12,3,19,24,22,243,2,3,1,0,0,0,0,0,192265,4405937,0,0.595747255683342,0.881383067040883,24,0.38,2,0.38,0.389,0.611,0.176,0.163,0.837,0,24,0.508,2,0.508,3,3
63,6,19,5,16,3790,10,12,0,1,1,0,1,0,113694,4405937,0,0.364942263585514,1.49048424177719,16,1,10,1,0.859,0.14,0.07,0.098,0.902,0,16,1,10,1,12,12
68,6,19,16,16,9198,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,1,9,1,0.859,0.14,0.07,0.098,0.902,0,16,1,9,1,11,11
121,6,19,7,16,3155,11,13,1,0,0,0,0,0,175048,4405937,0,0.364942263585514,0.968072273802702,16,1,11,1,0.859,0.14,0.07,0.098,0.902,0,16,1,11,1,13,13
151,7,19,26,26,2174,4,4,0,1,1,0,1,0,184973,4405937,0,1.57617325704441,0.916128923597581,26,0.407,4,0.407,0.097,0.903,0.105,0,1,0,26,0.537,4,0.537,4,4
172,9,19,23,23,2417,25,5,0,1,1,0,0,0,156275,4405937,0,1.31890193707137,1.08436484008712,22,0.759,25,0.759,0.519,0.481,0.078,0.118,0.882,0,22,0.69,25,0.69,5,5
356,19,19,18,18,2003,23,25,1,0,0,0,0,0,196797,4405937,0,1.04171629824627,0.861085867084434,18,1,23,1,1,0,0,0.686,0.314,0,18,1,23,1,25,25
430,21,19,25,17,4598,13,15,1,0,0,0,1,0,145669,4405937,0,0.479662811600211,1.16331625386744,17,1,13,1,0.943,0.057,0.019,0.074,0.926,0,17,1,13,1,15,15
433,21,19,17,17,16014,12,14,1,0,0,0,0,0,181177,4405937,0,0.479662811600211,0.935323553125482,17,1,12,1,0.943,0.057,0.019,0.074,0.926,0,17,1,12,1,14,14
526,26,19,12,15,284,5,7,1,0,0,1,0,0,167952,4405937,0,1.75798405901421,1.00897348876236,12,1,5,1,1,0,0,0.75,0.25,0,12,1,5,1,7,7
530,26,19,15,15,365,6,8,1,0,0,1,0,0,169413,4405937,0,1.75798405901421,1.00027220688268,15,1,6,1,1,0,0,0.75,0.25,0,15,1,6,1,8,8
604,26,19,14,14,6041,8,10,1,0,0,1,0,0,145047,4405937,0,0.824522271776607,1.16830486245572,14,1,8,1,1,0,0,0.5,0.5,0,14,1,8,1,10,10
707,26,19,13,13,1682,7,9,1,0,0,0,1,0,169270,4405937,0,0.900769774591714,1.00111724100322,13,1,7,1,1,0,0,0.143,0.857,0,13,1,7,1,9,9
841,32,19,22,22,6637,26,6,1,0,0,0,0,0,178614,4405937,0,0.595747255683342,0.94874486537794,22,0.948,26,0.948,0.389,0.611,0.176,0.163,0.837,0,22,0.917,26,0.917,6,6
975,40,19,11,3,1117,19,19,1,0,0,0,1,0,173620,4405937,0,1.41013809693286,0.976034531647364,11,0.983,19,0.983,1,0,0,0.548,0.452,0,11,0.974,19,0.974,19,19
985,40,19,4,3,1180,20,20,1,0,0,0,0,0,172678,4405937,0,1.41013809693286,0.981359034646078,4,0.997,20,0.997,1,0,0,0.548,0.452,0,4,0.994,20,0.994,20,20
1044,40,19,3,4,1802,21,21,1,0,0,0,0,0,174157,4405937,0,1.42291415435513,0.973025002639087,1,1,21,1,1,0,0,0.68,0.32,0,1,1,21,1,21,21
1131,40,19,6,6,137,18,18,1,0,0,0,0,0,173761,4405937,0,1.97224360914103,0.975242519233979,6,0.96,18,0.96,1,0,0,0.52,0.48,0,6,0.968,18,0.968,18,18
1331,40,19,8,7,1690,17,17,1,0,0,1,0,0,175284,4405937,0,1.93800452178197,0.966768874424451,8,1,17,1,1,0,0,0.87,0.13,0,8,1,17,1,17,17
1432,40,19,1,1,2276,16,16,1,0,0,0,1,0,174177,4405937,0,0.528077817202399,0.97291327433941,1,1,16,1,1,0,0,0.163,0.837,0,1,1,16,1,16,16
1453,40,19,2,1,2497,22,22,1,0,0,0,0,0,176787,4405937,0,0.528077817202399,0.958549641006496,2,1,22,1,1,0,0,0.163,0.837,0,2,1,22,1,22,22
1766,47,19,10,11,1594,14,23,1,0,0,1,0,0,177291,4405937,0,1.30173926197478,0.955824691521935,11,0.987,14,0.987,1,0,0,0.851,0.149,0,11,0.989,14,0.989,23,23
1902,47,19,9,10,2935,15,24,1,0,0,0,1,0,178428,4405937,0,1.18205298119849,0.949733872400158,9,0.968,15,0.968,1,0,0,0.806,0.194,0,9,0.947,15,0.947,24,24
1999,48,19,19,19,8475,24,26,1,0,0,0,0,0,195235,4405937,0,0.738837871566476,0.867975083282277,19,1,24,1,0.893,0.107,0.04,0.765,0.235,0,19,1,24,1,26,26
