"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,22,14,8,1355,14,14,1,0,0,1,0,0,124048,1775009,0,1.20955028807594,0.953936648179199,8,1,14,1,0.057,0.943,0.094,0.333,0.667,0,8,1,14,1,14,14
35,2,22,3,15,1809,3,3,0,1,1,0,1,0,112418,1775009,0,1.25921992607884,1.05262443143743,15,1,3,1,0,1,0.145,0.217,0.783,0,15,1,3,1,3,3
46,3,22,1,14,3080,1,1,0,1,1,0,0,0,128617,1775009,0,1.15731139994849,0.920048930804896,14,1,1,1,0.095,0.905,0.254,0.579,0.421,0,14,1,1,1,1,1
76,4,22,2,13,1930,2,2,0,1,1,0,0,0,121301,1775009,0,1.14430702085207,0.975539635562224,11,1,2,1,0.069,0.931,0.155,0.059,0.941,0,11,1,2,1,2,2
97,5,22,9,7,4952,9,9,1,0,0,1,0,0,122407,1775009,0,0.827087803662,0.966725214516599,5,1,9,1,0.714,0.285,0.114,0.692,0.308,0,5,1,9,1,9,9
100,5,22,12,7,3598,12,12,0,1,1,0,0,0,122903,1775009,0,0.827087803662,0.962823798713891,7,1,12,1,0.714,0.285,0.114,0.692,0.308,0,7,1,12,1,12,12
182,10,22,4,12,3467,4,4,1,0,0,1,0,0,116264,1775009,0,1.0178037340306,1.0178037340306,12,1,4,1,0.143,0.858,0.327,0.4,0.6,0,12,1,4,1,4,4
210,11,22,15,11,2308,15,15,1,0,0,0,1,0,122315,1775009,0,0.932931255140951,0.967452342994182,11,1,15,1,0.324,0.675,0.27,0.45,0.55,0,11,1,15,1,15,15
266,14,22,6,3,4632,6,6,1,0,0,0,0,0,123836,1775009,0,0.777540793306612,0.955569732011154,3,1,6,1,0.619,0.381,0.159,0.667,0.333,0,3,1,6,1,6,6
269,14,22,10,3,2716,10,10,1,0,0,1,0,0,89812,1775009,0,0.777540793306612,1.31757374664113,2,1,10,1,0.619,0.381,0.159,0.667,0.333,0,2,1,10,1,10,10
275,14,22,7,4,2479,7,7,1,0,0,0,0,0,121916,1775009,0,0.664431567638791,0.970618567975765,4,1,7,1,0.944,0.056,0.028,0.85,0.15,0,4,1,7,1,7,7
277,14,22,8,4,7524,8,8,1,0,0,0,0,0,122793,1775009,0,0.664431567638791,0.963686312194778,1,1,8,1,0.944,0.056,0.028,0.85,0.15,0,1,1,8,1,8,8
306,14,22,5,4,1113,5,5,1,0,0,1,0,0,100348,1775009,0,0.664431567638791,1.17923559346806,2,1,5,1,0.944,0.056,0.028,0.85,0.15,0,2,1,5,1,5,5
386,14,22,11,5,1848,11,11,1,0,0,0,0,0,123726,1775009,0,1.29134765085047,0.956419292091665,5,1,11,1,1,0,0,1,0,0,5,1,11,1,11,11
567,16,22,13,10,2507,13,13,1,0,0,1,0,0,122305,1775009,0,1.0786262928258,0.967531444612512,9,1,13,1,0.404,0.596,0.192,0.688,0.312,0,9,1,13,1,13,13
