"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,29,8,3,1538,10,8,0,1,1,0,0,1,76223,1169936,0,0.99176283195143,1.02325719708399,3,0.51,5,0.398,0.71,0.291,0.097,0,0,1,3,0.471,5,0.389,6,6
5,2,29,8,2,3165,7,8,1,0,0,0,0,0,76223,1169936,0,1.01629991000476,1.02325719708399,3,0.51,5,0.663,1,0,0,0,1,0,3,0.471,5,0.698,9,9
12,3,29,4,15,1335,8,4,1,0,0,0,1,0,78035,1169936,0,0.984988625705737,0.999496806988317,15,1,8,1,0.743,0.257,0.114,0,1,0,15,1,8,1,4,4
38,3,29,5,15,1267,1,5,0,1,1,0,1,0,71768,1169936,0,0.984988625705737,1.08677590755397,12,0.177,3,0.466,0.743,0.257,0.114,0,1,0,12,0.294,3,0.448,3,3
49,4,29,2,12,889,4,2,0,1,1,0,0,0,74289,1169936,0,1.02602024439911,1.04989612638928,14,0.42,4,0.42,0.157,0.843,0.2,0,0.75,0.25,14,0.6,4,0.6,2,2
59,5,29,11,17,1327,14,11,0,1,1,0,0,0,72759,1169936,0,0.936012448846522,1.07197368481333,19,1,14,1,0.206,0.793,0.206,0,0.667,0.333,19,1,14,1,11,11
78,6,29,1,13,5522,9,1,0,1,1,0,0,0,75680,1169936,0,1.00202728917948,1.03059901338971,13,1,9,1,0.188,0.812,0.333,0.167,0.833,0,13,1,9,1,1,1
117,9,29,3,16,1562,5,3,1,0,0,0,0,0,73615,1169936,0,0.841667859694206,1.05950870520048,17,0.466,1,0.51,0.743,0.257,0.057,0,0.889,0.111,17,0.448,1,0.471,8,8
150,52,29,9,5,2334,6,9,1,0,0,1,0,0,83744,1169936,0,1.03930290052439,0.931359062539804,4,0.663,7,0.279,0.87,0.13,0.043,0.667,0.167,0.167,4,0.698,7,0.25,12,12
165,12,29,5,12,2512,3,5,0,1,1,0,0,0,71768,1169936,0,1.02602024439911,1.08677590755397,12,0.177,3,0.177,0.157,0.843,0.2,0,0.75,0.25,12,0.294,3,0.294,5,5
178,13,29,10,18,4978,15,10,0,1,1,1,0,0,72211,1169936,0,1.0306398685642,1.08010875536045,18,1,15,1,0.487,0.512,0.179,0.778,0.222,0,18,1,15,1,10,10
263,17,29,12,7,2550,11,12,1,0,0,0,0,1,83320,1169936,0,1.08293315067479,0.936098575772123,7,0.411,11,0.411,1,0,0,0,0.167,0.833,7,0.442,11,0.442,12,12
316,45,29,14,10,1959,2,14,1,0,0,0,0,0,81423,1169936,0,1.0489698462951,0.957907880246777,10,0.334,2,0.334,0.6,0.4,0.2,1,0,0,10,0.434,2,0.434,14,14
348,25,29,15,7,4149,12,15,1,0,0,0,0,0,81461,1169936,0,1.08293315067479,0.957461034523678,6,0.856,12,0.856,1,0,0,0,0.167,0.833,6,0.739,12,0.739,15,15
435,33,29,7,2,2047,13,7,1,0,0,0,1,0,88323,1169936,0,1.01629991000476,0.88307386901864,1,1,13,1,1,0,0,0,1,0,1,1,13,1,7,7
