"seccion","munn","edon","disloc2017","disloc2011","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2011","RRI_2017","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
1,1,5,5,13,760,6,5,0,1,1,0,1,0,178285,2720963,0,1.22985158413908,0.953867052752615,14,0.618,1,0.399,0.548,0.452,0.185,0.039,0.961,0,14,0.556,1,0.401
3,2,5,1,15,3083,5,1,1,0,0,0,1,0,140185,2720963,0,1.42548354987427,1.21311258337197,15,0.851,5,0.851,0.735,0.265,0.061,0,1,0,15,0.708,5,0.708
42,3,5,5,14,3656,6,5,1,0,0,0,1,0,178285,2720963,0,1.19154851739746,0.953867052752615,14,0.618,6,0.618,0.512,0.489,0.163,0.203,0.797,0,14,0.556,6,0.556
57,4,5,12,5,7004,7,12,0,1,1,0,1,0,154328,2720963,0,1.101939942849,1.101939942849,5,0.857,7,0.857,0.228,0.771,0.094,0.058,0.942,0,5,0.81,7,0.81
81,5,5,5,12,593,6,5,0,1,1,0,1,0,178285,2720963,0,0.972166922008358,0.953867052752615,14,0.618,4,0.451,0.752,0.248,0.064,0.385,0.615,0,14,0.556,4,0.448
110,7,5,4,11,1287,2,4,0,1,1,0,1,0,165596,2720963,0,0.952910320849023,1.0269583051523,10,0.43,1,0.307,0.632,0.368,0.103,0.442,0.558,0,10,0.412,1,0.265
131,9,5,7,10,2483,3,7,1,0,0,0,1,0,187791,2720963,0,1.03687649379314,0.905582203087475,6,0.348,2,0.43,0.385,0.616,0.054,0,0.981,0.019,6,0.376,2,0.412
257,17,5,7,6,1941,3,7,1,0,0,0,1,0,187791,2720963,0,0.72260874599519,0.905582203087475,6,0.348,3,0.348,0.238,0.762,0.164,0,1,0,6,0.376,3,0.376
577,25,5,2,16,4421,8,2,0,1,1,0,1,0,184757,2720963,0,1.10233279640637,0.920453284584617,16,1,8,1,0.859,0.141,0.054,0.035,0.965,0,16,1,8,1
730,30,5,14,4,2708,16,14,1,0,0,1,0,0,181490,2720963,0,0.988095843331842,0.93702235660367,2,0.073,13,0.346,0.966,0.034,0,0.493,0.507,0,2,0.214,13,0.386
731,30,5,14,1,7970,16,14,1,0,0,1,0,0,181490,2720963,0,0.84284178767904,0.93702235660367,2,0.073,14,0.595,1,0,0,0.568,0.432,0,2,0.214,14,0.702
834,30,5,15,2,3589,14,15,1,0,0,0,1,0,183016,2720963,0,0.853754373942598,0.929209399724614,1,0.595,15,0.41,0.688,0.312,0.016,0.1,0.9,0,1,0.702,15,0.4
839,30,5,15,3,833,13,15,1,0,0,1,0,0,183016,2720963,0,1.11285737890507,0.929209399724614,4,0.346,13,0.245,1,0,0,0.25,0.75,0,4,0.386,13,0.302
1172,35,5,8,9,4860,12,8,1,0,0,0,0,0,157633,2720963,0,0.85200494739479,1.07883620498246,9,0.324,11,0.168,1,0,0,0.571,0.429,0,9,0.283,11,0.204
1218,35,5,9,8,1326,11,9,1,0,0,1,0,0,158244,2720963,0,1.25598365952733,1.07467068261672,8,0.572,11,0.572,1,0,0,0.438,0.562,0,8,0.65,11,0.65
1352,35,5,11,7,2197,9,11,1,0,0,0,1,0,161789,2720963,0,0.85701997409692,1.05112329948266,7,0.245,10,0.557,1,0,0,0.5,0.5,0,7,0.15,10,0.705
