"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
1,2,9,22,5,905,15,15,1,0,0,0,0,1,206894,8851017,0,1.13980181317125,1.06951107813663,5,0.387,15,0.387,1,0,0,0.148,0,0.852,5,0.476,15,0.476
89,2,9,22,3,701,16,16,1,0,0,0,0,1,206894,8851017,0,1.00317090254606,1.06951107813663,3,0.678,16,0.678,1,0,0,0.145,0,0.855,3,0.695,16,0.695
345,3,9,37,26,1668,23,23,1,0,0,0,0,1,206546,8851017,0,1.06953175600561,1.0713130489092,26,0.335,23,0.335,1,0,0,0.534,0,0.466,26,0.355,23,0.355
359,3,9,36,32,1497,21,23,1,0,0,0,0,0,208875,8851017,0,1.02724819642907,1.05936768402154,32,0.863,21,0.863,1,0,0,0.062,0,0.938,32,0.868,21,0.868
550,3,9,37,30,1002,23,23,1,0,0,1,0,0,206546,8851017,0,1.1168757571169,1.0713130489092,26,0.335,22,0.699,1,0,0,0.361,0,0.639,26,0.355,22,0.688
747,4,9,33,20,4007,31,31,1,0,0,0,0,1,230476,8851017,0,0.902071468464759,0.960080116801749,20,0.581,31,0.581,0.963,0.036,0.018,0.253,0,0.747,20,0.543,31,0.543
821,5,9,12,1,3366,12,12,1,0,0,0,0,1,234901,8851017,0,0.905752865329513,0.941994393382744,1,0.819,12,0.819,1,0,0,0,0,1,1,0.752,12,0.752
910,5,9,12,2,2844,12,12,1,0,0,0,0,1,234901,8851017,0,0.929580256093565,0.941994393382744,1,0.819,10,0.523,1,0,0,0.263,0,0.737,1,0.752,10,0.511
1079,5,9,13,7,856,10,10,1,0,0,0,0,0,237310,8851017,0,0.981949406016606,0.932431945556445,2,0.523,10,0.253,1,0,0,0.289,0,0.711,2,0.511,10,0.288
1219,5,9,15,4,1003,9,9,1,0,0,0,0,1,238889,8851017,0,0.903205552086012,0.926268790107539,4,0.779,9,0.779,1,0,0,0,0,1,4,0.774,9,0.774
1358,5,9,15,6,1328,9,9,1,0,0,0,0,1,238889,8851017,0,0.949264377826016,0.926268790107539,4,0.779,11,0.495,1,0,0,0.006,0.006,0.987,4,0.774,11,0.468
1672,6,9,26,15,1025,19,19,1,0,0,0,0,1,191829,8851017,0,1.17215866953426,1.15350351093943,11,0.34,18,0.544,1,0,0,0.165,0,0.835,11,0.357,18,0.527
1673,6,9,27,14,1051,19,19,1,0,0,0,0,1,192448,8851017,0,1.13183781668636,1.14979332079315,11,0.34,18,0.308,1,0,0,0,0,1,11,0.357,18,0.329
1971,7,9,6,24,1322,6,6,1,0,0,0,0,1,228851,8851017,0,1.15067225339442,0.966897348056159,24,0.731,6,0.731,1,0,0,0.128,0,0.872,24,0.723,6,0.723
1972,7,9,6,21,890,6,6,1,0,0,0,0,1,228851,8851017,0,1.02899658203125,0.966897348056159,24,0.731,7,0.34,1,0,0,0.065,0,0.935,24,0.723,7,0.368
2065,7,9,9,19,1670,7,7,1,0,0,0,0,1,225180,8851017,0,1.10930013084478,0.982660205169198,21,0.34,7,0.357,1,0,0,0,0,1,21,0.368,7,0.317
2106,7,9,9,22,1359,8,8,1,0,0,0,0,1,225180,8851017,0,0.982708210277614,0.982660205169198,22,0.579,8,0.579,1,0,0,0,0,1,22,0.575,8,0.575
2341,7,9,4,28,1591,5,6,1,0,0,0,0,1,229921,8851017,0,0.883486686337375,0.962397627880881,28,0.744,5,0.744,1,0,0,0.044,0.007,0.949,28,0.717,5,0.717
2521,7,9,8,29,1187,7,7,1,0,0,0,0,1,226966,8851017,0,0.902446726075165,0.974927632332596,21,0.34,2,0.677,1,0,0,0,0,1,21,0.368,2,0.597
2565,7,9,11,27,2283,3,3,1,0,0,0,0,1,227163,8851017,0,0.906138614064112,0.974082156865335,27,0.931,3,0.931,1,0,0,0,0,1,27,0.932,3,0.932
2633,7,9,8,31,1926,7,4,1,0,0,0,0,1,226966,8851017,0,0.898916244850868,0.974927632332596,21,0.34,4,0.76,1,0,0,0,0,1,21,0.368,4,0.729
2972,8,9,3,33,1166,1,1,1,0,0,0,0,1,240763,8851017,0,0.91905909545902,0.91905909545902,33,1,1,1,0.973,0.026,0.013,0.162,0,0.838,33,1,1,1
3119,9,9,1,34,2025,28,25,1,0,0,0,0,1,235925,8851017,0,0.953489802601812,0.937905796333581,34,0.336,28,0.336,0.615,0.386,0.193,0,0,1,34,0.352,28,0.352
3163,10,9,32,18,1770,33,33,1,0,0,0,0,1,225439,8851017,0,0.933163344916584,0.981531256792303,18,0.767,33,0.767,1,0,0,0.022,0,0.978,18,0.75,33,0.75
3217,10,9,35,23,1141,32,32,1,0,0,0,0,1,231111,8851017,0,1.06039825659408,0.957442203097213,23,0.587,32,0.587,1,0,0,0.517,0,0.483,23,0.659,32,0.659
3355,10,9,34,25,500,33,33,1,0,0,0,0,1,225859,8851017,0,0.997670903368922,0.979706033410225,18,0.767,32,0.277,1,0,0,0.148,0,0.852,18,0.75,32,0.243
3609,11,9,2,35,3458,26,26,1,0,0,0,0,1,243193,8851017,0,0.895674238713777,0.909875798234324,35,0.739,26,0.739,0.898,0.102,0.051,0,0.011,0.989,35,0.723,26,0.723
3742,12,9,19,38,1105,30,28,1,0,0,0,0,1,216566,8851017,0,1.10751786840446,1.02174591117719,38,0.763,30,0.763,1,0,0,0.455,0,0.545,38,0.788,30,0.788
3769,12,9,18,37,1330,29,27,1,0,0,1,0,0,217270,8851017,0,1.01068081228847,1.01843524186496,37,0.802,29,0.802,1,0,0,0.136,0,0.864,37,0.812,29,0.812
3829,12,9,18,40,2682,29,27,1,0,0,0,0,1,217270,8851017,0,0.958371086288964,1.01843524186496,37,0.802,30,0.137,0.851,0.148,0.069,0.045,0,0.955,37,0.812,30,0.156
4095,13,9,39,39,1570,27,29,1,0,0,0,0,1,208719,8851017,0,1.10391539367211,1.06015947278398,39,0.76,27,0.76,0.88,0.12,0.06,0.151,0,0.849,39,0.845,27,0.845
4107,13,9,40,36,1996,25,30,1,0,0,0,0,1,215656,8851017,0,0.988149926985786,1.02605735523241,36,0.505,25,0.505,0.75,0.25,0.125,0,0,1,36,0.53,25,0.53
4269,14,9,24,16,1860,24,24,1,0,0,1,0,0,193839,8851017,0,1.15489423167256,1.14154233668147,17,0.599,23,0.312,1,0,0,0.848,0,0.152,17,0.604,23,0.296
4274,14,9,25,17,1496,24,24,1,0,0,1,0,0,191600,8851017,0,1.14153055855056,1.15488217640919,17,0.599,24,0.599,1,0,0,1,0,0,17,0.604,24,0.604
4523,15,9,29,13,1429,14,14,1,0,0,0,0,0,226032,8851017,0,1.02948968767592,0.978956187619452,12,0.648,17,0.433,1,0,0,0.788,0,0.212,12,0.597,17,0.439
4586,15,9,31,9,2871,13,13,1,0,0,0,0,1,225585,8851017,0,0.962380885071219,0.980896003723652,9,0.865,13,0.865,1,0,0,0,0.021,0.979,9,0.821,13,0.821
4704,15,9,29,12,1528,13,13,1,0,0,0,0,1,226032,8851017,0,0.955948991670699,0.978956187619452,9,0.865,14,0.648,1,0,0,0.083,0,0.917,9,0.821,14,0.597
4981,16,9,28,8,280,17,17,1,0,0,1,0,0,226830,8851017,0,0.96905267099351,0.975512167702685,13,0.433,17,0.319,1,0,0,0.273,0,0.727,13,0.439,17,0.319
5183,17,9,21,10,1442,20,20,1,0,0,0,0,1,217776,8851017,0,1.01606891944016,1.01606891944016,10,0.585,20,0.585,1,0,0,0.101,0,0.899,10,0.595,20,0.595
5274,17,9,20,11,878,20,20,1,0,0,0,0,1,213202,8851017,0,1.03786749186218,1.03786749186218,10,0.585,19,0.34,1,0,0,0,0,1,10,0.595,19,0.357
