"seccion","munn","edon","disloc2016","disloc2010","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2010","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,10,3,16,513,3,3,1,0,0,0,1,0,99275,1600675,0,1.08741803646206,1.07490976244439,6,0.295,7,0.4,0.171,0.83,0.047,0.009,0.991,0,6,0.308,7,0.35,4,4
42,2,10,1,8,760,2,1,0,1,1,0,1,0,99956,1600675,0,1.41226849666536,1.06758640468473,7,0.65,7,0.297,0.074,0.926,0.074,0.135,0.865,0,7,0.538,7,0.384,4,4
66,4,10,6,15,2572,1,6,1,0,0,0,1,0,101768,1600675,0,1.30226066610205,1.04857781096874,15,0.339,1,0.339,0.174,0.826,0.139,0.036,0.964,0,15,0.325,1,0.325,6,6
108,5,10,11,2,9095,12,11,1,0,0,1,0,0,117933,1600675,0,0.685069723528299,0.90484992891444,1,0.551,8,0.74,0.838,0.162,0.015,0.111,0.889,0,1,0.481,8,0.811,12,12
122,5,10,11,1,905,12,11,1,0,0,0,0,0,117933,1600675,0,0.888847118351173,0.90484992891444,1,0.551,11,0.551,0.758,0.242,0.015,0.105,0.895,0,1,0.481,11,0.481,11,11
166,5,10,11,6,2495,11,11,1,0,0,0,1,0,117933,1600675,0,0.808439682497995,0.90484992891444,1,0.551,3,0.295,0.405,0.596,0.06,0.044,0.956,0,1,0.481,3,0.308,3,3
182,5,10,8,3,1165,9,8,1,0,0,0,1,0,115459,1600675,0,0.799230565666552,0.924238618614977,3,0.415,9,0.415,0.615,0.384,0.038,0.237,0.763,0,3,0.268,9,0.268,8,8
205,5,10,9,5,835,11,9,1,0,0,0,0,0,115204,1600675,0,0.992592799295556,0.926284388273555,5,0.214,10,0.214,0.905,0.095,0.027,0.366,0.634,0,5,0.281,10,0.281,9,9
229,5,10,9,4,633,9,9,1,0,0,1,0,0,115204,1600675,0,0.847768000190667,0.926284388273555,5,0.214,5,0.183,0.38,0.62,0.038,0.063,0.937,0,5,0.281,5,0.216,2,2
420,6,10,6,14,1271,1,6,1,0,0,0,1,0,101768,1600675,0,1.03597122767776,1.04857781096874,15,0.339,1,0.139,0.326,0.674,0.109,0.095,0.905,0,15,0.325,1,0.253,6,6
436,7,10,15,11,1328,13,15,1,0,0,0,1,0,109747,1600675,0,1.23247448121231,0.972342448237006,12,0.724,14,0.443,0.489,0.511,0.064,0,1,0,12,0.61,14,0.412,14,14
438,7,10,15,12,2814,13,15,1,0,0,0,1,0,109747,1600675,0,1.18477159464443,0.972342448237006,12,0.724,13,0.724,0.958,0.042,0.021,0,1,0,12,0.61,13,0.61,15,15
485,7,10,13,13,1602,15,13,1,0,0,0,1,0,96510,1600675,0,1.3269635545637,1.10570579905364,13,0.51,15,0.51,1,0,0,0.068,0.932,0,13,0.475,15,0.475,13,13
541,7,10,13,10,14035,15,13,1,0,0,0,1,0,96510,1600675,0,1.02369428495049,1.10570579905364,13,0.51,4,0.13,0.373,0.627,0.045,0,1,0,13,0.475,4,0.169,5,5
612,8,10,6,17,2281,1,6,1,0,0,0,1,0,101768,1600675,0,1.08361360011481,1.04857781096874,15,0.339,5,0.381,0.43,0.57,0.105,0.119,0.881,0,15,0.325,5,0.392,2,2
689,12,10,7,9,8932,6,7,1,0,0,0,1,0,105322,1600675,0,0.951969031232827,1.01319445763152,14,0.357,4,0.286,0.429,0.572,0.086,0.143,0.857,0,14,0.276,4,0.295,5,5
947,20,10,1,7,1079,2,1,0,1,1,0,1,0,99956,1600675,0,0.980366637247654,1.06758640468473,7,0.65,2,0.65,0.109,0.892,0.071,0.061,0.939,0,7,0.538,2,0.538,1,1
