"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,19,20,20,1144,3,1,0,1,1,0,1,0,139132,4405937,0,0.800260279023472,1.21797368962291,20,0.657,3,0.657,0.462,0.539,0.212,0,1,0,20,0.78,3,0.78,1,1
3,2,19,21,22,767,1,2,0,1,1,0,0,0,143590,4405937,0,0.595747255683342,1.18015958900073,21,0.474,2,0.628,0.389,0.611,0.176,0.163,0.837,0,21,0.699,2,0.389,6,6
20,4,19,26,24,7095,2,4,1,0,0,0,1,0,184973,4405937,0,1.59340964160428,0.916128923597581,26,0.581,2,0.327,0.371,0.629,0.101,0.025,0.975,0,26,0.694,2,0.308,3,3
39,5,19,21,21,16,1,2,1,0,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
63,6,19,5,16,3790,10,12,0,1,1,0,1,0,113694,4405937,0,0.364942263585514,1.49048424177719,16,0.245,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.213,11,0.436,13,13
151,7,19,26,26,2174,4,4,0,1,1,0,1,0,184973,4405937,0,1.57617325704441,0.916128923597581,26,0.581,4,0.581,0.097,0.903,0.105,0,1,0,26,0.694,4,0.694,4,4
172,9,19,23,23,2417,25,5,0,1,1,0,0,0,156275,4405937,0,1.31890193707137,1.08436484008712,22,0.188,25,0.436,0.519,0.481,0.078,0.118,0.882,0,22,0.229,25,0.351,5,5
356,19,19,18,18,2003,23,25,1,0,0,0,0,0,196797,4405937,0,1.04171629824627,0.861085867084434,18,0.827,23,0.827,1,0,0,0.686,0.314,0,18,0.875,23,0.875,25,25
430,21,19,25,17,4598,13,15,1,0,0,0,1,0,145669,4405937,0,0.479662811600211,1.16331625386744,17,0.412,13,0.412,0.943,0.057,0.019,0.074,0.926,0,17,0.456,13,0.456,15,15
526,26,19,12,15,284,5,7,1,0,0,1,0,0,167952,4405937,0,1.75798405901421,1.00897348876236,12,0.637,6,0.285,1,0,0,0.75,0.25,0,12,0.505,6,0.361,8,8
580,26,19,12,12,526,5,7,1,0,0,1,0,0,167952,4405937,0,1.04839309925707,1.00897348876236,12,0.637,5,0.637,1,0,0,0.433,0.567,0,12,0.505,5,0.505,7,7
604,26,19,14,14,6041,8,10,1,0,0,1,0,0,145047,4405937,0,0.824522271776607,1.16830486245572,14,0.445,6,0.352,1,0,0,0.5,0.5,0,14,0.354,6,0.336,8,8
697,26,19,15,13,1708,6,8,1,0,0,0,0,0,169413,4405937,0,0.900769774591714,1.00027220688268,15,0.285,7,0.7,1,0,0,0.143,0.857,0,15,0.361,7,0.731,9,9
822,30,19,24,25,1477,4,3,0,1,1,0,1,0,192265,4405937,0,1.92102201925584,0.881383067040883,24,0.327,4,0.439,0.397,0.603,0.103,0.586,0.414,0,24,0.308,4,0.304,3,3
975,40,19,11,3,1117,19,19,1,0,0,0,1,0,173620,4405937,0,1.41013809693286,0.976034531647364,11,0.111,22,0.256,1,0,0,0.548,0.452,0,11,0.169,22,0.261,22,22
988,40,19,4,5,1519,20,20,1,0,0,1,0,0,172678,4405937,0,2.07286902159748,0.981359034646078,4,0.463,20,0.319,1,0,0,0.623,0.377,0,4,0.44,20,0.338,20,20
1014,40,19,4,4,1476,20,20,1,0,0,0,1,0,172678,4405937,0,1.42291415435513,0.981359034646078,4,0.463,20,0.463,1,0,0,0.68,0.32,0,4,0.44,20,0.44,20,20
1131,40,19,6,6,137,18,18,1,0,0,0,0,0,173761,4405937,0,1.97224360914103,0.975242519233979,6,0.362,18,0.362,1,0,0,0.52,0.48,0,6,0.345,18,0.345,18,18
1263,40,19,6,7,295,18,18,1,0,0,0,1,0,173761,4405937,0,1.93800452178197,0.975242519233979,6,0.362,18,0.399,1,0,0,0.87,0.13,0,6,0.345,18,0.356,18,18
1349,40,19,6,8,750,18,18,1,0,0,0,0,0,173761,4405937,0,0.983340772846373,0.975242519233979,6,0.362,17,0.876,1,0,0,0.351,0.649,0,6,0.345,17,0.823,17,17
1432,40,19,1,1,2276,16,16,1,0,0,0,1,0,174177,4405937,0,0.528077817202399,0.97291327433941,1,0.543,21,0.331,1,0,0,0.163,0.837,0,1,0.442,21,0.351,21,21
1470,40,19,2,2,2853,22,22,1,0,0,0,1,0,176787,4405937,0,1.17566456951009,0.958549641006496,2,0.406,22,0.406,1,0,0,0,0.938,0.062,2,0.376,22,0.376,22,22
1766,47,19,10,11,1594,14,23,1,0,0,1,0,0,177291,4405937,0,1.30173926197478,0.955824691521935,11,0.48,14,0.48,1,0,0,0.851,0.149,0,11,0.466,14,0.466,23,23
1852,47,19,10,10,2171,14,23,1,0,0,0,0,0,177291,4405937,0,1.18205298119849,0.955824691521935,11,0.48,14,0.319,1,0,0,0.806,0.194,0,11,0.466,14,0.28,23,23
1925,47,19,9,9,1833,15,24,1,0,0,0,0,0,178428,4405937,0,1.17307652370335,0.949733872400158,9,0.81,15,0.81,1,0,0,1,0,0,9,0.796,15,0.796,24,24
1999,48,19,19,19,8475,24,26,1,0,0,0,0,0,195235,4405937,0,0.738837871566476,0.867975083282277,19,0.851,24,0.851,0.893,0.107,0.04,0.765,0.235,0,19,0.847,24,0.847,26,26
