"seccion","munn","edon","disloc2018","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,21,12,17,3081,12,1,0,1,1,0,0,0,224405,5677386,0,1.03132305919359,0.97306655377554,17,0.973,12,0.973,0.43,0.57,0.233,0.2,0.8,0,17,0.957,12,0.957,1,1
20,2,21,5,6,2145,16,2,0,1,1,0,1,0,213334,5677386,0,0.977859877745684,1.02356398886253,6,0.169,1,0.574,0.267,0.733,0.138,0.364,0.636,0,6,0.241,1,0.455,13,13
28,3,21,23,23,3789,8,3,1,0,0,0,1,0,214794,5677386,0,1.07069097399286,1.01660660912316,23,0.756,8,0.756,0.113,0.887,0.232,0.022,0.956,0.022,23,0.789,8,0.789,3,3
45,4,21,13,18,3870,6,4,1,0,0,0,1,0,225187,5677386,0,1.01989238774042,0.969687415348133,18,0.84,6,0.84,0.376,0.624,0.258,0,1,0,18,0.793,6,0.793,4,4
61,5,21,22,22,1270,3,5,1,0,0,0,1,0,226400,5677386,0,0.901230746372146,0.964492049469965,22,0.901,3,0.901,0.221,0.779,0.246,0,0.973,0.027,22,0.877,3,0.877,5,5
64,6,21,2,2,1256,19,6,0,1,1,0,1,0,215695,5677386,0,1.06217044459578,1.01236004543453,2,0.866,13,0.866,0.229,0.771,0.165,0.194,0.806,0,2,0.845,13,0.845,6,6
80,10,21,26,26,5461,18,19,1,0,0,0,1,0,232026,5677386,0,1.02835062470272,0.941105738150035,26,0.915,18,0.915,0.245,0.754,0.075,0.087,0.891,0.022,26,0.925,18,0.925,19,19
103,12,21,14,20,891,10,8,1,0,0,1,0,0,222377,5677386,0,0.982329310042332,0.981940578387153,20,0.674,10,0.674,0.174,0.826,0.152,0.14,0.86,0,20,0.667,10,0.667,8,8
134,16,21,3,3,2852,7,7,0,1,1,0,1,0,213369,5677386,0,0.987996235532591,1.02339608846646,3,0.625,7,0.625,0.167,0.833,0.108,0,1,0,3,0.624,7,0.624,7,7
139,17,21,5,5,3923,16,2,0,1,1,0,1,0,213334,5677386,0,0.967132012295046,1.02356398886253,6,0.169,7,0.257,0.19,0.809,0.23,0.068,0.932,0,6,0.241,7,0.23,2,2
154,19,21,21,21,2603,11,10,1,0,0,1,0,0,215993,5677386,0,0.986006502302899,1.01096331825568,21,0.832,11,0.832,0.549,0.451,0.128,0.519,0.463,0.019,21,0.836,11,0.836,10,10
245,26,21,8,8,1455,2,11,1,0,0,0,1,0,212060,5677386,0,0.995550226363997,1.02971328869188,8,0.402,2,0.402,0.724,0.276,0.092,0.552,0.448,0,8,0.447,2,0.447,11,11
253,27,21,24,25,835,17,9,0,1,1,0,1,0,212600,5677386,0,1.05622091729629,1.02709783631232,25,0.358,5,0.221,0.716,0.284,0.034,0.406,0.562,0.031,25,0.279,5,0.328,12,12
260,28,21,2,4,1763,19,6,0,1,1,0,1,0,215695,5677386,0,0.918000050448572,1.01236004543453,2,0.866,16,0.605,0.097,0.903,0.226,0.019,0.981,0,2,0.845,16,0.605,18,18
282,35,21,8,9,1450,2,11,1,0,0,1,0,0,212060,5677386,0,0.892208938392266,1.02971328869188,8,0.402,9,0.362,1,0,0,0.906,0.094,0,8,0.447,9,0.489,16,16
395,47,21,25,24,4030,5,12,0,1,1,0,1,0,215481,5677386,0,1.0466574316843,1.01336544753366,25,0.221,5,0.394,0.367,0.633,0.215,0.148,0.852,0,25,0.328,5,0.277,12,12
415,49,21,8,7,3111,2,11,0,1,1,0,0,0,212060,5677386,0,0.863797113832716,1.02971328869188,8,0.402,4,0.889,0.661,0.339,0.098,0.404,0.596,0,8,0.447,4,0.871,17,17
502,58,21,1,1,2270,15,14,0,1,1,1,0,0,210881,5677386,0,0.976879957410448,1.03547024151061,1,0.943,15,0.943,0.215,0.785,0.131,0.038,0.943,0.019,1,0.938,15,0.938,14,14
544,66,21,15,19,3891,14,15,1,0,0,0,1,0,217347,5677386,0,0.955113877431405,1.00466535079849,19,0.841,14,0.841,0.215,0.785,0.347,0.087,0.913,0,19,0.843,14,0.843,15,15
933,115,21,17,13,364,26,26,1,0,0,1,0,0,228594,5677386,0,1.01075741655365,0.955235045539253,13,0.547,26,0.547,1,0,0,0.947,0.053,0,13,0.658,26,0.658,26,26
941,115,21,17,11,773,26,26,1,0,0,0,0,0,228594,5677386,0,0.976670229943152,0.955235045539253,13,0.547,24,0.22,1,0,0,1,0,0,13,0.658,24,0.224,24,24
1047,115,21,9,10,1738,22,20,1,0,0,1,0,0,235562,5677386,0,1.09217633995558,0.926978884539951,11,0.232,24,0.218,0.96,0.04,0.02,0.524,0.476,0,11,0.261,24,0.134,24,24
1181,115,21,19,14,2008,25,25,1,0,0,0,0,0,204835,5677386,0,1.00967780716518,1.06603363682964,15,0.416,23,0.647,1,0,0,0.821,0.179,0,15,0.527,23,0.671,23,23
1186,115,21,19,15,1785,25,25,1,0,0,1,0,0,204835,5677386,0,1.02770691943485,1.06603363682964,15,0.416,25,0.416,1,0,0,0.75,0.25,0,15,0.527,25,0.527,25,25
1214,115,21,19,16,10076,25,25,1,0,0,0,0,0,204835,5677386,0,1.3663531752736,1.06603363682964,15,0.416,20,0.42,0.725,0.275,0.1,0.154,0.846,0,15,0.527,20,0.387,21,21
1291,115,21,10,12,1374,24,24,1,0,0,1,0,0,210600,5677386,0,0.978350575510881,1.03685185185185,11,0.22,21,0.541,1,0,0,0.857,0.143,0,11,0.224,21,0.38,22,22
