"","SECCION","munn.x","edon.x","edo.x","disloc2016.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2",320,1,1,"ags",11,6,11,11,11,5227,0.426,0.604616384118462,0.178616384118462,0,0,0
"3",321,1,1,"ags",13,10,13,13,13,1823,0.458,0.57150405692613,0.11350405692613,0,0,0
"4",338,2,1,"ags",2,2,2,2,2,2367,1,1,0,0,0,0
"5",339,2,1,"ags",2,2,2,2,2,2166,1,1,0,0,0,0
"6",340,2,1,"ags",2,2,2,2,2,2307,1,1,0,0,0,0
"7",341,2,1,"ags",2,2,2,2,2,2621,1,1,0,0,0,0
"8",342,2,1,"ags",2,2,2,2,2,2138,1,1,0,0,0,0
"9",358,3,1,"ags",3,8,3,3,3,4364,0.8,0.865245624391723,0.065245624391723,0,0,0
"10",359,3,1,"ags",3,8,3,3,3,1196,0.8,0.865245624391723,0.065245624391723,0,0,0
"11",360,3,1,"ags",3,8,3,3,3,972,0.8,0.865245624391723,0.065245624391723,0,0,0
"12",361,3,1,"ags",3,8,3,3,3,2066,0.8,0.865245624391723,0.065245624391723,0,0,0
"13",362,3,1,"ags",3,8,3,3,3,2571,0.8,0.865245624391723,0.065245624391723,0,0,0
"14",363,3,1,"ags",3,8,3,3,3,2513,0.8,0.865245624391723,0.065245624391723,0,0,0
"15",364,3,1,"ags",3,8,3,3,3,664,0.8,0.865245624391723,0.065245624391723,0,0,0
"16",365,3,1,"ags",3,8,3,3,3,383,0.8,0.865245624391723,0.065245624391723,0,0,0
"17",366,3,1,"ags",3,8,3,3,3,725,0.8,0.865245624391723,0.065245624391723,0,0,0
"18",367,3,1,"ags",3,8,3,3,3,2060,0.8,0.865245624391723,0.065245624391723,0,0,0
"19",368,3,1,"ags",3,8,3,3,3,92,0.8,0.865245624391723,0.065245624391723,0,0,0
"20",451,7,1,"ags",4,1,4,4,4,924,0.765,0.883703958691911,0.118703958691911,0,0,0
"21",459,8,1,"ags",3,1,3,3,3,106,0.8,0.865245624391723,0.065245624391723,0,0,0
"22",463,9,1,"ags",1,3,1,1,1,1822,1,1,0,0,0,0
"23",464,9,1,"ags",1,3,1,1,1,2204,1,1,0,0,0,0
"24",465,9,1,"ags",1,3,1,1,1,757,1,1,0,0,0,0
"25",466,9,1,"ags",1,3,1,1,1,969,1,1,0,0,0,0
"26",467,9,1,"ags",1,3,1,1,1,2652,1,1,0,0,0,0
"27",468,9,1,"ags",1,3,1,1,1,1207,1,1,0,0,0,0
