"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E3","dsi_pob","dif","rural","urbano","mixto"
"1",1,1,4,"cam",11,2,9,11,11,730,0.306,0.28851283160323,0.01748716839677,0,0,0
"2",2,1,4,"cam",11,2,9,11,11,871,0.306,0.28851283160323,0.01748716839677,0,0,0
"3",3,1,4,"cam",11,2,9,11,11,787,0.306,0.28851283160323,0.01748716839677,0,0,0
"4",4,1,4,"cam",5,2,10,5,5,14373,0.231,0.208190485936994,0.022809514063006,0,0,0
"5",5,1,4,"cam",11,2,9,11,11,1298,0.306,0.28851283160323,0.01748716839677,0,0,0
"6",6,1,4,"cam",11,2,9,11,11,1318,0.306,0.28851283160323,0.01748716839677,0,0,0
"7",7,1,4,"cam",11,1,9,11,11,1276,0.306,0.28851283160323,0.01748716839677,0,0,0
"8",8,1,4,"cam",11,2,9,11,11,1025,0.306,0.28851283160323,0.01748716839677,0,0,0
"9",9,1,4,"cam",7,2,9,7,7,6613,0.136,0.122314049586777,0.013685950413223,0,0,0
"10",10,1,4,"cam",5,1,10,5,5,1352,0.231,0.208190485936994,0.022809514063006,0,0,0
"11",11,1,4,"cam",11,1,9,11,11,1003,0.306,0.28851283160323,0.01748716839677,0,0,0
"12",12,1,4,"cam",11,1,9,11,11,1743,0.306,0.28851283160323,0.01748716839677,0,0,0
"13",13,1,4,"cam",5,1,10,5,5,1538,0.231,0.208190485936994,0.022809514063006,0,0,0
"14",14,1,4,"cam",5,1,10,5,5,1335,0.231,0.208190485936994,0.022809514063006,0,0,0
"15",15,1,4,"cam",5,2,10,5,5,1392,0.231,0.208190485936994,0.022809514063006,0,0,0
"16",16,1,4,"cam",5,2,10,5,5,1380,0.231,0.208190485936994,0.022809514063006,0,0,0
"17",17,1,4,"cam",7,7,7,7,7,7054,0.136,0.122314049586777,0.013685950413223,0,0,1
"18",18,1,4,"cam",7,2,7,7,7,852,0.136,0.122314049586777,0.013685950413223,0,0,0
"19",19,1,4,"cam",5,2,10,5,5,1264,0.231,0.208190485936994,0.022809514063006,0,0,0
"20",20,1,4,"cam",5,2,10,5,5,1527,0.231,0.208190485936994,0.022809514063006,0,0,0
"21",21,1,4,"cam",5,1,10,5,5,2006,0.231,0.208190485936994,0.022809514063006,0,0,0
"22",22,1,4,"cam",5,1,10,5,5,1196,0.231,0.208190485936994,0.022809514063006,0,0,0
"23",23,1,4,"cam",5,1,10,5,5,1060,0.231,0.208190485936994,0.022809514063006,0,0,0
"24",24,1,4,"cam",11,1,9,11,11,1225,0.306,0.28851283160323,0.01748716839677,0,0,0
"25",25,1,4,"cam",11,1,9,11,11,664,0.306,0.28851283160323,0.01748716839677,0,0,0
"26",26,1,4,"cam",11,1,9,11,11,1202,0.306,0.28851283160323,0.01748716839677,0,0,0
"27",27,1,4,"cam",11,1,9,11,11,1234,0.306,0.28851283160323,0.01748716839677,0,0,0
"28",28,1,4,"cam",9,1,9,9,9,473,0.364,0.371582049464692,0.00758204946469199,0,0,0
"29",29,1,4,"cam",11,1,9,11,11,866,0.306,0.28851283160323,0.01748716839677,0,0,0
"30",30,1,4,"cam",11,1,9,11,11,834,0.306,0.28851283160323,0.01748716839677,0,0,0
"31",31,1,4,"cam",11,1,9,11,11,755,0.306,0.28851283160323,0.01748716839677,0,0,0
"32",32,1,4,"cam",5,1,10,5,5,953,0.231,0.208190485936994,0.022809514063006,0,0,0
"33",33,1,4,"cam",5,1,10,5,5,1145,0.231,0.208190485936994,0.022809514063006,0,0,0
"34",34,1,4,"cam",5,1,10,5,5,1621,0.231,0.208190485936994,0.022809514063006,0,0,0
"35",35,1,4,"cam",5,2,10,5,5,1308,0.231,0.208190485936994,0.022809514063006,0,0,0
"36",36,1,4,"cam",5,2,10,5,5,1395,0.231,0.208190485936994,0.022809514063006,0,0,0
"37",37,1,4,"cam",5,2,10,5,5,1141,0.231,0.208190485936994,0.022809514063006,0,0,0
"38",38,1,4,"cam",7,2,7,7,7,897,0.136,0.122314049586777,0.013685950413223,0,0,0
"39",39,1,4,"cam",7,3,7,7,7,2817,0.136,0.122314049586777,0.013685950413223,0,0,0
"40",40,1,4,"cam",5,3,10,5,5,927,0.231,0.208190485936994,0.022809514063006,0,0,0
"41",41,1,4,"cam",5,3,10,5,5,1029,0.231,0.208190485936994,0.022809514063006,0,0,0
"42",42,1,4,"cam",8,3,5,8,8,1330,0.684,0.755999630791951,0.0719996307919509,0,0,0
"43",43,1,4,"cam",8,1,5,8,8,1186,0.684,0.755999630791951,0.0719996307919509,0,0,0
"44",44,1,4,"cam",11,1,5,11,11,1045,0.306,0.28851283160323,0.01748716839677,0,0,0
"45",45,1,4,"cam",11,1,5,11,11,941,0.306,0.28851283160323,0.01748716839677,0,0,0
"46",46,1,4,"cam",11,1,5,11,11,1102,0.306,0.28851283160323,0.01748716839677,0,0,0
"47",47,1,4,"cam",11,1,5,11,11,1082,0.306,0.28851283160323,0.01748716839677,0,0,0
"48",48,1,4,"cam",11,1,9,11,11,1037,0.306,0.28851283160323,0.01748716839677,0,0,0
"49",49,1,4,"cam",6,1,9,6,6,1292,0.913,0.93917622036624,0.02617622036624,0,0,0
