"","SECCION","munn","edo","edon","disloc2012","disloc2018","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"1",821,5,"df",9,1,1,2075,3366,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"2",822,5,"df",9,1,1,1603,2562,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"3",823,5,"df",9,1,1,1655,2648,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"4",824,5,"df",9,1,1,1967,3085,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"5",825,5,"df",9,1,1,1225,1861,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"6",826,5,"df",9,1,1,1249,1967,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"7",827,5,"df",9,1,1,3200,5014,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"8",828,5,"df",9,1,1,1551,2360,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"9",829,5,"df",9,1,1,1152,1730,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"10",830,5,"df",9,1,1,1456,2270,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"11",831,5,"df",9,1,1,1548,2440,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"12",832,5,"df",9,1,1,1306,1976,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"13",833,5,"df",9,1,1,2460,3812,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"14",834,5,"df",9,1,1,1390,2135,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"15",835,5,"df",9,1,1,1497,2191,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"16",836,5,"df",9,1,1,1095,1616,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"17",837,5,"df",9,1,1,1349,1986,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"18",838,5,"df",9,1,1,1143,1668,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"19",839,5,"df",9,1,1,1341,1986,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"20",840,5,"df",9,1,1,1240,1842,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"21",841,5,"df",9,1,1,1691,2557,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
"22",842,5,"df",9,1,1,1921,3055,9,"DISTRITO FEDERAL",1,5,"GUSTAVO A. MADERO","URBANO(A)"
