"","SECCION","munn","edo","edon","disloc2015","disloc2018","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"1",411,3,"gue",12,17,17,931,1519,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","MIXTO(A)"
"2",412,3,"gue",12,17,17,264,404,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","URBANO(A)"
"3",413,3,"gue",12,17,17,620,1030,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","MIXTO(A)"
"4",414,3,"gue",12,17,17,2073,3571,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","URBANO(A)"
"5",415,3,"gue",12,17,17,1684,3094,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","MIXTO(A)"
"6",416,3,"gue",12,17,17,623,1089,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"7",417,3,"gue",12,17,17,737,1290,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","URBANO(A)"
"8",418,3,"gue",12,17,17,1081,1868,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","URBANO(A)"
"9",419,3,"gue",12,17,17,528,886,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"10",420,3,"gue",12,17,17,347,541,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"11",421,3,"gue",12,17,17,935,1472,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"12",422,3,"gue",12,17,17,1054,1861,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","URBANO(A)"
"13",423,3,"gue",12,17,17,600,1004,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","MIXTO(A)"
"14",424,3,"gue",12,17,17,439,805,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"15",425,3,"gue",12,17,17,457,782,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"16",426,3,"gue",12,17,17,379,635,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"17",427,3,"gue",12,17,17,465,720,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"18",428,3,"gue",12,17,17,529,910,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"19",429,3,"gue",12,17,17,118,197,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
"20",430,3,"gue",12,17,17,134,204,12,"GUERRERO",1,3,"AJUCHITLAN DEL PROGRESO","RURAL"
