"","SECCION","munn","edo","edon","disloc2013","disloc2016","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"1",162,1,"gue",12,5,5,1715,2720,13,"HIDALGO",1,10,"ATLAPEXCO","MIXTO(A)"
"2",163,1,"gue",12,5,5,345,549,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"3",164,1,"gue",12,5,5,4170,7044,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"4",165,1,"gue",12,5,5,1960,3240,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"5",166,1,"gue",12,8,8,1683,2861,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"6",167,1,"gue",12,8,8,1029,1539,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"7",168,1,"gue",12,8,8,1097,1695,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"8",169,1,"gue",12,5,5,1133,1751,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"9",170,1,"gue",12,5,5,1281,2166,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"10",171,1,"gue",12,5,5,1404,2165,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"11",172,1,"gue",12,6,6,1198,1783,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"12",173,1,"gue",12,6,6,1260,2007,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"13",174,1,"gue",12,6,6,1274,1864,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"14",175,1,"gue",12,6,6,1226,1767,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"15",176,1,"gue",12,6,6,1375,2011,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"16",177,1,"gue",12,6,6,1312,1921,13,"HIDALGO",1,10,"ATLAPEXCO","RURAL"
"17",224,1,"gue",12,5,5,1931,2871,13,"HIDALGO",1,13,"CALNALI","MIXTO(A)"
"18",225,1,"gue",12,5,5,1457,2192,13,"HIDALGO",1,13,"CALNALI","MIXTO(A)"
"19",226,1,"gue",12,5,5,1198,1898,13,"HIDALGO",1,13,"CALNALI","RURAL"
"20",227,1,"gue",12,5,5,925,1363,13,"HIDALGO",1,13,"CALNALI","RURAL"
"21",228,1,"gue",12,5,5,1635,2391,13,"HIDALGO",1,13,"CALNALI","RURAL"
"22",229,1,"gue",12,5,5,746,1229,13,"HIDALGO",1,13,"CALNALI","RURAL"
"23",230,1,"gue",12,5,5,1511,2385,13,"HIDALGO",1,13,"CALNALI","RURAL"
"24",231,1,"gue",12,4,4,1410,2078,13,"HIDALGO",1,13,"CALNALI","RURAL"
"25",232,1,"gue",12,4,4,1405,2015,13,"HIDALGO",1,13,"CALNALI","RURAL"
"26",233,1,"gue",12,5,5,888,1246,13,"HIDALGO",1,13,"CALNALI","RURAL"
"27",234,1,"gue",12,5,5,726,1075,13,"HIDALGO",1,13,"CALNALI","RURAL"
"28",235,1,"gue",12,5,5,551,776,13,"HIDALGO",1,13,"CALNALI","RURAL"
"29",236,1,"gue",12,5,5,755,993,13,"HIDALGO",1,13,"CALNALI","RURAL"
"30",237,1,"gue",12,3,3,889,1157,13,"HIDALGO",1,13,"CALNALI","RURAL"
"31",238,1,"gue",12,3,3,789,1110,13,"HIDALGO",1,13,"CALNALI","RURAL"
"32",239,1,"gue",12,3,3,1203,1731,13,"HIDALGO",1,13,"CALNALI","RURAL"
"33",405,2,"gue",12,26,26,665,1265,13,"HIDALGO",1,25,"HUAUTLA","URBANO(A)"
"34",406,2,"gue",12,26,26,386,783,13,"HIDALGO",1,25,"HUAUTLA","MIXTO(A)"
"35",407,2,"gue",12,26,26,93,180,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"36",408,2,"gue",12,26,26,699,1203,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"37",409,2,"gue",12,26,26,1134,2442,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"38",410,2,"gue",12,26,26,73,158,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"39",411,3,"gue",12,17,17,931,1519,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"40",412,3,"gue",12,17,17,264,404,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"41",413,3,"gue",12,17,17,620,1030,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"42",414,3,"gue",12,17,17,2073,3571,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"43",415,3,"gue",12,17,17,1684,3094,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"44",416,3,"gue",12,17,17,623,1089,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"45",417,3,"gue",12,17,17,737,1290,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"46",418,3,"gue",12,17,17,1081,1868,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"47",419,3,"gue",12,17,17,528,886,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"48",420,3,"gue",12,17,17,347,541,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"49",421,3,"gue",12,17,17,935,1472,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"50",422,3,"gue",12,17,17,1054,1861,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"51",423,3,"gue",12,17,17,600,1004,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"52",424,3,"gue",12,17,17,439,805,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"53",425,3,"gue",12,17,17,457,782,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"54",426,3,"gue",12,17,17,379,635,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"55",427,3,"gue",12,17,17,465,720,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"56",428,3,"gue",12,17,17,529,910,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"57",429,3,"gue",12,17,17,118,197,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"58",430,3,"gue",12,17,17,134,204,13,"HIDALGO",1,25,"HUAUTLA","RURAL"
"59",431,3,"gue",12,17,17,188,327,13,"HIDALGO",1,26,"HUAZALINGO","MIXTO(A)"
"60",432,3,"gue",12,17,17,481,922,13,"HIDALGO",1,26,"HUAZALINGO","RURAL"
"61",433,3,"gue",12,17,17,239,373,13,"HIDALGO",1,26,"HUAZALINGO","RURAL"
"62",434,3,"gue",12,17,17,810,1253,13,"HIDALGO",1,26,"HUAZALINGO","RURAL"
"63",435,3,"gue",12,17,17,467,745,13,"HIDALGO",1,26,"HUAZALINGO","RURAL"
"64",436,3,"gue",12,17,17,261,428,13,"HIDALGO",1,26,"HUAZALINGO","RURAL"
"65",437,3,"gue",12,17,17,182,307,13,"HIDALGO",1,26,"HUAZALINGO","RURAL"
"66",438,3,"gue",12,17,17,569,931,13,"HIDALGO",1,26,"HUAZALINGO","RURAL"
"67",439,3,"gue",12,17,17,127,190,13,"HIDALGO",1,26,"HUAZALINGO","RURAL"
"68",440,3,"gue",12,17,17,254,473,13,"HIDALGO",1,26,"HUAZALINGO","RURAL"
"69",457,4,"gue",12,28,28,417,740,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","MIXTO(A)"
"70",458,4,"gue",12,28,28,141,316,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"71",459,4,"gue",12,28,28,770,1857,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"72",460,4,"gue",12,28,28,151,322,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"73",461,4,"gue",12,28,28,346,643,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"74",462,4,"gue",12,28,28,78,199,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"75",463,4,"gue",12,28,28,347,878,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"76",464,4,"gue",12,28,28,205,437,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"77",465,4,"gue",12,28,28,841,1565,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"78",466,4,"gue",12,28,28,187,433,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"79",467,4,"gue",12,28,28,660,1637,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","URBANO(A)"
"80",468,4,"gue",12,28,28,583,1217,13,"HIDALGO",1,28,"HUEJUTLA DE REYES","MIXTO(A)"
