"","SECCION","munn","edo","edon","disloc1996","disloc2018","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"1",1,1,"mex",15,13,14,1236,1958,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","MIXTO(A)"
"2",2,1,"mex",15,13,14,1295,2049,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","MIXTO(A)"
"3",3,1,"mex",15,13,14,1538,2374,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","URBANO(A)"
"4",4,1,"mex",15,13,14,1574,3054,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"5",5,1,"mex",15,13,14,627,890,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"6",6,1,"mex",15,13,14,698,1099,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"7",7,1,"mex",15,13,14,728,1172,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"8",8,1,"mex",15,13,14,630,971,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"9",9,1,"mex",15,13,14,495,811,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"10",10,1,"mex",15,13,14,928,1763,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"11",11,1,"mex",15,13,14,1274,2347,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"12",12,1,"mex",15,13,14,843,1521,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"13",13,1,"mex",15,13,14,1219,2181,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"14",14,1,"mex",15,13,14,1365,2303,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"15",15,1,"mex",15,13,14,792,1273,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"16",16,1,"mex",15,13,14,1208,2433,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"17",17,1,"mex",15,13,14,1149,2116,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"18",18,1,"mex",15,13,14,569,982,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"19",19,1,"mex",15,13,14,1357,2510,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"20",20,1,"mex",15,13,14,1923,3348,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"21",21,1,"mex",15,13,14,1311,2387,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"22",22,1,"mex",15,13,14,1291,2315,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"23",23,1,"mex",15,13,14,1451,2533,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"24",24,1,"mex",15,13,14,566,1065,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"25",25,1,"mex",15,13,14,813,1332,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"26",26,1,"mex",15,13,14,1146,1835,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"27",27,1,"mex",15,13,14,722,1198,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","URBANO(A)"
"28",28,1,"mex",15,13,14,1877,3224,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","URBANO(A)"
"29",29,1,"mex",15,13,14,810,1274,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"30",30,1,"mex",15,13,14,1279,2114,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"31",31,1,"mex",15,13,14,1404,2289,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"32",32,1,"mex",15,13,14,1003,1695,15,"MEXICO",1,1,"ACAMBAY DE RUIZ CASTAÑEDA","RURAL"
"33",59,3,"mex",15,13,14,1337,2042,15,"MEXICO",1,3,"ACULCO","URBANO(A)"
"34",60,3,"mex",15,13,14,1016,1784,15,"MEXICO",1,3,"ACULCO","RURAL"
