"","SECCION","munn","edo","edon","disloc2012","disloc2018","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"1",149,9,"mic",16,19,14,155,239,16,"MICHOACAN",1,9,"ARIO","URBANO(A)"
"2",150,9,"mic",16,19,14,655,1038,16,"MICHOACAN",1,9,"ARIO","MIXTO(A)"
"3",151,9,"mic",16,19,14,1512,2337,16,"MICHOACAN",1,9,"ARIO","URBANO(A)"
"4",152,9,"mic",16,19,14,297,407,16,"MICHOACAN",1,9,"ARIO","URBANO(A)"
"5",153,9,"mic",16,19,14,3221,4914,16,"MICHOACAN",1,9,"ARIO","MIXTO(A)"
"6",154,9,"mic",16,19,14,1873,2924,16,"MICHOACAN",1,9,"ARIO","URBANO(A)"
"7",155,9,"mic",16,19,14,820,1258,16,"MICHOACAN",1,9,"ARIO","MIXTO(A)"
"8",156,9,"mic",16,19,14,2082,3660,16,"MICHOACAN",1,9,"ARIO","URBANO(A)"
"9",157,9,"mic",16,19,14,1281,2154,16,"MICHOACAN",1,9,"ARIO","RURAL"
"10",158,9,"mic",16,19,14,937,1550,16,"MICHOACAN",1,9,"ARIO","RURAL"
"11",159,9,"mic",16,19,14,1696,2818,16,"MICHOACAN",1,9,"ARIO","RURAL"
"12",160,9,"mic",16,19,14,1311,2265,16,"MICHOACAN",1,9,"ARIO","RURAL"
"13",161,9,"mic",16,19,14,1517,2468,16,"MICHOACAN",1,9,"ARIO","RURAL"
"14",162,9,"mic",16,19,14,327,553,16,"MICHOACAN",1,9,"ARIO","RURAL"
"15",163,9,"mic",16,19,14,861,1438,16,"MICHOACAN",1,9,"ARIO","RURAL"
"16",164,9,"mic",16,19,14,558,889,16,"MICHOACAN",1,9,"ARIO","RURAL"
"17",165,9,"mic",16,19,14,614,1041,16,"MICHOACAN",1,9,"ARIO","RURAL"
"18",166,9,"mic",16,19,14,1128,1862,16,"MICHOACAN",1,9,"ARIO","RURAL"
"19",167,9,"mic",16,19,14,206,421,16,"MICHOACAN",1,9,"ARIO","RURAL"
"20",168,9,"mic",16,19,14,380,635,16,"MICHOACAN",1,9,"ARIO","RURAL"
"21",169,9,"mic",16,19,14,311,529,16,"MICHOACAN",1,9,"ARIO","RURAL"
"22",170,10,"mic",16,22,16,1686,2906,16,"MICHOACAN",1,10,"ARTEAGA","MIXTO(A)"
"23",171,10,"mic",16,22,16,772,1229,16,"MICHOACAN",1,10,"ARTEAGA","URBANO(A)"
"24",172,10,"mic",16,22,16,1199,1923,16,"MICHOACAN",1,10,"ARTEAGA","MIXTO(A)"
