"","SECCION","munn","edo","edon","disloc2013","disloc2018","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"1",423,50,"pue",21,2,2,1804,3425,21,"PUEBLA",1,50,"CHICONCUAUTLA","MIXTO(A)"
"2",424,50,"pue",21,2,2,1520,3109,21,"PUEBLA",1,50,"CHICONCUAUTLA","RURAL"
"3",425,50,"pue",21,2,2,546,1081,21,"PUEBLA",1,50,"CHICONCUAUTLA","RURAL"
"4",426,50,"pue",21,2,2,852,1730,21,"PUEBLA",1,50,"CHICONCUAUTLA","RURAL"
"5",427,50,"pue",21,2,2,1156,2402,21,"PUEBLA",1,50,"CHICONCUAUTLA","RURAL"
"6",428,50,"pue",21,2,2,1713,3475,21,"PUEBLA",1,50,"CHICONCUAUTLA","RURAL"
"7",429,50,"pue",21,2,2,571,1117,21,"PUEBLA",1,50,"CHICONCUAUTLA","RURAL"
"8",502,58,"pue",21,1,1,1297,2270,21,"PUEBLA",1,58,"HONEY","MIXTO(A)"
"9",503,58,"pue",21,1,1,1082,1899,21,"PUEBLA",1,58,"HONEY","RURAL"
"10",504,58,"pue",21,1,1,1898,3299,21,"PUEBLA",1,58,"HONEY","RURAL"
"11",535,65,"pue",21,1,1,1874,2884,21,"PUEBLA",1,65,"FRANCISCO Z. MENA","MIXTO(A)"
"12",536,65,"pue",21,1,1,1373,2063,21,"PUEBLA",1,65,"FRANCISCO Z. MENA","MIXTO(A)"
"13",537,65,"pue",21,1,1,1283,1913,21,"PUEBLA",1,65,"FRANCISCO Z. MENA","RURAL"
"14",538,65,"pue",21,1,1,1384,2195,21,"PUEBLA",1,65,"FRANCISCO Z. MENA","RURAL"
"15",539,65,"pue",21,1,1,647,1026,21,"PUEBLA",1,65,"FRANCISCO Z. MENA","RURAL"
"16",540,65,"pue",21,1,1,755,1221,21,"PUEBLA",1,65,"FRANCISCO Z. MENA","RURAL"
"17",541,65,"pue",21,1,1,1324,2122,21,"PUEBLA",1,65,"FRANCISCO Z. MENA","RURAL"
"18",542,65,"pue",21,1,1,1137,1798,21,"PUEBLA",1,65,"FRANCISCO Z. MENA","RURAL"
"19",543,65,"pue",21,1,1,632,1048,21,"PUEBLA",1,65,"FRANCISCO Z. MENA","RURAL"
"20",594,72,"pue",21,2,2,441,618,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"21",595,72,"pue",21,2,2,989,1506,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"22",596,72,"pue",21,2,2,933,1370,21,"PUEBLA",1,72,"HUAUCHINANGO","MIXTO(A)"
"23",597,72,"pue",21,2,2,1390,2136,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"24",598,72,"pue",21,2,2,1647,2600,21,"PUEBLA",1,72,"HUAUCHINANGO","MIXTO(A)"
"25",599,72,"pue",21,2,2,1385,2179,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"26",600,72,"pue",21,2,2,1577,2663,21,"PUEBLA",1,72,"HUAUCHINANGO","MIXTO(A)"
"27",601,72,"pue",21,2,2,865,1304,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"28",602,72,"pue",21,2,2,1066,1766,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"29",603,72,"pue",21,2,2,3901,6084,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"30",604,72,"pue",21,2,2,3019,4554,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"31",605,72,"pue",21,2,2,1604,2707,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"32",606,72,"pue",21,2,2,827,1319,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"33",607,72,"pue",21,2,2,1405,2130,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"34",608,72,"pue",21,2,2,1526,2581,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"35",609,72,"pue",21,2,2,4066,7309,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"36",610,72,"pue",21,2,2,1209,2099,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"37",611,72,"pue",21,2,2,1833,3068,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"38",612,72,"pue",21,2,2,4190,7083,21,"PUEBLA",1,72,"HUAUCHINANGO","MIXTO(A)"
"39",613,72,"pue",21,2,2,1060,2173,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"40",614,72,"pue",21,2,2,1409,2594,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"41",615,72,"pue",21,2,2,2507,3908,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"42",616,72,"pue",21,2,2,2012,3344,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"43",617,72,"pue",21,2,2,1097,1714,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"44",618,72,"pue",21,2,2,1748,2929,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"45",619,72,"pue",21,2,2,1754,3074,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"46",620,72,"pue",21,2,2,1060,1752,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"47",621,72,"pue",21,2,2,1508,2626,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"48",622,72,"pue",21,2,2,1171,2101,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"49",623,72,"pue",21,2,2,1923,2975,21,"PUEBLA",1,72,"HUAUCHINANGO","URBANO(A)"
"50",624,72,"pue",21,2,2,1401,2704,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"51",625,72,"pue",21,2,2,566,1030,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"52",626,72,"pue",21,2,2,1091,1932,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"53",627,72,"pue",21,2,2,1297,2462,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"54",628,72,"pue",21,2,2,1278,2605,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"55",629,72,"pue",21,2,2,1992,3327,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"56",630,72,"pue",21,2,2,509,867,21,"PUEBLA",1,72,"HUAUCHINANGO","RURAL"
"57",764,88,"pue",21,1,1,1636,2756,21,"PUEBLA",1,88,"JALPAN","MIXTO(A)"
"58",765,88,"pue",21,1,1,1842,3247,21,"PUEBLA",1,88,"JALPAN","RURAL"
"59",766,88,"pue",21,1,1,628,1058,21,"PUEBLA",1,88,"JALPAN","RURAL"
