"","SECCION","munn","edo","edon","disloc2015","disloc2018","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"1",1,1,"san",24,4,4,956,1602,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","URBANO(A)"
"2",2,1,"san",24,4,4,1583,2706,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","URBANO(A)"
"3",3,1,"san",24,4,4,221,358,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"4",4,1,"san",24,4,4,307,560,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"5",5,1,"san",24,4,4,206,357,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"6",6,1,"san",24,4,4,1162,2030,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"7",7,1,"san",24,4,4,972,1667,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"8",8,1,"san",24,4,4,1260,2175,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"9",9,1,"san",24,4,4,217,395,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"10",10,1,"san",24,4,4,116,201,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"11",11,1,"san",24,4,4,987,1664,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"12",12,1,"san",24,4,4,512,881,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"13",13,1,"san",24,4,4,948,1496,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"14",14,1,"san",24,4,4,1697,2993,24,"SAN LUIS POTOSI",1,1,"AHUALULCO","RURAL"
"15",98,6,"san",24,1,1,967,1625,24,"SAN LUIS POTOSI",1,6,"CATORCE","MIXTO(A)"
"16",99,6,"san",24,1,1,125,220,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"17",101,6,"san",24,1,1,258,502,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"18",102,6,"san",24,1,1,241,385,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"19",103,6,"san",24,1,1,348,543,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"20",105,6,"san",24,1,1,253,364,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"21",106,6,"san",24,1,1,841,1342,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"22",107,6,"san",24,1,1,160,248,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"23",108,6,"san",24,1,1,383,587,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"24",109,6,"san",24,1,1,186,313,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"25",110,6,"san",24,1,1,164,283,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"26",111,6,"san",24,1,1,248,417,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"27",112,6,"san",24,1,1,462,670,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"28",113,6,"san",24,1,1,217,342,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"29",114,6,"san",24,1,1,116,170,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"30",115,6,"san",24,1,1,272,470,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"31",116,6,"san",24,1,1,246,361,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"32",117,6,"san",24,1,1,206,287,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"33",118,6,"san",24,1,1,380,591,24,"SAN LUIS POTOSI",1,6,"CATORCE","RURAL"
"34",119,7,"san",24,1,1,1882,3077,24,"SAN LUIS POTOSI",1,7,"CEDRAL","MIXTO(A)"
"35",120,7,"san",24,1,1,1617,2654,24,"SAN LUIS POTOSI",1,7,"CEDRAL","URBANO(A)"
"36",121,7,"san",24,1,1,1510,2423,24,"SAN LUIS POTOSI",1,7,"CEDRAL","MIXTO(A)"
"37",122,7,"san",24,1,1,2056,3434,24,"SAN LUIS POTOSI",1,7,"CEDRAL","MIXTO(A)"
"38",123,7,"san",24,1,1,155,251,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"39",124,7,"san",24,1,1,262,396,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"40",125,7,"san",24,1,1,362,584,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"41",126,7,"san",24,1,1,410,638,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"42",127,7,"san",24,1,1,285,421,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"43",128,7,"san",24,1,1,340,482,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"44",129,7,"san",24,1,1,113,165,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"45",130,7,"san",24,1,1,192,331,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"46",131,7,"san",24,1,1,931,1708,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"47",132,7,"san",24,1,1,141,204,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"48",133,7,"san",24,1,1,288,462,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"49",134,7,"san",24,1,1,298,455,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"50",135,7,"san",24,1,1,481,808,24,"SAN LUIS POTOSI",1,7,"CEDRAL","RURAL"
"51",384,15,"san",24,1,1,640,1009,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"52",385,15,"san",24,1,1,563,849,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"53",386,15,"san",24,1,1,808,1254,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"54",387,15,"san",24,1,1,872,1357,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"55",388,15,"san",24,1,1,818,1265,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"56",389,15,"san",24,1,1,870,1346,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"57",390,15,"san",24,1,1,587,887,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"58",391,15,"san",24,1,1,762,1106,24,"SAN LUIS POTOSI",1,15,"CHARCAS","URBANO(A)"
"59",392,15,"san",24,1,1,2374,3832,24,"SAN LUIS POTOSI",1,15,"CHARCAS","MIXTO(A)"
"60",393,15,"san",24,1,1,188,251,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"61",394,15,"san",24,1,1,541,904,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"62",395,15,"san",24,1,1,178,276,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"63",396,15,"san",24,1,1,1064,1712,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"64",397,15,"san",24,1,1,248,419,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"65",398,15,"san",24,1,1,262,420,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"66",399,15,"san",24,1,1,150,233,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"67",400,15,"san",24,1,1,119,182,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"68",401,15,"san",24,1,1,538,796,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"69",402,15,"san",24,1,1,869,1318,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"70",403,15,"san",24,1,1,628,943,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"71",404,15,"san",24,1,1,397,664,24,"SAN LUIS POTOSI",1,15,"CHARCAS","RURAL"
"72",490,20,"san",24,1,1,1172,1862,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"73",491,20,"san",24,1,1,822,1174,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"74",492,20,"san",24,1,1,101,159,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"75",493,20,"san",24,1,1,1358,2192,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"76",494,20,"san",24,1,1,978,1521,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"77",495,20,"san",24,1,1,964,1415,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"78",496,20,"san",24,1,1,2541,4104,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"79",497,20,"san",24,1,1,1262,2172,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"80",498,20,"san",24,1,1,1253,1914,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"81",499,20,"san",24,1,1,491,726,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"82",500,20,"san",24,1,1,1523,2785,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"83",501,20,"san",24,1,1,1512,2259,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"84",502,20,"san",24,1,1,2198,3732,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"85",503,20,"san",24,1,1,1484,2562,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"86",504,20,"san",24,1,1,1435,2087,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"87",505,20,"san",24,1,1,1141,1550,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"88",506,20,"san",24,1,1,1030,1446,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"89",507,20,"san",24,1,1,1077,1522,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"90",508,20,"san",24,1,1,1121,1653,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"91",509,20,"san",24,1,1,1687,2687,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"92",510,20,"san",24,1,1,1311,2205,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"93",511,20,"san",24,1,1,896,1264,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"94",512,20,"san",24,1,1,682,951,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"95",513,20,"san",24,1,1,2548,4003,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"96",514,20,"san",24,1,1,1099,1986,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"97",515,20,"san",24,1,1,1716,2990,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"98",516,20,"san",24,1,1,710,935,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"99",517,20,"san",24,1,1,924,1308,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"100",518,20,"san",24,1,1,2462,3993,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"101",519,20,"san",24,1,1,759,1079,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"102",520,20,"san",24,1,1,1051,1463,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"103",521,20,"san",24,1,1,1236,1939,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"104",522,20,"san",24,1,1,470,744,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
"105",523,20,"san",24,1,1,646,1004,24,"SAN LUIS POTOSI",1,20,"MATEHUALA","URBANO(A)"
