"","SECCION","munn","edo","edon","disloc2015","disloc2017","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"1",34,3,26,26,3,3,741,1190,26,"SONORA",1,3,"ALTAR","URBANO(A)"
"2",35,3,26,26,3,3,1695,2630,26,"SONORA",1,3,"ALTAR","URBANO(A)"
"3",37,4,26,26,18,18,330,555,26,"SONORA",1,3,"ALTAR","RURAL"
"4",1362,30,26,26,5,5,1424,2379,26,"SONORA",1,3,"ALTAR","MIXTO(A)"
"5",1363,30,26,26,5,5,314,558,26,"SONORA",1,3,"ALTAR","URBANO(A)"
"6",1364,30,26,26,5,5,366,642,26,"SONORA",1,3,"ALTAR","URBANO(A)"
"7",1365,30,26,26,5,5,581,1042,26,"SONORA",1,3,"ALTAR","URBANO(A)"
"8",46,8,26,26,18,18,439,636,26,"SONORA",1,6,"ATIL","MIXTO(A)"
"9",66,14,26,26,3,3,927,1382,26,"SONORA",1,14,"BENJAMIN HILL","MIXTO(A)"
"10",67,14,26,26,3,3,838,1353,26,"SONORA",1,14,"BENJAMIN HILL","URBANO(A)"
"11",68,15,26,26,6,6,952,1440,26,"SONORA",1,14,"BENJAMIN HILL","URBANO(A)"
"12",69,15,26,26,6,6,717,1098,26,"SONORA",1,14,"BENJAMIN HILL","URBANO(A)"
"13",232,32,26,26,18,18,336,460,26,"SONORA",1,31,"OQUITOA","MIXTO(A)"
"14",252,36,26,26,3,3,354,479,26,"SONORA",1,36,"SANTA ANA","URBANO(A)"
"15",253,36,26,26,3,3,884,1225,26,"SONORA",1,36,"SANTA ANA","URBANO(A)"
"16",254,36,26,26,3,3,1137,1644,26,"SONORA",1,36,"SANTA ANA","URBANO(A)"
"17",255,36,26,26,3,3,3209,5367,26,"SONORA",1,36,"SANTA ANA","MIXTO(A)"
"18",256,37,26,26,5,5,655,880,26,"SONORA",1,36,"SANTA ANA","URBANO(A)"
"19",257,38,26,26,3,3,862,1369,26,"SONORA",1,36,"SANTA ANA","URBANO(A)"
"20",258,38,26,26,3,3,162,225,26,"SONORA",1,36,"SANTA ANA","RURAL"
"21",259,39,26,26,18,18,392,598,26,"SONORA",1,36,"SANTA ANA","RURAL"
"22",260,39,26,26,18,18,535,865,26,"SONORA",1,36,"SANTA ANA","RURAL"
"23",261,39,26,26,18,18,702,1049,26,"SONORA",1,36,"SANTA ANA","RURAL"
