"","SECCION","munn","edo","edon","disloc2013","disloc2016","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"1",12,3,"tla",29,15,4,951,1335,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"2",13,3,"tla",29,16,4,1584,2516,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"3",14,3,"tla",29,16,4,3844,6027,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"4",15,3,"tla",29,16,4,1407,2090,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"5",16,3,"tla",29,15,4,1166,1791,29,"TLAXCALA",1,3,"APIZACO","MIXTO(A)"
"6",17,3,"tla",29,15,4,1135,1501,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"7",18,3,"tla",29,15,4,820,1086,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"8",19,3,"tla",29,16,4,756,1037,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"9",20,3,"tla",29,16,4,894,1350,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"10",21,3,"tla",29,16,4,375,568,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"11",22,3,"tla",29,16,4,1266,1785,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"12",23,3,"tla",29,15,4,438,587,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"13",24,3,"tla",29,15,4,688,923,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"14",25,3,"tla",29,15,4,1328,1815,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"15",26,3,"tla",29,15,4,1241,1805,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"16",27,3,"tla",29,15,4,1441,2139,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"17",28,3,"tla",29,16,4,1154,1606,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"18",29,3,"tla",29,16,4,1415,2046,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"19",30,3,"tla",29,16,4,5297,8534,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"20",31,3,"tla",29,16,4,2198,3486,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
"21",32,3,"tla",29,16,4,1606,2342,29,"TLAXCALA",1,3,"APIZACO","URBANO(A)"
