ENTIDAD,NOMBRE ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE MUNICIPIO,SECCION,TIPO
31,YUCATAN,1,8,CALOTMUL,37,URBANO(A)
31,YUCATAN,1,8,CALOTMUL,38,MIXTO(A)
31,YUCATAN,1,8,CALOTMUL,39,RURAL
31,YUCATAN,1,8,CALOTMUL,40,MIXTO(A)
31,YUCATAN,1,10,CANTAMAYEC,47,MIXTO(A)
31,YUCATAN,1,10,CANTAMAYEC,48,RURAL
31,YUCATAN,1,10,CANTAMAYEC,49,RURAL
31,YUCATAN,1,12,CENOTILLO,54,MIXTO(A)
31,YUCATAN,1,12,CENOTILLO,55,URBANO(A)
31,YUCATAN,1,12,CENOTILLO,56,URBANO(A)
31,YUCATAN,1,12,CENOTILLO,57,URBANO(A)
31,YUCATAN,1,12,CENOTILLO,58,RURAL
31,YUCATAN,1,14,CUNCUNUL,65,URBANO(A)
31,YUCATAN,1,14,CUNCUNUL,66,RURAL
31,YUCATAN,1,16,CHACSINKIN,70,MIXTO(A)
31,YUCATAN,1,17,CHANKOM,71,MIXTO(A)
31,YUCATAN,1,17,CHANKOM,72,RURAL
31,YUCATAN,1,17,CHANKOM,73,RURAL
31,YUCATAN,1,17,CHANKOM,74,RURAL
31,YUCATAN,1,19,CHEMAX,78,URBANO(A)
31,YUCATAN,1,19,CHEMAX,79,URBANO(A)
31,YUCATAN,1,19,CHEMAX,80,URBANO(A)
31,YUCATAN,1,19,CHEMAX,81,URBANO(A)
31,YUCATAN,1,19,CHEMAX,82,RURAL
31,YUCATAN,1,19,CHEMAX,83,URBANO(A)
31,YUCATAN,1,19,CHEMAX,84,MIXTO(A)
31,YUCATAN,1,19,CHEMAX,85,RURAL
31,YUCATAN,1,19,CHEMAX,86,MIXTO(A)
31,YUCATAN,1,19,CHEMAX,87,RURAL
31,YUCATAN,1,19,CHEMAX,88,MIXTO(A)
31,YUCATAN,1,19,CHEMAX,89,MIXTO(A)
31,YUCATAN,1,19,CHEMAX,90,RURAL
31,YUCATAN,1,21,CHICHIMILA,93,URBANO(A)
31,YUCATAN,1,21,CHICHIMILA,94,URBANO(A)
31,YUCATAN,1,21,CHICHIMILA,95,MIXTO(A)
31,YUCATAN,1,21,CHICHIMILA,96,RURAL
31,YUCATAN,1,21,CHICHIMILA,97,RURAL
31,YUCATAN,1,21,CHICHIMILA,98,RURAL
31,YUCATAN,1,22,CHIKINDZONOT,99,MIXTO(A)
31,YUCATAN,1,22,CHIKINDZONOT,101,RURAL
31,YUCATAN,1,22,CHIKINDZONOT,102,RURAL
31,YUCATAN,1,30,DZITAS,127,URBANO(A)
31,YUCATAN,1,30,DZITAS,128,MIXTO(A)
31,YUCATAN,1,30,DZITAS,129,URBANO(A)
31,YUCATAN,1,30,DZITAS,130,RURAL
31,YUCATAN,1,32,ESPITA,134,URBANO(A)
31,YUCATAN,1,32,ESPITA,135,MIXTO(A)
31,YUCATAN,1,32,ESPITA,136,MIXTO(A)
31,YUCATAN,1,32,ESPITA,137,URBANO(A)
31,YUCATAN,1,32,ESPITA,138,URBANO(A)
31,YUCATAN,1,32,ESPITA,139,RURAL
31,YUCATAN,1,32,ESPITA,140,RURAL
31,YUCATAN,1,32,ESPITA,141,MIXTO(A)
31,YUCATAN,1,42,KANTUNIL,224,URBANO(A)
31,YUCATAN,1,42,KANTUNIL,225,URBANO(A)
31,YUCATAN,1,42,KANTUNIL,226,MIXTO(A)
31,YUCATAN,1,43,KAUA,227,MIXTO(A)
31,YUCATAN,1,57,PANABA,709,MIXTO(A)
31,YUCATAN,1,57,PANABA,710,MIXTO(A)
31,YUCATAN,1,57,PANABA,711,URBANO(A)
31,YUCATAN,1,57,PANABA,712,MIXTO(A)
31,YUCATAN,1,57,PANABA,713,RURAL
31,YUCATAN,1,57,PANABA,714,MIXTO(A)
31,YUCATAN,1,58,PETO,715,URBANO(A)
31,YUCATAN,1,58,PETO,716,MIXTO(A)
31,YUCATAN,1,58,PETO,717,URBANO(A)
31,YUCATAN,1,58,PETO,718,URBANO(A)
31,YUCATAN,1,58,PETO,719,URBANO(A)
31,YUCATAN,1,58,PETO,720,URBANO(A)
31,YUCATAN,1,58,PETO,721,URBANO(A)
31,YUCATAN,1,58,PETO,722,URBANO(A)
31,YUCATAN,1,58,PETO,723,URBANO(A)
31,YUCATAN,1,58,PETO,724,URBANO(A)
31,YUCATAN,1,58,PETO,725,RURAL
31,YUCATAN,1,58,PETO,726,RURAL
31,YUCATAN,1,58,PETO,727,RURAL
31,YUCATAN,1,58,PETO,728,RURAL
31,YUCATAN,1,58,PETO,729,RURAL
31,YUCATAN,1,58,PETO,730,RURAL
31,YUCATAN,1,58,PETO,732,MIXTO(A)
31,YUCATAN,1,58,PETO,733,RURAL
31,YUCATAN,1,60,QUINTANA ROO,765,MIXTO(A)
31,YUCATAN,1,61,RIO LAGARTOS,766,URBANO(A)
31,YUCATAN,1,61,RIO LAGARTOS,767,MIXTO(A)
31,YUCATAN,1,61,RIO LAGARTOS,768,URBANO(A)
31,YUCATAN,1,65,SAN FELIPE,776,URBANO(A)
31,YUCATAN,1,65,SAN FELIPE,777,MIXTO(A)
31,YUCATAN,1,69,SOTUTA,789,URBANO(A)
31,YUCATAN,1,69,SOTUTA,790,MIXTO(A)
31,YUCATAN,1,69,SOTUTA,791,URBANO(A)
31,YUCATAN,1,69,SOTUTA,792,URBANO(A)
31,YUCATAN,1,69,SOTUTA,793,URBANO(A)
31,YUCATAN,1,69,SOTUTA,794,RURAL
31,YUCATAN,1,69,SOTUTA,795,RURAL
31,YUCATAN,1,70,SUCILA,796,MIXTO(A)
31,YUCATAN,1,70,SUCILA,797,MIXTO(A)
31,YUCATAN,1,71,SUDZAL,798,MIXTO(A)
31,YUCATAN,1,71,SUDZAL,799,RURAL
31,YUCATAN,1,73,TAHDZIU,802,MIXTO(A)
31,YUCATAN,1,81,TEKOM,851,URBANO(A)
31,YUCATAN,1,81,TEKOM,852,URBANO(A)
31,YUCATAN,1,81,TEKOM,853,RURAL
31,YUCATAN,1,81,TEKOM,854,RURAL
31,YUCATAN,1,85,TEMOZON,867,URBANO(A)
31,YUCATAN,1,85,TEMOZON,868,URBANO(A)
31,YUCATAN,1,85,TEMOZON,869,MIXTO(A)
31,YUCATAN,1,85,TEMOZON,870,MIXTO(A)
31,YUCATAN,1,85,TEMOZON,871,RURAL
31,YUCATAN,1,85,TEMOZON,872,RURAL
31,YUCATAN,1,85,TEMOZON,873,RURAL
31,YUCATAN,1,85,TEMOZON,874,MIXTO(A)
31,YUCATAN,1,91,TINUM,901,URBANO(A)
31,YUCATAN,1,91,TINUM,902,MIXTO(A)
31,YUCATAN,1,91,TINUM,903,URBANO(A)
31,YUCATAN,1,91,TINUM,904,MIXTO(A)
31,YUCATAN,1,91,TINUM,905,RURAL
31,YUCATAN,1,91,TINUM,906,RURAL
31,YUCATAN,1,91,TINUM,907,RURAL
31,YUCATAN,1,92,TIXCACALCUPUL,908,URBANO(A)
31,YUCATAN,1,92,TIXCACALCUPUL,909,MIXTO(A)
31,YUCATAN,1,92,TIXCACALCUPUL,910,RURAL
31,YUCATAN,1,92,TIXCACALCUPUL,911,RURAL
31,YUCATAN,1,94,TIXMEHUAC,922,URBANO(A)
31,YUCATAN,1,94,TIXMEHUAC,923,MIXTO(A)
