"","edon.x","disloc2015.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2017","disloc2015.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",31,8,8,0.343,31,1,8,1,0.355217758217342,1645
"2",31,14,8,0.343,31,1,8,1,0.355217758217342,1645
"3",31,13,8,0.343,31,1,8,1,0.355217758217342,1645
"4",31,8,8,0.343,31,2,14,2,0.355217758217342,2691
"5",31,14,8,0.343,31,2,14,2,0.355217758217342,2691
"6",31,13,8,0.343,31,2,14,2,0.355217758217342,2691
"7",31,12,7,0.423,31,3,12,3,0.437052512458924,1925
"8",31,9,3,0.891,31,4,9,4,0.894024899225912,1807
"9",31,10,6,0.268,31,5,10,5,0.248971300342506,2149
"10",31,11,4,0.478,31,6,11,6,0.531111453566941,1489
"11",31,15,9,0.342,31,7,15,7,0.305032448142692,1711
"12",31,8,8,0.343,31,9,13,9,0.355217758217342,1498
"13",31,14,8,0.343,31,9,13,9,0.355217758217342,1498
"14",31,13,8,0.343,31,9,13,9,0.355217758217342,1498
"15",31,6,2,0.21,31,2,6,2,0.144301537234428,1037
"16",31,4,13,0.819,31,15,4,15,0.880139957614462,15859
"17",31,5,11,0.645,31,14,5,14,0.757004375296946,4200
"18",31,1,11,0.645,31,14,5,14,0.757004375296946,4200
"19",31,3,14,0.351,31,13,3,13,0.452174036220952,10600
"20",31,2,12,0.484,31,10,2,10,0.422002208988534,1331
"21",31,7,12,0.484,31,10,2,10,0.422002208988534,1331
"22",31,5,11,0.645,31,14,1,14,0.757004375296946,1503
"23",31,1,11,0.645,31,14,1,14,0.757004375296946,1503
"24",31,2,12,0.484,31,10,7,10,0.422002208988534,1331
"25",31,7,12,0.484,31,10,7,10,0.422002208988534,1331
