"","edon.x","disloc2011.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2017","disloc2011.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",5,13,6,0.556,5,5,13,5,0.618226563491057,760
"2",5,14,6,0.556,5,5,13,5,0.618226563491057,760
"3",5,12,6,0.556,5,5,13,5,0.618226563491057,760
"4",5,15,5,0.798,5,1,15,3,0.851018297250062,3083
"5",5,13,6,0.556,5,5,14,5,0.618226563491057,3656
"6",5,14,6,0.556,5,5,14,5,0.618226563491057,3656
"7",5,12,6,0.556,5,5,14,5,0.618226563491057,3656
"8",5,5,7,0.81,5,12,5,11,0.857496874565912,7004
"9",5,13,6,0.556,5,5,12,5,0.618226563491057,593
"10",5,14,6,0.556,5,5,12,5,0.618226563491057,593
"11",5,12,6,0.556,5,5,12,5,0.618226563491057,593
"12",5,11,2,0.412,5,4,11,4,0.430037935153941,1287
"13",5,10,3,0.376,5,7,10,8,0.347921730201848,2483
"14",5,6,3,0.376,5,7,10,8,0.347921730201848,2483
"15",5,10,3,0.376,5,7,6,8,0.347921730201848,1941
"16",5,6,3,0.376,5,7,6,8,0.347921730201848,1941
"17",5,16,8,1,5,2,16,16,1,4421
"18",5,4,16,0.214,5,14,4,13,0.0729493497507731,2708
"19",5,1,16,0.214,5,14,4,13,0.0729493497507731,2708
"20",5,4,16,0.214,5,14,1,13,0.0729493497507731,7970
"21",5,1,16,0.214,5,14,1,13,0.0729493497507731,7970
"22",5,2,14,0.702,5,15,2,14,0.595033785184264,3589
"23",5,3,13,0.386,5,15,3,14,0.34554308540993,833
"24",5,9,12,0.283,5,8,9,7,0.323653866105438,4860
"25",5,8,11,0.65,5,9,8,10,0.572416156618312,1326
"26",5,7,9,0.15,5,11,7,9,0.244798379990393,2197
