"","edon.x","disloc2012.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2012.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",9,5,15,0.476,9,5,5,15,0.38667654803957,905
"2",9,3,16,0.695,9,3,3,16,0.677524860648151,701
"3",9,26,23,0.355,9,26,26,23,0.335159491985247,1668
"4",9,30,23,0.355,9,26,26,23,0.335159491985247,1668
"5",9,32,21,0.868,9,26,32,21,0.863022095795188,1497
"6",9,26,23,0.355,9,26,30,23,0.335159491985247,1002
"7",9,30,23,0.355,9,26,30,23,0.335159491985247,1002
"8",9,20,31,0.543,9,20,20,31,0.580502224119017,4007
"9",9,1,12,0.752,9,1,1,12,0.818982423557729,3366
"10",9,2,12,0.752,9,1,1,12,0.818982423557729,3366
"11",9,1,12,0.752,9,1,2,12,0.818982423557729,2844
"12",9,2,12,0.752,9,1,2,12,0.818982423557729,2844
"13",9,7,10,0.511,9,2,7,10,0.522618074013494,856
"14",9,4,9,0.774,9,4,4,9,0.779097504563216,1003
"15",9,6,9,0.774,9,4,4,9,0.779097504563216,1003
"16",9,4,9,0.774,9,4,6,9,0.779097504563216,1328
"17",9,6,9,0.774,9,4,6,9,0.779097504563216,1328
"18",9,15,19,0.357,9,15,15,18,0.340035861009579,1025
"19",9,14,19,0.357,9,15,15,18,0.340035861009579,1025
"20",9,15,19,0.357,9,15,14,18,0.340035861009579,1051
"21",9,14,19,0.357,9,15,14,18,0.340035861009579,1051
"22",9,24,6,0.723,9,24,24,6,0.731207531816678,1322
"23",9,21,6,0.723,9,24,24,6,0.731207531816678,1322
"24",9,24,6,0.723,9,24,21,6,0.731207531816678,890
"25",9,21,6,0.723,9,24,21,6,0.731207531816678,890
"26",9,19,7,0.368,9,21,19,7,0.339834271076732,1670
"27",9,29,7,0.368,9,21,19,7,0.339834271076732,1670
"28",9,31,7,0.368,9,21,19,7,0.339834271076732,1670
"29",9,22,8,0.575,9,22,22,8,0.579425851515141,1359
"30",9,28,5,0.717,9,24,28,6,0.743990244637634,1591
"31",9,19,7,0.368,9,21,29,7,0.339834271076732,1187
"32",9,29,7,0.368,9,21,29,7,0.339834271076732,1187
"33",9,31,7,0.368,9,21,29,7,0.339834271076732,1187
"34",9,27,3,0.932,9,27,27,3,0.931420114732088,2283
"35",9,19,7,0.368,9,31,31,7,0.339834271076732,1926
"36",9,29,7,0.368,9,31,31,7,0.339834271076732,1926
"37",9,31,7,0.368,9,31,31,7,0.339834271076732,1926
"38",9,33,1,1,9,33,33,1,1,1166
"39",9,34,28,0.341,9,7,34,25,0.335757133084594,2025
"40",9,18,33,0.75,9,18,18,33,0.7672147995889,1770
"41",9,25,33,0.75,9,18,18,33,0.7672147995889,1770
"42",9,23,32,0.659,9,23,23,32,0.587164718312259,1141
"43",9,18,33,0.75,9,18,25,33,0.7672147995889,500
"44",9,25,33,0.75,9,18,25,33,0.7672147995889,500
"45",9,35,26,0.692,9,8,35,26,0.739243018994928,3458
"46",9,38,30,0.788,9,16,38,28,0.763480534348193,1105
"47",9,37,29,0.812,9,14,37,27,0.801666830155365,1330
"48",9,40,29,0.812,9,14,37,27,0.801666830155365,1330
"49",9,37,29,0.812,9,14,40,27,0.801666830155365,2682
"50",9,40,29,0.812,9,14,40,27,0.801666830155365,2682
"51",9,39,27,0.847,9,19,39,29,0.760493949726793,1570
"52",9,36,25,0.492,9,25,36,30,0.505016410562435,1996
"53",9,16,24,0.604,9,17,16,24,0.59887493356258,1860
"54",9,17,24,0.604,9,17,16,24,0.59887493356258,1860
"55",9,16,24,0.604,9,17,17,24,0.59887493356258,1496
"56",9,17,24,0.604,9,17,17,24,0.59887493356258,1496
"57",9,13,14,0.597,9,12,13,14,0.648175259849092,1429
"58",9,9,13,0.821,9,9,9,13,0.865326353266167,2871
"59",9,12,13,0.821,9,9,9,13,0.865326353266167,2871
"60",9,9,13,0.821,9,9,12,13,0.865326353266167,1528
"61",9,12,13,0.821,9,9,12,13,0.865326353266167,1528
"62",9,8,17,0.439,9,13,8,17,0.43260615096294,280
"63",9,10,20,0.595,9,10,10,20,0.585386211801845,1442
"64",9,11,20,0.595,9,10,10,20,0.585386211801845,1442
"65",9,10,20,0.595,9,10,11,20,0.585386211801845,878
"66",9,11,20,0.595,9,10,11,20,0.585386211801845,878
