"","edon.x","disloc2012.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2018","disloc2012.y","escenario1","dsi_SQ_E3_pob","pob_total"
"1",11,13,1,0.458,11,18,13,4,0.455167660106824,1916
"2",11,19,1,0.458,11,18,13,4,0.455167660106824,1916
"3",11,22,2,0.792,11,22,22,8,0.740078050514681,4518
"4",11,17,2,0.792,11,22,22,8,0.740078050514681,4518
"5",11,9,3,0.56,11,9,9,6,0.482179835533797,6511
"6",11,22,2,0.792,11,22,17,8,0.740078050514681,1599
"7",11,17,2,0.792,11,22,17,8,0.740078050514681,1599
"8",11,2,4,1,11,2,2,10,1,1049
"9",11,16,22,0.388,11,16,16,21,0.569665690808184,21909
"10",11,15,22,0.388,11,16,16,21,0.569665690808184,21909
"11",11,16,22,0.388,11,16,15,21,0.569665690808184,1619
"12",11,15,22,0.388,11,16,15,21,0.569665690808184,1619
"13",11,18,5,0.368,11,10,18,7,0.49128602039109,1590
"14",11,10,5,0.368,11,10,18,7,0.49128602039109,1590
"15",11,21,7,0.598,11,19,21,5,0.620617392001729,1725
"16",11,1,8,0.906,11,1,1,3,0.859966455223287,2342
"17",11,8,9,0.528,11,8,8,9,0.49304806080507,1199
"18",11,13,1,0.458,11,18,19,4,0.455167660106824,1407
"19",11,19,1,0.458,11,18,19,4,0.455167660106824,1407
"20",11,11,13,0.349,11,11,11,13,0.443856213890299,5611
"21",11,12,13,0.349,11,11,11,13,0.443856213890299,5611
"22",11,11,13,0.349,11,11,12,13,0.443856213890299,7981
"23",11,12,13,0.349,11,11,12,13,0.443856213890299,7981
"24",11,4,16,0.306,11,3,4,17,0.368778891711664,5543
"25",11,3,16,0.306,11,3,4,17,0.368778891711664,5543
"26",11,4,16,0.306,11,3,3,17,0.368778891711664,6337
"27",11,3,16,0.306,11,3,3,17,0.368778891711664,6337
"28",11,7,18,0.246,11,7,7,19,0.185866768108483,1521
"29",11,5,18,0.246,11,7,7,19,0.185866768108483,1521
"30",11,6,18,0.246,11,7,7,19,0.185866768108483,1521
"31",11,7,18,0.246,11,7,5,19,0.185866768108483,759
"32",11,5,18,0.246,11,7,5,19,0.185866768108483,759
"33",11,6,18,0.246,11,7,5,19,0.185866768108483,759
"34",11,7,18,0.246,11,7,6,19,0.185866768108483,793
"35",11,5,18,0.246,11,7,6,19,0.185866768108483,793
"36",11,6,18,0.246,11,7,6,19,0.185866768108483,793
"37",11,20,10,0.604,11,20,20,11,0.657550619169867,2667
"38",11,18,5,0.368,11,10,10,7,0.49128602039109,4937
"39",11,10,5,0.368,11,10,10,7,0.49128602039109,4937
"40",11,14,12,0.463,11,14,14,12,0.346878420848194,2742
