"","edon.x","disloc2015.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2015.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",12,8,24,0.206,12,8,8,4,0.218066388914993,1622
"2",12,4,24,0.206,12,8,8,4,0.218066388914993,1622
"3",12,8,24,0.206,12,4,4,9,0.218066388914993,878
"4",12,4,24,0.206,12,4,4,9,0.218066388914993,878
"5",12,5,18,0.491,12,5,5,5,0.504767402641206,1530
"6",12,3,18,0.491,12,5,5,5,0.504767402641206,1530
"7",12,5,18,0.491,12,3,3,7,0.504767402641206,1251
"8",12,3,18,0.491,12,3,3,7,0.504767402641206,1251
"9",12,9,20,0.413,12,9,9,6,0.47037337914013,6223
"10",12,6,22,0.325,12,6,6,8,0.385274285714286,2464
"11",12,7,21,0.552,12,7,7,3,0.59898022651001,1360
"12",12,26,12,0.378,12,26,26,1,0.462801787861182,3881
"13",12,23,12,0.378,12,26,26,1,0.462801787861182,3881
"14",12,24,12,0.378,12,26,26,1,0.462801787861182,3881
"15",12,17,5,0.341,12,17,17,20,0.365652027157884,1519
"16",12,28,15,0.405,12,28,28,14,0.366705711029505,2557
"17",12,27,15,0.405,12,28,28,14,0.366705711029505,2557
"18",12,28,15,0.405,12,27,27,15,0.366705711029505,1247
"19",12,27,15,0.405,12,27,27,15,0.366705711029505,1247
"20",12,20,11,0.826,12,20,20,22,0.897142666064771,728
"21",12,19,11,0.826,12,20,20,22,0.897142666064771,728
"22",12,18,4,0.484,12,18,18,21,0.438208171800756,1844
"23",12,21,4,0.484,12,18,18,21,0.438208171800756,1844
"24",12,26,12,0.378,12,23,23,23,0.462801787861182,1259
"25",12,23,12,0.378,12,23,23,23,0.462801787861182,1259
"26",12,24,12,0.378,12,23,23,23,0.462801787861182,1259
"27",12,10,3,0.392,12,10,10,26,0.318221728084622,1007
"28",12,14,6,0.39,12,14,14,13,0.375543732141015,4404
"29",12,15,6,0.39,12,14,14,13,0.375543732141015,4404
"30",12,14,6,0.39,12,15,15,16,0.375543732141015,1370
"31",12,15,6,0.39,12,15,15,16,0.375543732141015,1370
"32",12,12,10,0.315,12,12,12,27,0.297731695360894,675
"33",12,25,27,0.904,12,25,25,12,0.884326694682989,7040
"34",12,1,25,0.382,12,1,1,11,0.474577122234426,10726
"35",12,2,25,0.382,12,1,1,11,0.474577122234426,10726
"36",12,1,25,0.382,12,2,2,10,0.474577122234426,3651
"37",12,2,25,0.382,12,2,2,10,0.474577122234426,3651
"38",12,20,11,0.826,12,19,19,25,0.897142666064771,1868
"39",12,19,11,0.826,12,19,19,25,0.897142666064771,1868
"40",12,22,7,0.958,12,22,22,24,0.979493229956739,6477
"41",12,11,28,0.305,12,11,11,28,0.44178512438858,650
"42",12,13,13,0.364,12,13,13,18,0.419671410785343,2105
"43",12,26,12,0.378,12,24,24,19,0.462801787861182,1365
"44",12,23,12,0.378,12,24,24,19,0.462801787861182,1365
"45",12,24,12,0.378,12,24,24,19,0.462801787861182,1365
"46",12,16,8,0.558,12,16,16,17,0.65392043542511,6660
"47",12,18,4,0.484,12,21,21,2,0.438208171800756,1853
"48",12,21,4,0.484,12,21,21,2,0.438208171800756,1853
