"","edon.x","disloc2005.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2017","disloc2005.y","escenario1","dsi_SQ_E3_pob","pob_total"
"1",18,18,1,0.77,18,1,18,1,0.776477254330581,767
"2",18,16,1,0.77,18,1,18,1,0.776477254330581,767
"3",18,7,18,0.734,18,16,7,17,0.715922854747042,835
"4",18,13,18,0.734,18,16,7,17,0.715922854747042,835
"5",18,7,18,0.734,18,16,13,17,0.715922854747042,548
"6",18,13,18,0.734,18,16,13,17,0.715922854747042,548
"7",18,14,3,0.191,18,18,14,12,0.444149836398511,23216
"8",18,8,13,0.529,18,15,8,16,0.515391020303593,1166
"9",18,6,12,0.3,18,3,6,18,0.248664000086718,2092
"10",18,18,1,0.77,18,1,16,2,0.776477254330581,1308
"11",18,16,1,0.77,18,1,16,2,0.776477254330581,1308
"12",18,9,14,0.785,18,10,9,13,0.772233962534475,2597
"13",18,3,17,0.194,18,13,3,10,0.15128411185921,2125
"14",18,10,16,0.521,18,5,10,14,0.491164335147042,1064
"15",18,11,16,0.521,18,5,10,14,0.491164335147042,1064
"16",18,12,16,0.521,18,5,10,14,0.491164335147042,1064
"17",18,10,16,0.521,18,5,11,14,0.491164335147042,1230
"18",18,11,16,0.521,18,5,11,14,0.491164335147042,1230
"19",18,12,16,0.521,18,5,11,14,0.491164335147042,1230
"20",18,10,16,0.521,18,5,12,14,0.491164335147042,506
"21",18,11,16,0.521,18,5,12,14,0.491164335147042,506
"22",18,12,16,0.521,18,5,12,14,0.491164335147042,506
"23",18,17,2,0.685,18,2,17,2,0.658121638394704,829
"24",18,5,11,0.323,18,6,5,8,0.273764314739564,1533
"25",18,4,11,0.323,18,6,5,8,0.273764314739564,1533
"26",18,2,8,0.68,18,8,2,4,0.624670712327891,2510
"27",18,1,9,0.644,18,9,1,9,0.735071488645921,535
"28",18,5,11,0.323,18,6,4,9,0.273764314739564,1798
"29",18,4,11,0.323,18,6,4,9,0.273764314739564,1798
"30",18,15,15,0.466,18,4,15,3,0.482101542416452,1056
