"","edon.x","escenario1.x","escenario3trib","dsi_E1_E3trib_sec","edon.y","disloc2018","disloc2010","escenario1.y","escenario3cg","escenario3jge","dsi_SQ_E1_pob","pob_total"
"1",20,16,1,0.655,20,1,3,16,1,1,0.483301269528835,1172
"2",20,13,2,1,20,2,25,13,2,2,1,977
"3",20,3,3,0.386,20,3,22,3,3,3,0.319902488187891,1644
"4",20,2,3,0.386,20,3,22,3,3,3,0.319902488187891,1644
"5",20,17,4,0.437,20,4,20,17,4,4,0.465648282038837,1156
"6",20,14,5,1,20,5,15,14,5,5,1,1012
"7",20,14,5,1,20,5,15,14,5,5,1,1012
"8",20,5,6,0.953,20,6,5,5,6,18,0.950057139922187,885
"9",20,5,6,0.953,20,6,5,5,6,18,0.950057139922187,885
"10",20,4,7,0.319,20,7,16,4,7,7,0.196365915775032,3918
"11",20,1,7,0.319,20,7,16,4,7,7,0.196365915775032,3918
"12",20,3,3,0.386,20,3,19,2,3,3,0.319902488187891,1070
"13",20,2,3,0.386,20,3,19,2,3,3,0.319902488187891,1070
"14",20,20,8,0.679,20,8,4,20,8,10,0.713089384219854,540
"15",20,3,3,0.386,20,3,19,23,3,3,0.319902488187891,1851
"16",20,2,3,0.386,20,3,19,23,3,3,0.319902488187891,1851
"17",20,22,9,0.308,20,9,18,22,9,9,0.25017724649629,2003
"18",20,11,10,0.311,20,10,8,11,10,11,0.390526687227617,2459
"19",20,19,10,0.311,20,10,8,11,10,11,0.390526687227617,2459
"20",20,20,11,0.631,20,11,23,18,11,6,0.635290497923183,1481
"21",20,18,11,0.631,20,11,23,18,11,6,0.635290497923183,1481
"22",20,7,12,0.509,20,12,13,7,12,12,0.556198027958706,1713
"23",20,19,13,0.295,20,13,10,19,13,13,0.221792070732237,1404
"24",20,21,13,0.295,20,13,10,19,13,13,0.221792070732237,1404
"25",20,8,14,0.746,20,14,21,8,14,14,0.786771095225406,1861
"26",20,4,7,0.319,20,7,14,1,7,7,0.196365915775032,334
"27",20,1,7,0.319,20,7,14,1,7,7,0.196365915775032,334
"28",NA,NA,17,NA,20,17,5,15,17,17,0.786006119772694,1044
"29",20,10,21,0.757,20,21,11,10,21,19,0.794066279645478,1451
"30",NA,NA,20,NA,20,20,4,12,20,8,0.432100472301881,720
"31",NA,NA,25,NA,20,25,22,24,25,25,0.989954925104814,8738
"32",NA,NA,24,NA,20,24,1,25,24,24,0.989972951200823,1700
"33",NA,NA,20,NA,20,20,4,9,20,8,0.432100472301881,1383
"34",20,19,13,0.295,20,13,9,21,13,13,0.221792070732237,773
"35",20,21,13,0.295,20,13,9,21,13,13,0.221792070732237,773
"36",NA,NA,19,NA,20,19,18,6,19,22,1,7866
