"","edon.x","disloc2013.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2013.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",21,17,12,0.943,21,12,17,1,0.968980398797293,3081
"2",21,6,16,0.349,21,5,6,2,0.365880800644672,2145
"3",21,5,16,0.349,21,5,6,2,0.365880800644672,2145
"4",21,23,8,0.744,21,23,23,3,0.724181080590147,3789
"5",21,18,6,0.855,21,13,18,4,0.869184559773234,3870
"6",21,22,3,0.839,21,22,22,5,0.868356997971602,1270
"7",21,2,19,0.296,21,2,2,6,0.277134303764252,1256
"8",21,4,19,0.296,21,2,2,6,0.277134303764252,1256
"9",21,26,18,0.925,21,26,26,19,0.915160369958539,5461
"10",21,20,10,0.819,21,14,20,8,0.772856211216157,891
"11",21,3,7,0.306,21,3,3,7,0.268995548446661,2852
"12",21,6,16,0.349,21,5,5,2,0.365880800644672,3923
"13",21,5,16,0.349,21,5,5,2,0.365880800644672,3923
"14",21,21,11,0.812,21,21,21,10,0.827216382595586,2603
"15",21,8,2,0.39,21,8,8,11,0.40175008773184,1455
"16",21,9,2,0.39,21,8,8,11,0.40175008773184,1455
"17",21,7,2,0.39,21,8,8,11,0.40175008773184,1455
"18",21,25,17,0.279,21,24,25,9,0.357854311841049,835
"19",21,2,19,0.296,21,2,4,6,0.277134303764252,1763
"20",21,4,19,0.296,21,2,4,6,0.277134303764252,1763
"21",21,8,2,0.39,21,8,9,11,0.40175008773184,1450
"22",21,9,2,0.39,21,8,9,11,0.40175008773184,1450
"23",21,7,2,0.39,21,8,9,11,0.40175008773184,1450
"24",21,24,5,0.328,21,25,24,12,0.221415760240685,4030
"25",21,8,2,0.39,21,8,7,11,0.40175008773184,3111
"26",21,9,2,0.39,21,8,7,11,0.40175008773184,3111
"27",21,7,2,0.39,21,8,7,11,0.40175008773184,3111
"28",21,1,15,1,21,1,1,14,1,2270
"29",21,19,14,0.843,21,15,19,15,0.841443524578318,3891
"30",21,13,26,0.655,21,17,13,26,0.546574885041079,364
"31",21,11,26,0.655,21,17,13,26,0.546574885041079,364
"32",21,13,26,0.655,21,17,11,26,0.546574885041079,773
"33",21,11,26,0.655,21,17,11,26,0.546574885041079,773
"34",21,10,22,0.261,21,9,10,20,0.231701755515495,1738
"35",21,14,25,0.408,21,19,14,25,0.415979559844459,2008
"36",21,15,25,0.408,21,19,14,25,0.415979559844459,2008
"37",21,16,25,0.408,21,19,14,25,0.415979559844459,2008
"38",21,14,25,0.408,21,19,15,25,0.415979559844459,1785
"39",21,15,25,0.408,21,19,15,25,0.415979559844459,1785
"40",21,16,25,0.408,21,19,15,25,0.415979559844459,1785
"41",21,14,25,0.408,21,19,16,25,0.415979559844459,10076
"42",21,15,25,0.408,21,19,16,25,0.415979559844459,10076
"43",21,16,25,0.408,21,19,16,25,0.415979559844459,10076
"44",21,12,24,0.213,21,10,12,24,0.220132979620283,1374
