"","edon.x","disloc2012.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2018","disloc2012.y","escenario1","dsi_SQ_E3_pob","pob_total"
"1",22,8,14,0.425,22,14,8,14,0.38932650403246,1355
"2",22,15,3,0.823,22,3,15,3,0.835933747264673,1809
"3",22,14,1,0.77,22,1,14,1,0.794988220841724,3080
"4",22,13,2,0.4,22,2,13,2,0.338125539257981,1930
"5",22,7,9,0.189,22,9,7,9,0.177930890259808,4952
"6",22,12,4,1,22,4,12,4,1,3467
"7",22,11,15,0.338,22,15,11,15,0.346665441554019,2308
"8",22,10,15,0.338,22,15,11,15,0.346665441554019,2308
"9",22,3,6,0.316,22,6,3,6,0.429630972420044,4632
"10",22,4,7,0.456,22,7,4,7,0.453633672337188,2479
"11",22,1,7,0.456,22,7,4,7,0.453633672337188,2479
"12",22,5,7,0.456,22,7,4,7,0.453633672337188,2479
"13",22,2,5,0.483,22,5,2,5,0.508168663451066,1322
"14",22,4,7,0.456,22,7,1,7,0.453633672337188,1682
"15",22,1,7,0.456,22,7,1,7,0.453633672337188,1682
"16",22,5,7,0.456,22,7,1,7,0.453633672337188,1682
"17",22,4,7,0.456,22,7,5,7,0.453633672337188,2330
"18",22,1,7,0.456,22,7,5,7,0.453633672337188,2330
"19",22,5,7,0.456,22,7,5,7,0.453633672337188,2330
"20",22,6,11,0.366,22,11,6,11,0.266313870759099,1244
"21",22,11,15,0.338,22,15,10,15,0.346665441554019,2301
"22",22,10,15,0.338,22,15,10,15,0.346665441554019,2301
"23",22,9,13,0.766,22,13,9,13,0.814777378367797,1493
