"","edon.x","disloc2015.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2015.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",24,4,4,0.505,24,4,4,1,0.54148427672956,1602
"2",24,2,4,0.505,24,4,4,1,0.54148427672956,1602
"3",24,11,7,0.319,24,11,11,3,0.287100186002407,369
"4",24,3,7,0.319,24,11,11,3,0.287100186002407,369
"5",24,14,5,0.273,24,14,14,4,0.334703382938122,3325
"6",24,4,4,0.505,24,3,2,2,0.54148427672956,301
"7",24,2,4,0.505,24,3,2,2,0.54148427672956,301
"8",24,1,3,1,24,1,1,5,1,1625
"9",24,11,7,0.319,24,3,3,2,0.287100186002407,240
"10",24,3,7,0.319,24,3,3,2,0.287100186002407,240
"11",24,10,2,0.892,24,10,10,6,0.905619200229599,1932
"12",24,12,9,1,24,12,12,15,1,10243
"13",24,13,6,0.526,24,13,13,14,0.526624311874598,1417
"14",24,15,6,0.526,24,13,13,14,0.526624311874598,1417
"15",24,5,14,0.568,24,2,5,10,0.84711309883557,13064
"16",24,7,14,0.568,24,2,5,10,0.84711309883557,13064
"17",24,5,14,0.568,24,5,7,8,0.84711309883557,2032
"18",24,7,14,0.568,24,5,7,8,0.84711309883557,2032
"19",24,6,11,0.562,24,2,6,10,0.631778815944048,1448
"20",24,9,11,0.562,24,2,6,10,0.631778815944048,1448
"21",24,8,15,0.248,24,8,8,11,0.0575130366725619,362
"22",24,13,6,0.526,24,15,15,7,0.526624311874598,1116
"23",24,15,6,0.526,24,15,15,7,0.526624311874598,1116
"24",24,6,11,0.562,24,5,9,8,0.631778815944048,962
"25",24,9,11,0.562,24,5,9,8,0.631778815944048,962
