"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2012","escenario1.y","dsi_E1_E3_pob","pob_total"
"1",27,18,6,1,27,6,1,18,0.512159448887043,3737
"2",27,18,6,1,27,6,1,18,0.512159448887043,3737
"3",27,11,3,0.609,27,3,19,11,0.776259314218244,1801
"4",27,11,3,0.609,27,3,19,11,0.776259314218244,1801
"5",27,11,3,0.609,27,3,2,11,0.776259314218244,2913
"6",27,11,3,0.609,27,3,2,11,0.776259314218244,2913
"7",27,16,21,0.387,27,21,3,16,1,1395
"8",27,7,11,0.956,27,11,20,7,0.237154933683137,19842
"9",27,7,11,0.956,27,11,20,7,0.237154933683137,19842
"10",27,7,11,0.956,27,11,20,7,0.237154933683137,19842
"11",27,7,11,0.956,27,11,4,7,0.237154933683137,4328
"12",27,7,11,0.956,27,11,4,7,0.237154933683137,4328
"13",27,7,11,0.956,27,11,4,7,0.237154933683137,4328
"14",27,7,11,0.956,27,11,21,7,0.237154933683137,4098
"15",27,7,11,0.956,27,11,21,7,0.237154933683137,4098
"16",27,7,11,0.956,27,11,21,7,0.237154933683137,4098
"17",27,5,12,0.343,27,12,5,5,0.132940894441041,780
"18",27,12,18,0.369,27,18,6,12,0.62424131147541,2422
"19",27,14,14,0.581,27,14,7,14,0.816316874243141,3961
"20",27,16,9,0.385,27,9,8,16,0.303384194851291,2839
"21",27,16,9,0.385,27,9,8,16,0.303384194851291,2839
"22",27,8,5,0.415,27,5,9,8,0.602031873621926,2165
"23",27,19,8,0.375,27,8,10,19,0.369570232184946,2543
"24",27,20,8,0.375,27,8,10,19,0.369570232184946,2543
"25",27,15,19,0.552,27,19,11,15,0.695432811211871,1604
"26",27,16,9,0.385,27,9,12,16,0.303384194851291,2435
"27",27,16,9,0.385,27,9,12,16,0.303384194851291,2435
"28",27,19,7,0.351,27,7,13,19,0.634843493126011,2761
"29",27,1,1,1,27,1,14,1,1,1232
"30",27,17,20,0.616,27,20,15,17,0.714067845513375,2504
"31",27,19,8,0.375,27,8,16,20,0.369570232184946,2816
"32",27,20,8,0.375,27,8,16,20,0.369570232184946,2816
"33",27,20,13,0.382,27,13,17,20,0.535646416354944,1921
"34",27,18,6,1,27,6,18,18,0.512159448887043,807
"35",27,18,6,1,27,6,18,18,0.512159448887043,807
