"","edon.x","disloc2012.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2012.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",27,1,18,0.506,27,6,1,6,0.512159448887043,3737
"2",27,18,18,0.506,27,6,1,6,0.512159448887043,3737
"3",27,19,11,0.703,27,3,19,3,0.594675817229547,1801
"4",27,2,11,0.703,27,3,19,3,0.594675817229547,1801
"5",27,19,11,0.703,27,3,2,3,0.594675817229547,2913
"6",27,2,11,0.703,27,3,2,3,0.594675817229547,2913
"7",27,3,16,0.387,27,21,3,21,0.320473700399877,1395
"8",27,8,16,0.387,27,21,3,21,0.320473700399877,1395
"9",27,12,16,0.387,27,21,3,21,0.320473700399877,1395
"10",27,20,7,0.229,27,11,20,11,0.250552397609678,19842
"11",27,4,7,0.229,27,11,20,11,0.250552397609678,19842
"12",27,21,7,0.229,27,11,20,11,0.250552397609678,19842
"13",27,20,7,0.229,27,11,4,11,0.250552397609678,4328
"14",27,4,7,0.229,27,11,4,11,0.250552397609678,4328
"15",27,21,7,0.229,27,11,4,11,0.250552397609678,4328
"16",27,20,7,0.229,27,11,21,11,0.250552397609678,4098
"17",27,4,7,0.229,27,11,21,11,0.250552397609678,4098
"18",27,21,7,0.229,27,11,21,11,0.250552397609678,4098
"19",27,5,5,0.368,27,12,5,12,0.302845795552441,780
"20",27,6,12,0.546,27,18,6,18,0.556154754098361,2422
"21",27,7,14,0.758,27,14,7,14,0.729096432548731,3961
"22",27,3,16,0.387,27,9,8,9,0.320473700399877,2839
"23",27,8,16,0.387,27,9,8,9,0.320473700399877,2839
"24",27,12,16,0.387,27,9,8,9,0.320473700399877,2839
"25",27,9,8,0.321,27,5,9,5,0.350057377203379,2165
"26",27,10,19,0.264,27,8,10,8,0.304645825089038,2543
"27",27,13,19,0.264,27,8,10,8,0.304645825089038,2543
"28",27,11,15,0.74,27,19,11,19,0.756128824072497,1604
"29",27,3,16,0.387,27,9,12,9,0.320473700399877,2435
"30",27,8,16,0.387,27,9,12,9,0.320473700399877,2435
"31",27,12,16,0.387,27,9,12,9,0.320473700399877,2435
"32",27,10,19,0.264,27,7,13,7,0.304645825089038,2761
"33",27,13,19,0.264,27,7,13,7,0.304645825089038,2761
"34",27,14,1,1,27,1,14,1,1,1232
"35",27,15,17,0.818,27,20,15,20,0.783997827759424,2504
"36",27,16,20,0.509,27,8,16,8,0.460783326621023,2816
"37",27,17,20,0.509,27,8,16,8,0.460783326621023,2816
"38",27,16,20,0.509,27,13,17,13,0.460783326621023,1921
"39",27,17,20,0.509,27,13,17,13,0.460783326621023,1921
"40",27,1,18,0.506,27,6,18,6,0.512159448887043,807
"41",27,18,18,0.506,27,6,18,6,0.512159448887043,807
