"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2016","disloc2013","escenario1.y","dsi_E1_E3_pob","pob_total"
"1",29,10,1,0.471,29,8,3,10,0.51016497823545,1538
"2",29,7,1,0.471,29,8,3,10,0.51016497823545,1538
"3",29,10,1,0.471,29,8,2,7,0.51016497823545,3165
"4",29,7,1,0.471,29,8,2,7,0.51016497823545,3165
"5",29,8,11,1,29,4,15,8,1,1335
"6",29,8,11,1,29,4,15,8,1,1335
"7",NA,NA,12,NA,29,5,15,1,0.176792678074015,1267
"8",29,4,13,0.6,29,2,12,4,0.420130533070809,889
"9",29,4,13,0.6,29,2,12,4,0.420130533070809,889
"10",29,14,3,1,29,11,17,14,1,1327
"11",29,14,3,1,29,11,17,14,1,1327
"12",29,9,6,1,29,1,13,9,1,5522
"13",NA,NA,14,NA,29,3,16,5,0.466303198455583,1562
"14",29,7,15,0.698,29,9,5,6,0.663158970167552,2334
"15",29,7,15,0.698,29,9,5,6,0.663158970167552,2334
"16",NA,NA,12,NA,29,5,12,3,0.176792678074015,2512
"17",29,15,2,1,29,10,18,15,1,4978
"18",29,11,7,0.442,29,12,7,11,0.411041413906743,2550
"19",29,11,7,0.442,29,12,7,11,0.411041413906743,2550
"20",29,10,9,0.434,29,14,10,2,0.333724834990323,1959
"21",29,12,5,0.739,29,15,7,12,0.85559961208431,4149
"22",29,13,4,1,29,7,2,13,1,2047
