"","edon.x","disloc2013.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2016","disloc2013.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",29,3,10,0.222,29,8,3,1,0.226489963840624,1538
"2",29,10,10,0.222,29,8,3,1,0.226489963840624,1538
"3",29,2,7,0.703,29,8,2,1,0.711990486552134,3165
"4",29,4,7,0.703,29,8,2,1,0.711990486552134,3165
"5",29,5,7,0.703,29,8,2,1,0.711990486552134,3165
"6",29,15,8,0.396,29,4,15,11,0.276267877412032,1335
"7",29,16,8,0.396,29,4,15,11,0.276267877412032,1335
"8",29,15,8,0.396,29,4,16,11,0.276267877412032,2516
"9",29,16,8,0.396,29,4,16,11,0.276267877412032,2516
"10",29,12,4,0.413,29,2,12,13,0.348100342740465,889
"11",29,14,4,0.413,29,2,12,13,0.348100342740465,889
"12",29,12,4,0.413,29,2,14,13,0.348100342740465,270
"13",29,14,4,0.413,29,2,14,13,0.348100342740465,270
"14",29,17,14,0.41,29,11,17,3,0.49556786120352,1327
"15",29,19,14,0.41,29,11,17,3,0.49556786120352,1327
"16",29,13,9,0.821,29,1,13,6,0.81198467230444,5522
"17",29,17,14,0.41,29,11,19,3,0.49556786120352,4229
"18",29,19,14,0.41,29,11,19,3,0.49556786120352,4229
"19",29,2,7,0.703,29,9,4,15,0.711990486552134,2001
"20",29,4,7,0.703,29,9,4,15,0.711990486552134,2001
"21",29,5,7,0.703,29,9,4,15,0.711990486552134,2001
"22",29,2,7,0.703,29,9,5,15,0.711990486552134,2471
"23",29,4,7,0.703,29,9,5,15,0.711990486552134,2471
"24",29,5,7,0.703,29,9,5,15,0.711990486552134,2471
"25",29,18,15,0.622,29,10,18,2,0.609729914363091,4978
"26",29,11,3,0.338,29,6,11,10,0.343177249038706,2481
"27",29,3,10,0.222,29,14,10,9,0.226489963840624,3562
"28",29,10,10,0.222,29,14,10,9,0.226489963840624,3562
"29",29,7,11,0.55,29,12,7,7,0.529267207828311,2550
"30",29,9,11,0.55,29,12,7,7,0.529267207828311,2550
"31",29,8,11,0.55,29,12,7,7,0.529267207828311,2550
"32",29,7,11,0.55,29,12,9,7,0.529267207828311,1627
"33",29,9,11,0.55,29,12,9,7,0.529267207828311,1627
"34",29,8,11,0.55,29,12,9,7,0.529267207828311,1627
"35",29,6,12,0.882,29,15,6,5,0.86709805159402,6141
"36",29,1,13,0.657,29,7,1,4,0.69950069630787,1097
"37",29,7,11,0.55,29,13,8,8,0.529267207828311,3126
"38",29,9,11,0.55,29,13,8,8,0.529267207828311,3126
"39",29,8,11,0.55,29,13,8,8,0.529267207828311,3126
