"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2011","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","mc_iee1","morena_clv1","morena_iee1","prd_clv1","prd_iee1","pri_clv1","pt_clv1","mc_clv2","morena_clv2","panal_clv2","pan_clv2","pes_clv2","ph_iee2","prd_clv2","pri_clv2","prs_iee2","pt_clv2","pvem_clv2","esc1_mcCLV1","esc1_mcIEE1","esc1_morCLV1","esc1_morIEE1","esc1_prdCLV1","esc1_prdIEE1","esc1_priCLV1","esc1_ptCLV1","esc2_mcCLV2","esc2_morCLV2","esc2_panalCLV2","esc2_panCLV2","esc2_pesCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priCLV2","esc2_prsIEE2","esc2_ptCLV2","esc2_pvemCLV2","E1","dsiE1_E3"
1,1,3,"bcs",2,1,1,1,4,9,1,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,4,0.35
2,1,3,"bcs",2,1,1,1,4,9,2,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,4,0.35
3,1,3,"bcs",2,1,1,1,4,9,3,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,4,0.35
4,1,3,"bcs",2,1,1,1,4,9,4,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,4,0.35
5,1,3,"bcs",2,1,1,1,4,9,5,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,4,0.35
6,1,3,"bcs",2,1,1,1,4,9,6,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,4,0.35
7,1,3,"bcs",2,1,1,1,4,9,7,3,1,4,4,4,2,2,2,2,2,2,8,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,4,0.35
8,1,3,"bcs",2,1,1,1,4,9,8,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,4,0.35
9,1,3,"bcs",2,1,1,1,4,9,9,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,4,0.35
10,1,3,"bcs",2,1,1,1,4,9,10,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,4,0.35
11,1,3,"bcs",2,1,1,1,2,9,11,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,2,0.514
