"seccion","munn","edon","disloc2018","disloc2015","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,6,6,1,15,11,5884,15,0.949798567591764
2,1,6,6,1,15,11,965,15,0.949798567591764
3,1,6,2,2,16,12,1916,16,0.748400553538838
4,1,6,2,2,16,12,871,16,0.748400553538838
5,1,6,2,2,16,12,619,16,0.748400553538838
6,1,6,6,1,15,11,2113,15,0.949798567591764
7,1,6,2,2,16,12,937,16,0.748400553538838
8,1,6,2,2,16,12,1066,16,0.748400553538838
9,1,6,2,2,16,12,905,16,0.748400553538838
10,1,6,2,2,16,12,1378,16,0.748400553538838
11,1,6,2,2,16,12,611,16,0.748400553538838
12,1,6,6,1,15,11,926,15,0.949798567591764
13,1,6,6,1,15,11,1913,15,0.949798567591764
14,1,6,2,2,16,12,1149,16,0.748400553538838
15,1,6,2,2,16,12,564,16,0.748400553538838
16,1,6,2,2,16,12,598,16,0.748400553538838
17,1,6,2,2,16,12,726,16,0.748400553538838
18,1,6,2,2,16,12,900,16,0.748400553538838
19,1,6,2,2,16,12,1017,16,0.748400553538838
20,1,6,1,2,16,9,1074,13,0.441323971915747
21,1,6,1,2,15,9,1293,13,0.441323971915747
22,1,6,6,1,14,11,950,15,0.949798567591764
23,1,6,3,1,14,10,2813,14,0.454763877381939
24,1,6,3,1,14,10,5617,14,0.454763877381939
25,1,6,2,2,16,12,1306,16,0.748400553538838
26,1,6,2,2,16,12,1008,16,0.748400553538838
27,1,6,2,2,16,12,746,16,0.748400553538838
28,1,6,2,2,16,12,491,16,0.748400553538838
29,1,6,2,2,16,12,664,16,0.748400553538838
30,1,6,2,2,16,12,518,16,0.748400553538838
31,1,6,2,2,16,12,1026,16,0.748400553538838
32,1,6,1,2,16,9,1315,13,0.441323971915747
33,1,6,1,2,13,9,1493,13,0.441323971915747
34,1,6,1,2,13,9,1369,13,0.441323971915747
35,1,6,1,2,13,9,1542,13,0.441323971915747
36,1,6,1,1,13,9,1758,13,0.441323971915747
37,1,6,3,1,13,10,3045,14,0.454763877381939
38,1,6,2,2,16,12,1046,16,0.748400553538838
39,1,6,2,2,16,12,562,16,0.748400553538838
40,1,6,2,2,16,12,608,16,0.748400553538838
41,1,6,2,2,16,12,367,16,0.748400553538838
42,1,6,1,2,16,9,535,13,0.441323971915747
43,1,6,1,2,16,9,1240,13,0.441323971915747
44,1,6,1,2,13,9,686,13,0.441323971915747
45,1,6,1,2,13,9,1836,13,0.441323971915747
46,1,6,1,2,13,9,1087,13,0.441323971915747
47,1,6,2,2,16,12,1402,16,0.748400553538838
48,1,6,2,2,16,12,1220,16,0.748400553538838
49,1,6,2,5,16,12,295,16,0.748400553538838
50,1,6,1,3,16,9,906,13,0.441323971915747
51,1,6,1,2,16,9,821,13,0.441323971915747
52,1,6,1,2,13,9,1814,13,0.441323971915747
53,1,6,1,2,13,9,1712,13,0.441323971915747
54,1,6,2,5,16,12,2275,16,0.748400553538838
55,1,6,2,5,16,12,1369,16,0.748400553538838
56,1,6,2,5,16,12,482,16,0.748400553538838
57,1,6,1,3,16,9,746,13,0.441323971915747
58,1,6,1,2,13,9,1143,13,0.441323971915747
59,1,6,1,2,13,9,1347,13,0.441323971915747
60,1,6,1,1,13,9,11053,13,0.441323971915747
61,1,6,3,3,13,10,2617,14,0.454763877381939
62,1,6,3,3,13,10,11181,14,0.454763877381939
