"seccion","munn.x","edon.x","edo.x","disfed1979.x","disfed1997.x","disfed2006.x","disfed2018.x","disloc2012.x","disloc2018.x","cab","nota.x","X","munn.y","edon.y","edo.y","disfed1979.y","disfed1997.y","disfed2006.y","disfed2018.y","disloc2012.y","disloc2018.y","nota.y","escenario1","escenario2","escenario3","pri_clv1","pri_clv2","juanZepedaPerez1","lorenzoLopezMendez1a","lorenzoLopezMendez1b","antonioPerezGomez1","leonardoLopezPerez1","magdalenaGironLopez1","JoseDomingoVazquezLopez1a","JoseDomingoVazquezLopez1b","esc1_priCLV1","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
1,1,7,"cps",7,11,7,7,16,18,"Mapastepec","0",1,1,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292,11,0.285
2,1,7,"cps",7,11,7,7,16,18,"Mapastepec","0",2,1,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292,11,0.285
3,1,7,"cps",7,11,7,7,16,18,"Mapastepec","0",3,1,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292,11,0.285
4,1,7,"cps",7,11,7,7,16,18,"Mapastepec","0",4,1,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292,11,0.285
5,1,7,"cps",7,11,7,7,16,18,"Mapastepec","0",5,1,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292,11,0.285
6,1,7,"cps",7,11,7,7,16,18,"Mapastepec","0",6,1,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292,11,0.285
7,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",7,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455,1,0.491
8,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",8,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455,1,0.491
9,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",9,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455,1,0.491
10,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",10,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455,1,0.491
11,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",11,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455,1,0.491
12,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",12,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455,1,0.491
13,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",13,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455,1,0.491
14,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",14,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455,1,0.491
