"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3_cg","escenario3_jge","panal_cnv1","pri_clv1","panal_cnv2","prd_cnv2","esc1_panalCNV1","esc1_priCLV1","esc2_panalCNV2","esc2_prdCNV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
1,1,13,"hgo",2,4,4,4,1,18,1,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
2,1,13,"hgo",2,4,4,4,1,18,2,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
3,1,13,"hgo",2,4,4,4,1,18,3,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
4,1,13,"hgo",2,4,4,4,1,18,4,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
5,1,13,"hgo",2,4,4,4,1,18,5,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
6,1,13,"hgo",2,4,4,4,1,18,6,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
7,1,13,"hgo",2,4,4,4,1,18,7,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
8,1,13,"hgo",2,4,4,4,1,18,8,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
9,1,13,"hgo",2,4,4,4,1,18,9,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
10,1,13,"hgo",2,4,4,4,1,18,10,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
11,1,13,"hgo",2,4,4,4,1,18,11,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
12,1,13,"hgo",2,4,4,4,1,18,12,13,1,8,9,9,1,8,9,9,1,1,0,1,0,10,0.742,0.479,8,0.697
13,2,13,"hgo",2,4,4,4,10,10,13,13,2,8,4,4,10,8,4,3,10,1,0,0,0,11,0.742,0.336,5,0.686
