"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","pan_clv1","mc_clv2","pan_cnv2","prd_clv2","pri_clv2","esc1_mcCLV1","esc1_panCLV1","esc1_mcCLV1.1","esc2_mcCLV2","esc2_panCNV2","esc2_prdCLV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
1,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
2,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
3,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
4,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
5,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
6,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
7,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
8,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
9,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
10,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
11,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
12,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,17,0.256,0.151,3,0.211
13,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352,0.605,8,0.455
14,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352,0.605,8,0.455
