"seccion","munn","edon","disloc2018","disloc2012","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,16,14,19,5,14,1889,4,0.426079310921689
2,1,16,14,19,5,14,1940,4,0.426079310921689
3,1,16,14,19,5,14,989,4,0.426079310921689
4,1,16,14,19,5,14,871,4,0.426079310921689
5,1,16,14,19,5,14,1748,4,0.426079310921689
6,1,16,14,19,5,14,444,4,0.426079310921689
7,1,16,14,19,5,14,913,4,0.426079310921689
8,1,16,14,19,5,14,545,4,0.426079310921689
9,1,16,14,19,5,14,341,4,0.426079310921689
10,1,16,14,19,5,14,1197,4,0.426079310921689
11,2,16,10,21,8,10,2596,8,0.65986555072846
12,2,16,10,21,8,10,2150,8,0.65986555072846
13,2,16,10,21,8,10,2042,8,0.65986555072846
14,2,16,10,21,8,10,2131,8,0.65986555072846
15,2,16,10,21,8,10,639,8,0.65986555072846
16,2,16,10,21,8,10,2930,8,0.65986555072846
17,2,16,10,21,8,10,842,8,0.65986555072846
18,2,16,10,21,8,10,951,8,0.65986555072846
19,2,16,10,21,8,10,860,8,0.65986555072846
20,2,16,10,21,8,10,248,8,0.65986555072846
21,2,16,10,21,8,10,248,8,0.65986555072846
22,2,16,10,21,8,10,480,8,0.65986555072846
23,2,16,10,21,8,10,226,8,0.65986555072846
25,2,16,10,21,8,10,218,8,0.65986555072846
26,3,16,12,8,9,12,1894,9,0.645939675174014
27,3,16,12,8,9,12,2450,9,0.645939675174014
28,3,16,12,8,9,12,2493,9,0.645939675174014
29,3,16,12,8,9,12,1477,9,0.645939675174014
30,3,16,12,8,9,12,1065,9,0.645939675174014
31,3,16,12,8,9,12,1788,9,0.645939675174014
32,3,16,12,8,9,12,2472,9,0.645939675174014
33,3,16,12,8,9,12,1633,9,0.645939675174014
34,3,16,12,8,9,12,1467,9,0.645939675174014
35,3,16,12,8,9,12,1548,9,0.645939675174014
36,3,16,12,8,9,12,1790,9,0.645939675174014
37,3,16,12,8,9,12,837,9,0.645939675174014
38,4,16,9,2,13,9,1073,13,0.726672214464708
39,4,16,9,2,13,9,888,13,0.726672214464708
40,4,16,9,2,13,9,1701,13,0.726672214464708
41,4,16,9,2,13,9,1567,13,0.726672214464708
42,4,16,9,2,13,9,795,13,0.726672214464708
43,4,16,9,2,13,9,1106,13,0.726672214464708
44,4,16,9,2,13,9,790,13,0.726672214464708
45,4,16,9,2,13,9,2916,13,0.726672214464708
46,4,16,9,2,13,9,886,13,0.726672214464708
47,4,16,9,2,13,9,103,13,0.726672214464708
48,4,16,9,2,13,9,446,13,0.726672214464708
49,4,16,9,2,13,9,505,13,0.726672214464708
50,4,16,9,2,13,9,707,13,0.726672214464708
51,4,16,9,2,13,9,1138,13,0.726672214464708
52,5,16,2,13,14,2,986,16,0.824548037395045
53,5,16,2,13,14,2,980,16,0.824548037395045
54,5,16,2,13,14,2,1011,16,0.824548037395045
55,5,16,2,13,14,2,3072,16,0.824548037395045
56,5,16,2,13,14,2,982,16,0.824548037395045
57,5,16,2,13,14,2,3102,16,0.824548037395045
58,6,16,11,23,3,11,2653,3,0.548541535403374
59,6,16,11,23,3,11,2600,3,0.548541535403374
60,6,16,11,23,3,11,2155,3,0.548541535403374
61,6,16,11,23,3,11,3258,3,0.548541535403374
62,6,16,11,23,3,11,2568,3,0.548541535403374
