"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_clv1","pan_clv1","pan_clv2","esc1_morCLV1","esc1_panCLV1","esc2_panCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
1,1,16,"mic",10,11,11,11,14,19,1,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
2,1,16,"mic",10,11,11,11,14,19,2,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
3,1,16,"mic",10,11,11,11,14,19,3,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
4,1,16,"mic",10,11,11,11,14,19,4,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
5,1,16,"mic",10,11,11,11,14,19,5,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
6,1,16,"mic",10,11,11,11,14,19,6,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
7,1,16,"mic",10,11,11,11,14,19,7,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
8,1,16,"mic",10,11,11,11,14,19,8,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
9,1,16,"mic",10,11,11,11,14,19,9,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
10,1,16,"mic",10,11,11,11,14,19,10,16,1,5,5,14,1,1,14,0,0,0,19,0.726,0.845,4,0.4
11,2,16,"mic",13,12,12,12,10,21,11,16,2,8,8,10,2,2,10,0,0,0,21,0.802,0.897,8,0.734
12,2,16,"mic",13,12,12,12,10,21,12,16,2,8,8,10,2,2,10,0,0,0,21,0.802,0.897,8,0.734
13,2,16,"mic",13,12,12,12,10,21,13,16,2,8,8,10,2,2,10,0,0,0,21,0.802,0.897,8,0.734
14,2,16,"mic",13,12,12,12,10,21,14,16,2,8,8,10,2,2,10,0,0,0,21,0.802,0.897,8,0.734
15,2,16,"mic",13,12,12,12,10,21,15,16,2,8,8,10,2,2,10,0,0,0,21,0.802,0.897,8,0.734
16,2,16,"mic",13,12,12,12,10,21,16,16,2,8,8,10,2,2,10,0,0,0,21,0.802,0.897,8,0.734
17,2,16,"mic",13,12,12,12,10,21,17,16,2,8,8,10,2,2,10,0,0,0,21,0.802,0.897,8,0.734
