"seccion","munn","edon","disloc2018","disloc2015","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,24,4,4,4,1,1602,4,0.54148427672956
2,1,24,4,4,4,1,2706,4,0.54148427672956
3,1,24,4,4,4,1,358,4,0.54148427672956
4,1,24,4,4,4,1,560,4,0.54148427672956
5,1,24,4,4,4,1,357,4,0.54148427672956
6,1,24,4,4,4,1,2030,4,0.54148427672956
7,1,24,4,4,4,1,1667,4,0.54148427672956
8,1,24,4,4,4,1,2175,4,0.54148427672956
9,1,24,4,4,4,1,395,4,0.54148427672956
10,1,24,4,4,4,1,201,4,0.54148427672956
11,1,24,4,4,4,1,1664,4,0.54148427672956
12,1,24,4,4,4,1,881,4,0.54148427672956
13,1,24,4,4,4,1,1496,4,0.54148427672956
14,1,24,4,4,4,1,2993,4,0.54148427672956
15,2,24,11,11,7,3,369,7,0.433190899641991
16,2,24,11,11,7,3,340,7,0.433190899641991
17,2,24,11,11,7,3,410,7,0.433190899641991
18,2,24,11,11,7,3,152,7,0.433190899641991
19,2,24,11,11,7,3,386,7,0.433190899641991
20,2,24,11,11,7,3,232,7,0.433190899641991
21,2,24,11,11,7,3,284,7,0.433190899641991
22,2,24,11,11,7,3,230,7,0.433190899641991
23,2,24,11,11,7,3,649,7,0.433190899641991
24,2,24,11,11,7,3,221,7,0.433190899641991
25,2,24,11,11,7,3,185,7,0.433190899641991
26,2,24,11,11,7,3,1305,7,0.433190899641991
27,2,24,11,11,7,3,425,7,0.433190899641991
28,2,24,11,11,7,3,812,7,0.433190899641991
29,2,24,11,11,7,3,212,7,0.433190899641991
30,2,24,11,11,7,3,562,7,0.433190899641991
31,2,24,11,11,7,3,375,7,0.433190899641991
32,2,24,11,11,7,3,525,7,0.433190899641991
33,2,24,11,11,7,3,517,7,0.433190899641991
34,3,24,14,14,5,4,3325,5,0.334703382938122
35,3,24,14,14,5,4,964,5,0.334703382938122
36,3,24,14,14,5,4,1324,5,0.334703382938122
37,3,24,14,14,5,4,725,5,0.334703382938122
38,3,24,14,14,5,4,1177,5,0.334703382938122
39,3,24,14,14,5,4,2069,5,0.334703382938122
40,3,24,14,14,5,4,300,5,0.334703382938122
41,3,24,14,14,5,4,2040,5,0.334703382938122
42,3,24,14,14,5,4,1540,5,0.334703382938122
43,3,24,14,14,5,4,2655,5,0.334703382938122
44,3,24,14,14,5,4,2541,5,0.334703382938122
45,3,24,14,14,5,4,2853,5,0.334703382938122
46,3,24,14,14,5,4,2939,5,0.334703382938122
47,3,24,14,14,5,4,1626,5,0.334703382938122
48,3,24,14,14,5,4,3046,5,0.334703382938122
49,3,24,14,14,5,4,1940,5,0.334703382938122
50,3,24,14,14,5,4,832,5,0.334703382938122
51,3,24,14,14,5,4,2330,5,0.334703382938122
52,3,24,14,14,5,4,1258,5,0.334703382938122
53,3,24,14,14,5,4,2813,5,0.334703382938122
54,3,24,14,14,5,4,1717,5,0.334703382938122
55,3,24,14,14,5,4,1350,5,0.334703382938122
56,3,24,14,14,5,4,1407,5,0.334703382938122
57,3,24,14,14,5,4,1813,5,0.334703382938122
58,3,24,14,14,5,4,1346,5,0.334703382938122
59,3,24,14,14,5,4,1192,5,0.334703382938122
60,4,24,3,2,4,2,301,1,0.496942942280102
61,4,24,3,2,4,2,132,1,0.496942942280102
62,4,24,3,2,4,2,117,1,0.496942942280102
63,4,24,3,2,4,2,153,1,0.496942942280102
64,4,24,3,2,4,2,831,1,0.496942942280102
65,4,24,3,2,4,2,450,1,0.496942942280102
66,4,24,3,2,4,2,123,1,0.496942942280102
67,4,24,3,2,4,2,37,1,0.496942942280102
68,4,24,3,2,4,2,657,1,0.496942942280102
69,4,24,3,2,4,2,247,1,0.496942942280102
70,4,24,3,2,4,2,539,1,0.496942942280102
71,4,24,3,2,4,2,229,1,0.496942942280102
72,4,24,3,2,4,2,126,1,0.496942942280102
73,4,24,3,2,4,2,87,1,0.496942942280102
75,4,24,3,2,4,2,69,1,0.496942942280102
76,4,24,3,2,4,2,84,1,0.496942942280102
77,4,24,3,2,4,2,250,1,0.496942942280102
78,5,24,11,11,7,3,1337,7,0.433190899641991
79,5,24,11,11,7,3,2641,7,0.433190899641991
80,5,24,11,11,7,3,1441,7,0.433190899641991
81,5,24,11,11,7,3,1051,7,0.433190899641991
82,5,24,11,11,7,3,572,7,0.433190899641991
83,5,24,11,11,7,3,726,7,0.433190899641991
84,5,24,11,11,7,3,1270,7,0.433190899641991
85,5,24,11,11,7,3,2221,7,0.433190899641991
86,5,24,11,11,7,3,900,7,0.433190899641991
87,5,24,11,11,7,3,613,7,0.433190899641991
88,5,24,11,11,7,3,835,7,0.433190899641991
89,5,24,11,11,7,3,722,7,0.433190899641991
90,5,24,11,11,7,3,1116,7,0.433190899641991
91,5,24,11,11,7,3,509,7,0.433190899641991
92,5,24,11,11,7,3,354,7,0.433190899641991
93,5,24,11,11,7,3,837,7,0.433190899641991
94,5,24,11,11,7,3,366,7,0.433190899641991
95,5,24,11,11,7,3,642,7,0.433190899641991
96,5,24,11,11,7,3,501,7,0.433190899641991
97,5,24,11,11,7,3,270,7,0.433190899641991
98,6,24,1,1,3,5,1625,3,0.918786648877129
99,6,24,1,1,3,5,220,3,0.918786648877129
101,6,24,1,1,3,5,502,3,0.918786648877129
102,6,24,1,1,3,5,385,3,0.918786648877129
103,6,24,1,1,3,5,543,3,0.918786648877129
105,6,24,1,1,3,5,364,3,0.918786648877129
106,6,24,1,1,3,5,1342,3,0.918786648877129
107,6,24,1,1,3,5,248,3,0.918786648877129
108,6,24,1,1,3,5,587,3,0.918786648877129
109,6,24,1,1,3,5,313,3,0.918786648877129
110,6,24,1,1,3,5,283,3,0.918786648877129
111,6,24,1,1,3,5,417,3,0.918786648877129
112,6,24,1,1,3,5,670,3,0.918786648877129
113,6,24,1,1,3,5,342,3,0.918786648877129
114,6,24,1,1,3,5,170,3,0.918786648877129
115,6,24,1,1,3,5,470,3,0.918786648877129
116,6,24,1,1,3,5,361,3,0.918786648877129
117,6,24,1,1,3,5,287,3,0.918786648877129
118,6,24,1,1,3,5,591,3,0.918786648877129
119,7,24,1,1,3,5,3077,3,0.918786648877129
120,7,24,1,1,3,5,2654,3,0.918786648877129
121,7,24,1,1,3,5,2423,3,0.918786648877129
122,7,24,1,1,3,5,3434,3,0.918786648877129
123,7,24,1,1,3,5,251,3,0.918786648877129
124,7,24,1,1,3,5,396,3,0.918786648877129
125,7,24,1,1,3,5,584,3,0.918786648877129
126,7,24,1,1,3,5,638,3,0.918786648877129
127,7,24,1,1,3,5,421,3,0.918786648877129
128,7,24,1,1,3,5,482,3,0.918786648877129
129,7,24,1,1,3,5,165,3,0.918786648877129
130,7,24,1,1,3,5,331,3,0.918786648877129
131,7,24,1,1,3,5,1708,3,0.918786648877129
132,7,24,1,1,3,5,204,3,0.918786648877129
133,7,24,1,1,3,5,462,3,0.918786648877129
134,7,24,1,1,3,5,455,3,0.918786648877129
135,7,24,1,1,3,5,808,3,0.918786648877129
136,8,24,10,2,7,6,1323,2,0.663271604938272
137,8,24,10,2,7,6,1367,2,0.663271604938272
138,8,24,10,2,7,6,834,2,0.663271604938272
139,8,24,10,2,7,6,2015,2,0.663271604938272
140,8,24,10,2,7,6,1195,2,0.663271604938272
141,8,24,10,2,7,6,1929,2,0.663271604938272
142,8,24,10,2,7,6,1382,2,0.663271604938272
143,8,24,10,2,7,6,2170,2,0.663271604938272
144,8,24,10,2,7,6,2324,2,0.663271604938272
145,8,24,10,2,7,6,136,2,0.663271604938272
147,8,24,10,2,7,6,587,2,0.663271604938272
148,8,24,10,2,7,6,468,2,0.663271604938272
149,8,24,10,2,7,6,183,2,0.663271604938272
150,8,24,10,2,7,6,237,2,0.663271604938272
151,8,24,10,2,7,6,93,2,0.663271604938272
152,8,24,10,2,7,6,1234,2,0.663271604938272
153,8,24,10,2,7,6,193,2,0.663271604938272
154,8,24,10,2,7,6,354,2,0.663271604938272
155,8,24,10,2,7,6,433,2,0.663271604938272
156,8,24,10,2,7,6,683,2,0.663271604938272
157,8,24,10,2,7,6,111,2,0.663271604938272
158,8,24,10,2,7,6,326,2,0.663271604938272
159,8,24,10,2,7,6,102,2,0.663271604938272
160,8,24,10,2,7,6,230,2,0.663271604938272
161,8,24,10,2,7,6,523,2,0.663271604938272
162,8,24,10,2,7,6,132,2,0.663271604938272
163,8,24,10,2,7,6,583,2,0.663271604938272
164,8,24,10,2,7,6,44,2,0.663271604938272
165,9,24,3,3,7,2,240,1,0.496942942280102
166,9,24,3,3,7,2,74,1,0.496942942280102
167,9,24,3,3,7,2,222,1,0.496942942280102
168,9,24,3,3,7,2,62,1,0.496942942280102
169,9,24,3,3,7,2,167,1,0.496942942280102
170,9,24,3,3,7,2,142,1,0.496942942280102
171,9,24,3,3,7,2,2184,1,0.496942942280102
172,9,24,3,3,7,2,783,1,0.496942942280102
173,10,24,11,11,7,3,1999,7,0.433190899641991
174,10,24,11,11,7,3,1182,7,0.433190899641991
175,10,24,11,11,7,3,2004,7,0.433190899641991
176,10,24,11,11,7,3,2946,7,0.433190899641991
177,10,24,11,11,7,3,1336,7,0.433190899641991
178,10,24,11,11,7,3,569,7,0.433190899641991
179,10,24,11,11,7,3,1517,7,0.433190899641991
180,57,24,11,11,7,3,513,7,0.433190899641991
181,10,24,11,11,7,3,586,7,0.433190899641991
182,10,24,11,11,7,3,1638,7,0.433190899641991
183,10,24,11,11,7,3,427,7,0.433190899641991
184,10,24,11,11,7,3,1110,7,0.433190899641991
185,10,24,11,11,7,3,1006,7,0.433190899641991
186,57,24,11,11,7,3,1314,7,0.433190899641991
187,57,24,11,11,7,3,1101,7,0.433190899641991
188,57,24,11,11,7,3,2518,7,0.433190899641991
189,57,24,11,11,7,3,1620,7,0.433190899641991
190,57,24,11,11,7,3,1339,7,0.433190899641991
191,57,24,11,11,7,3,1281,7,0.433190899641991
192,57,24,11,11,7,3,2119,7,0.433190899641991
193,57,24,11,11,7,3,2776,7,0.433190899641991
194,57,24,11,11,7,3,1353,7,0.433190899641991
195,57,24,11,11,7,3,850,7,0.433190899641991
196,10,24,11,11,7,3,283,7,0.433190899641991
197,10,24,11,11,7,3,772,7,0.433190899641991
198,10,24,11,11,7,3,1750,7,0.433190899641991
199,10,24,11,11,7,3,502,7,0.433190899641991
200,10,24,11,11,7,3,312,7,0.433190899641991
201,10,24,11,11,7,3,2691,7,0.433190899641991
202,10,24,11,11,7,3,1540,7,0.433190899641991
203,57,24,11,11,7,3,259,7,0.433190899641991
204,57,24,11,11,7,3,386,7,0.433190899641991
205,57,24,11,11,7,3,783,7,0.433190899641991
206,10,24,11,11,7,3,774,7,0.433190899641991
207,10,24,11,11,7,3,440,7,0.433190899641991
208,10,24,11,11,7,3,663,7,0.433190899641991
209,10,24,11,11,7,3,828,7,0.433190899641991
210,10,24,11,11,7,3,509,7,0.433190899641991
211,10,24,11,11,7,3,669,7,0.433190899641991
212,57,24,11,11,7,3,1109,7,0.433190899641991
213,57,24,11,11,7,3,340,7,0.433190899641991
214,10,24,11,11,7,3,791,7,0.433190899641991
215,10,24,11,11,7,3,477,7,0.433190899641991
216,10,24,11,11,7,3,487,7,0.433190899641991
217,10,24,11,11,7,3,1221,7,0.433190899641991
218,10,24,11,11,7,3,278,7,0.433190899641991
219,57,24,11,11,7,3,841,7,0.433190899641991
220,11,24,10,10,2,6,1932,2,0.663271604938272
221,11,24,10,10,2,6,1651,2,0.663271604938272
222,11,24,10,10,2,6,3221,2,0.663271604938272
223,11,24,10,10,2,6,1170,2,0.663271604938272
224,11,24,10,10,2,6,1307,2,0.663271604938272
225,11,24,10,10,2,6,6038,2,0.663271604938272
226,11,24,10,10,2,6,1975,2,0.663271604938272
227,11,24,10,10,2,6,4273,2,0.663271604938272
228,11,24,10,10,2,6,2856,2,0.663271604938272
229,11,24,10,10,2,6,738,2,0.663271604938272
230,11,24,10,10,2,6,2048,2,0.663271604938272
231,11,24,10,10,2,6,517,2,0.663271604938272
232,11,24,10,10,2,6,1706,2,0.663271604938272
233,11,24,10,10,2,6,948,2,0.663271604938272
234,11,24,10,10,2,6,1926,2,0.663271604938272
235,11,24,10,10,2,6,209,2,0.663271604938272
236,11,24,10,10,2,6,386,2,0.663271604938272
237,11,24,10,10,2,6,321,2,0.663271604938272
238,11,24,10,10,2,6,211,2,0.663271604938272
239,11,24,10,10,2,6,116,2,0.663271604938272
240,11,24,10,10,2,6,247,2,0.663271604938272
241,11,24,10,10,2,6,846,2,0.663271604938272
242,11,24,10,10,2,6,593,2,0.663271604938272
243,11,24,10,10,2,6,1723,2,0.663271604938272
244,11,24,10,10,2,6,356,2,0.663271604938272
245,11,24,10,10,2,6,622,2,0.663271604938272
246,11,24,10,10,2,6,1682,2,0.663271604938272
247,11,24,10,10,2,6,1334,2,0.663271604938272
248,11,24,10,10,2,6,1331,2,0.663271604938272
249,11,24,10,10,2,6,625,2,0.663271604938272
250,11,24,10,10,2,6,258,2,0.663271604938272
251,12,24,14,14,5,4,664,5,0.334703382938122
252,12,24,14,14,5,4,1803,5,0.334703382938122
253,12,24,14,14,5,4,1474,5,0.334703382938122
254,12,24,14,14,5,4,466,5,0.334703382938122
255,12,24,14,14,5,4,877,5,0.334703382938122
256,12,24,14,14,5,4,2183,5,0.334703382938122
257,12,24,14,14,5,4,1852,5,0.334703382938122
258,12,24,14,14,5,4,1050,5,0.334703382938122
259,12,24,14,14,5,4,2795,5,0.334703382938122
260,12,24,14,14,5,4,3098,5,0.334703382938122
261,12,24,14,14,5,4,780,5,0.334703382938122
262,12,24,14,14,5,4,523,5,0.334703382938122
263,12,24,14,14,5,4,443,5,0.334703382938122
264,12,24,14,14,5,4,1302,5,0.334703382938122
265,12,24,14,14,5,4,2568,5,0.334703382938122
266,13,24,12,12,9,15,10243,9,1
267,13,24,12,12,9,15,3086,9,1
268,13,24,12,12,9,15,192,9,1
269,13,24,12,12,9,15,219,9,1
270,13,24,12,12,9,15,235,9,1
271,13,24,12,12,9,15,4834,9,1
272,13,24,12,12,9,15,5026,9,1
273,13,24,12,12,9,15,5598,9,1
274,13,24,12,12,9,15,4474,9,1
275,13,24,12,12,9,15,2142,9,1
276,13,24,12,12,9,15,1030,9,1
277,13,24,12,12,9,15,5517,9,1
278,13,24,12,12,9,15,1712,9,1
279,13,24,12,12,9,15,1644,9,1
280,13,24,12,12,9,15,2180,9,1
281,13,24,12,12,9,15,1063,9,1
282,13,24,12,12,9,15,2708,9,1
283,13,24,12,12,9,15,1961,9,1
284,13,24,12,12,9,15,1329,9,1
285,13,24,12,12,9,15,1028,9,1
286,13,24,12,12,9,15,1508,9,1
287,13,24,12,12,9,15,2003,9,1
288,13,24,12,12,9,15,1144,9,1
289,13,24,12,12,9,15,4786,9,1
290,13,24,12,12,9,15,1030,9,1
291,13,24,12,12,9,15,854,9,1
292,13,24,12,12,9,15,1525,9,1
293,13,24,12,12,9,15,1364,9,1
294,13,24,12,12,9,15,1118,9,1
295,13,24,12,12,9,15,1173,9,1
296,13,24,12,12,9,15,892,9,1
297,13,24,12,12,9,15,2401,9,1
298,13,24,12,12,9,15,1823,9,1
299,13,24,12,12,9,15,1639,9,1
300,13,24,12,12,9,15,4296,9,1
301,13,24,12,12,9,15,562,9,1
302,13,24,12,12,9,15,396,9,1
303,13,24,12,12,9,15,732,9,1
304,13,24,12,12,9,15,1232,9,1
305,13,24,12,12,9,15,729,9,1
306,13,24,12,12,9,15,456,9,1
307,13,24,12,12,9,15,538,9,1
308,13,24,12,12,9,15,1169,9,1
309,13,24,12,12,9,15,1912,9,1
310,13,24,12,12,9,15,2322,9,1
311,13,24,12,12,9,15,2409,9,1
312,13,24,12,12,9,15,793,9,1
313,13,24,12,12,9,15,1619,9,1
314,13,24,12,12,9,15,359,9,1
315,13,24,12,12,9,15,145,9,1
316,13,24,12,12,9,15,2580,9,1
317,13,24,12,12,9,15,1002,9,1
318,13,24,12,12,9,15,483,9,1
319,13,24,12,12,9,15,1324,9,1
320,13,24,12,12,9,15,5275,9,1
321,13,24,12,12,9,15,786,9,1
322,13,24,12,12,9,15,1898,9,1
323,13,24,12,12,9,15,5094,9,1
324,13,24,12,12,9,15,2772,9,1
325,13,24,12,12,9,15,7,9,1
326,13,24,12,12,9,15,2781,9,1
327,13,24,12,12,9,15,219,9,1
328,13,24,12,12,9,15,349,9,1
329,13,24,12,12,9,15,430,9,1
330,13,24,12,12,9,15,247,9,1
331,13,24,12,12,9,15,763,9,1
332,13,24,12,12,9,15,2070,9,1
333,13,24,12,12,9,15,2120,9,1
334,13,24,12,12,9,15,397,9,1
335,13,24,12,12,9,15,820,9,1
336,13,24,12,12,9,15,406,9,1
337,13,24,12,12,9,15,466,9,1
338,13,24,12,12,9,15,1729,9,1
339,13,24,12,12,9,15,457,9,1
340,13,24,12,12,9,15,565,9,1
341,13,24,12,12,9,15,720,9,1
342,13,24,12,12,9,15,757,9,1
343,13,24,12,12,9,15,500,9,1
344,13,24,12,12,9,15,861,9,1
345,13,24,12,12,9,15,814,9,1
346,13,24,12,12,9,15,3260,9,1
347,13,24,12,12,9,15,1172,9,1
348,13,24,12,12,9,15,964,9,1
349,13,24,12,12,9,15,2274,9,1
350,13,24,12,12,9,15,1942,9,1
351,13,24,12,12,9,15,447,9,1
352,13,24,12,12,9,15,1349,9,1
