"seccion","munn","edon","disloc2016","disloc2013","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,29,8,3,10,8,1538,5,0.51016497823545
2,1,29,8,3,10,8,3949,5,0.51016497823545
3,1,29,8,3,10,8,3848,5,0.51016497823545
4,1,29,8,3,10,8,832,5,0.51016497823545
5,2,29,8,2,7,8,3165,5,0.51016497823545
6,2,29,8,2,7,8,1143,5,0.51016497823545
7,2,29,8,2,7,8,442,5,0.51016497823545
8,2,29,8,2,7,8,2704,5,0.51016497823545
9,2,29,8,2,7,8,2223,5,0.51016497823545
10,2,29,8,2,7,8,3402,5,0.51016497823545
11,2,29,8,2,7,8,1057,5,0.51016497823545
12,3,29,4,15,8,4,1335,8,1
13,3,29,4,16,8,4,2516,8,1
14,3,29,4,16,8,4,6027,8,1
15,3,29,4,16,8,4,2090,8,1
16,3,29,4,15,8,4,1791,8,1
17,3,29,4,15,8,4,1501,8,1
18,3,29,4,15,8,4,1086,8,1
19,3,29,4,16,8,4,1037,8,1
20,3,29,4,16,8,4,1350,8,1
21,3,29,4,16,8,4,568,8,1
22,3,29,4,16,8,4,1785,8,1
23,3,29,4,15,8,4,587,8,1
24,3,29,4,15,8,4,923,8,1
25,3,29,4,15,8,4,1815,8,1
26,3,29,4,15,8,4,1805,8,1
27,3,29,4,15,8,4,2139,8,1
28,3,29,4,16,8,4,1606,8,1
29,3,29,4,16,8,4,2046,8,1
30,3,29,4,16,8,4,8534,8,1
31,3,29,4,16,8,4,3486,8,1
32,3,29,4,16,8,4,2342,8,1
33,3,29,4,15,8,4,3127,8,1
34,3,29,4,15,8,4,1046,8,1
35,3,29,4,15,8,4,1691,8,1
36,3,29,4,15,8,4,1986,8,1
37,3,29,4,15,8,4,1519,8,1
38,3,29,5,15,1,5,1267,3,0.176792678074015
39,3,29,4,16,8,4,1475,8,1
40,3,29,4,16,8,4,3129,8,1
41,3,29,4,16,8,4,3381,8,1
42,3,29,4,15,8,4,814,8,1
43,3,29,4,15,8,4,3816,8,1
44,3,29,4,15,8,4,2399,8,1
45,3,29,4,15,8,4,593,8,1
46,3,29,4,16,8,4,2480,8,1
47,3,29,4,16,8,4,3759,8,1
48,3,29,4,15,8,4,451,8,1
49,4,29,2,12,4,2,889,4,0.420130533070809
50,4,29,2,12,4,2,422,4,0.420130533070809
51,4,29,2,12,4,2,428,4,0.420130533070809
