"seccion","munn","edo","edon","disloc2018","disloc2011","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,"bcs",3,4,9,864,4,4,11,0.261352319199881
2,1,"bcs",3,4,9,769,4,4,11,0.261352319199881
3,1,"bcs",3,4,9,2154,2,4,10,0.658399338613756
4,1,"bcs",3,4,9,713,2,4,10,0.658399338613756
5,1,"bcs",3,4,9,1292,2,4,10,0.658399338613756
6,1,"bcs",3,4,9,1046,4,4,11,0.261352319199881
7,1,"bcs",3,4,9,1254,4,4,11,0.261352319199881
8,1,"bcs",3,4,9,625,2,4,10,0.658399338613756
9,1,"bcs",3,4,9,427,2,4,10,0.658399338613756
10,1,"bcs",3,4,9,1829,2,4,10,0.658399338613756
11,1,"bcs",3,2,9,628,2,2,10,0.658399338613756
12,1,"bcs",3,2,9,396,2,2,10,0.658399338613756
13,1,"bcs",3,2,9,1409,4,2,11,0.261352319199881
14,1,"bcs",3,2,9,711,2,2,10,0.658399338613756
15,1,"bcs",3,2,9,722,2,2,10,0.658399338613756
16,1,"bcs",3,2,9,1481,2,2,10,0.658399338613756
17,1,"bcs",3,2,9,612,2,2,10,0.658399338613756
18,1,"bcs",3,4,10,1331,2,4,10,0.658399338613756
19,1,"bcs",3,4,10,1148,2,4,10,0.658399338613756
20,1,"bcs",3,2,10,1667,2,2,10,0.658399338613756
21,1,"bcs",3,2,10,1435,2,2,10,0.658399338613756
22,1,"bcs",3,2,10,2188,2,2,10,0.658399338613756
23,1,"bcs",3,2,10,1140,2,2,10,0.658399338613756
24,1,"bcs",3,2,10,824,2,2,10,0.658399338613756
25,1,"bcs",3,2,10,1224,2,2,10,0.658399338613756
26,1,"bcs",3,2,10,1199,2,2,10,0.658399338613756
27,1,"bcs",3,2,10,1289,2,2,10,0.658399338613756
28,1,"bcs",3,2,10,4007,2,2,10,0.658399338613756
29,1,"bcs",3,2,10,2084,2,2,10,0.658399338613756
30,1,"bcs",3,2,10,2203,2,2,10,0.658399338613756
31,1,"bcs",3,2,10,1424,2,2,10,0.658399338613756
32,1,"bcs",3,2,10,1525,2,2,10,0.658399338613756
33,1,"bcs",3,2,9,401,4,2,11,0.261352319199881
34,1,"bcs",3,2,9,934,4,2,11,0.261352319199881
35,1,"bcs",3,2,9,160,4,2,11,0.261352319199881
36,1,"bcs",3,2,10,472,4,2,11,0.261352319199881
37,1,"bcs",3,4,10,344,4,4,11,0.261352319199881
38,1,"bcs",3,4,10,191,4,4,11,0.261352319199881
39,1,"bcs",3,2,10,212,4,2,11,0.261352319199881
40,1,"bcs",3,4,11,988,4,4,11,0.261352319199881
41,1,"bcs",3,4,11,1258,4,4,11,0.261352319199881
42,1,"bcs",3,4,11,1682,4,4,11,0.261352319199881
43,1,"bcs",3,4,11,1471,4,4,11,0.261352319199881
44,1,"bcs",3,4,11,921,4,4,11,0.261352319199881
45,1,"bcs",3,4,11,1039,4,4,11,0.261352319199881
46,1,"bcs",3,4,11,833,4,4,11,0.261352319199881
47,1,"bcs",3,4,11,1230,4,4,11,0.261352319199881
48,1,"bcs",3,4,11,1536,3,4,15,0.271406105959547
49,1,"bcs",3,4,11,164,4,4,11,0.261352319199881
50,1,"bcs",3,4,11,238,4,4,11,0.261352319199881
51,1,"bcs",3,4,11,311,4,4,11,0.261352319199881
52,1,"bcs",3,4,11,510,4,4,11,0.261352319199881
53,1,"bcs",3,4,11,361,4,4,11,0.261352319199881
54,1,"bcs",3,4,11,1256,4,4,11,0.261352319199881
55,1,"bcs",3,4,11,475,3,4,15,0.271406105959547
56,1,"bcs",3,4,11,715,3,4,15,0.271406105959547
57,1,"bcs",3,4,11,851,3,4,15,0.271406105959547
58,1,"bcs",3,4,11,646,3,4,15,0.271406105959547
59,1,"bcs",3,2,11,1254,3,2,15,0.271406105959547
60,1,"bcs",3,2,11,1471,3,2,15,0.271406105959547
61,1,"bcs",3,2,11,2974,3,2,15,0.271406105959547
62,1,"bcs",3,2,11,142,3,2,15,0.271406105959547
63,1,"bcs",3,4,12,89,3,4,15,0.271406105959547
66,1,"bcs",3,4,12,143,3,4,15,0.271406105959547
67,1,"bcs",3,4,12,551,3,4,15,0.271406105959547
68,1,"bcs",3,4,12,488,3,4,15,0.271406105959547
69,1,"bcs",3,4,12,660,3,4,15,0.271406105959547
70,1,"bcs",3,4,12,510,3,4,15,0.271406105959547
71,1,"bcs",3,4,12,165,3,4,15,0.271406105959547
72,1,"bcs",3,4,12,517,3,4,15,0.271406105959547
73,1,"bcs",3,4,12,766,3,4,15,0.271406105959547
74,1,"bcs",3,4,12,147,4,4,11,0.261352319199881
75,2,"bcs",3,1,13,1123,1,1,14,0.793301512822587
76,2,"bcs",3,1,13,1722,1,1,14,0.793301512822587
77,2,"bcs",3,1,13,844,1,1,14,0.793301512822587
78,2,"bcs",3,1,13,1343,1,1,14,0.793301512822587
79,2,"bcs",3,1,13,615,3,1,15,0.271406105959547
80,2,"bcs",3,1,13,1236,3,1,15,0.271406105959547
81,2,"bcs",3,1,13,920,1,1,14,0.793301512822587
82,2,"bcs",3,1,13,938,1,1,14,0.793301512822587
83,2,"bcs",3,1,13,3274,3,1,15,0.271406105959547
84,2,"bcs",3,1,13,394,3,1,15,0.271406105959547
85,2,"bcs",3,1,13,1711,3,1,15,0.271406105959547
86,2,"bcs",3,1,13,159,3,1,15,0.271406105959547
87,2,"bcs",3,1,13,398,3,1,15,0.271406105959547
88,2,"bcs",3,1,13,1850,3,1,15,0.271406105959547
89,2,"bcs",3,1,13,988,3,1,15,0.271406105959547
90,2,"bcs",3,1,13,682,3,1,15,0.271406105959547
91,2,"bcs",3,1,13,837,3,1,15,0.271406105959547
92,2,"bcs",3,3,14,1871,1,3,14,0.793301512822587
93,2,"bcs",3,3,14,636,1,3,14,0.793301512822587
94,2,"bcs",3,3,14,4038,1,3,14,0.793301512822587
95,2,"bcs",3,3,14,943,1,3,14,0.793301512822587
96,2,"bcs",3,3,14,1489,1,3,14,0.793301512822587
97,2,"bcs",3,3,14,1110,1,3,14,0.793301512822587
98,2,"bcs",3,3,14,2982,1,3,14,0.793301512822587
99,2,"bcs",3,3,14,957,1,3,14,0.793301512822587
101,2,"bcs",3,3,14,1016,1,3,14,0.793301512822587
102,2,"bcs",3,3,14,3100,1,3,14,0.793301512822587
103,2,"bcs",3,3,14,2318,1,3,14,0.793301512822587
104,2,"bcs",3,3,14,8958,1,3,14,0.793301512822587
105,2,"bcs",3,3,15,302,3,3,15,0.271406105959547
107,2,"bcs",3,3,15,498,3,3,15,0.271406105959547
108,2,"bcs",3,3,15,1379,3,3,15,0.271406105959547
109,2,"bcs",3,3,15,831,3,3,15,0.271406105959547
110,2,"bcs",3,3,15,309,1,3,14,0.793301512822587
111,2,"bcs",3,1,15,466,1,1,14,0.793301512822587
112,2,"bcs",3,3,15,667,3,3,15,0.271406105959547
113,2,"bcs",3,3,15,1114,3,3,15,0.271406105959547
114,2,"bcs",3,3,15,967,3,3,15,0.271406105959547
115,2,"bcs",3,3,15,256,3,3,15,0.271406105959547
116,2,"bcs",3,3,15,1487,3,3,15,0.271406105959547
117,2,"bcs",3,1,15,750,3,1,15,0.271406105959547
118,2,"bcs",3,1,15,551,3,1,15,0.271406105959547
119,2,"bcs",3,1,15,408,3,1,15,0.271406105959547
120,2,"bcs",3,3,15,800,3,3,15,0.271406105959547
121,3,"bcs",3,12,1,1400,12,12,6,0.511591926116348
122,3,"bcs",3,11,1,949,11,11,1,0.428935756111475
123,3,"bcs",3,11,1,902,11,11,1,0.428935756111475
124,3,"bcs",3,11,1,1265,11,11,1,0.428935756111475
125,3,"bcs",3,11,1,606,11,11,1,0.428935756111475
126,3,"bcs",3,11,1,861,11,11,1,0.428935756111475
127,3,"bcs",3,11,1,870,11,11,1,0.428935756111475
128,3,"bcs",3,11,1,825,11,11,1,0.428935756111475
129,3,"bcs",3,11,1,1251,11,11,1,0.428935756111475
130,3,"bcs",3,12,1,557,12,12,6,0.511591926116348
131,3,"bcs",3,12,1,764,12,12,6,0.511591926116348
132,3,"bcs",3,12,1,557,12,12,6,0.511591926116348
133,3,"bcs",3,12,1,550,12,12,6,0.511591926116348
134,3,"bcs",3,12,1,553,12,12,6,0.511591926116348
135,3,"bcs",3,11,1,1211,11,11,1,0.428935756111475
