"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,"col",6,6,1,5884,15,11,6,0.481335534373502
2,1,"col",6,6,1,965,15,11,6,0.481335534373502
3,1,"col",6,2,2,1916,16,12,2,0.492720371151413
4,1,"col",6,2,2,871,16,12,2,0.492720371151413
5,1,"col",6,2,2,619,16,12,2,0.492720371151413
6,1,"col",6,6,1,2113,15,11,6,0.481335534373502
7,1,"col",6,2,2,937,16,12,2,0.492720371151413
8,1,"col",6,2,2,1066,16,12,2,0.492720371151413
9,1,"col",6,2,2,905,16,12,2,0.492720371151413
10,1,"col",6,2,2,1378,16,12,2,0.492720371151413
11,1,"col",6,2,2,611,16,12,2,0.492720371151413
12,1,"col",6,6,1,926,15,11,6,0.481335534373502
13,1,"col",6,6,1,1913,15,11,6,0.481335534373502
14,1,"col",6,2,2,1149,16,12,2,0.492720371151413
15,1,"col",6,2,2,564,16,12,2,0.492720371151413
16,1,"col",6,2,2,598,16,12,2,0.492720371151413
17,1,"col",6,2,2,726,16,12,2,0.492720371151413
18,1,"col",6,2,2,900,16,12,2,0.492720371151413
19,1,"col",6,2,2,1017,16,12,2,0.492720371151413
20,1,"col",6,1,2,1074,16,9,2,0.492720371151413
21,1,"col",6,1,2,1293,15,9,6,0.481335534373502
22,1,"col",6,6,1,950,14,11,3,0.333810598397012
23,1,"col",6,3,1,2813,14,10,3,0.333810598397012
24,1,"col",6,3,1,5617,14,10,3,0.333810598397012
25,1,"col",6,2,2,1306,16,12,2,0.492720371151413
26,1,"col",6,2,2,1008,16,12,2,0.492720371151413
27,1,"col",6,2,2,746,16,12,2,0.492720371151413
28,1,"col",6,2,2,491,16,12,2,0.492720371151413
29,1,"col",6,2,2,664,16,12,2,0.492720371151413
30,1,"col",6,2,2,518,16,12,2,0.492720371151413
31,1,"col",6,2,2,1026,16,12,2,0.492720371151413
32,1,"col",6,1,2,1315,16,9,2,0.492720371151413
33,1,"col",6,1,2,1493,13,9,2,0.189115958049122
34,1,"col",6,1,2,1369,13,9,2,0.189115958049122
35,1,"col",6,1,2,1542,13,9,2,0.189115958049122
36,1,"col",6,1,1,1758,13,9,2,0.189115958049122
37,1,"col",6,3,1,3045,13,10,2,0.189115958049122
