"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,"gue",12,8,8,1622,24,4,4,0.218066388914993
2,1,"gue",12,8,8,1438,24,4,4,0.218066388914993
3,1,"gue",12,8,8,3040,24,4,4,0.218066388914993
4,1,"gue",12,8,8,1299,24,4,4,0.218066388914993
5,1,"gue",12,8,8,997,24,4,4,0.218066388914993
6,1,"gue",12,8,8,1207,24,4,4,0.218066388914993
7,1,"gue",12,8,8,1671,24,4,4,0.218066388914993
8,1,"gue",12,8,8,1190,24,4,4,0.218066388914993
9,1,"gue",12,8,8,1085,24,4,4,0.218066388914993
10,1,"gue",12,8,8,1406,24,4,4,0.218066388914993
11,1,"gue",12,8,8,1315,24,4,4,0.218066388914993
12,1,"gue",12,8,8,1252,24,4,4,0.218066388914993
13,1,"gue",12,8,8,1803,24,4,4,0.218066388914993
14,1,"gue",12,4,4,878,24,9,4,0.218066388914993
15,1,"gue",12,4,4,1240,24,9,4,0.218066388914993
16,1,"gue",12,4,4,1190,24,9,4,0.218066388914993
17,1,"gue",12,4,4,1083,24,9,4,0.218066388914993
18,1,"gue",12,4,4,2265,24,9,4,0.218066388914993
19,1,"gue",12,4,4,3152,24,9,4,0.218066388914993
20,1,"gue",12,4,4,1541,18,9,4,0.504767402641206
21,1,"gue",12,4,4,1487,18,9,4,0.504767402641206
22,1,"gue",12,4,4,1891,18,9,4,0.504767402641206
23,1,"gue",12,4,4,1991,18,9,4,0.504767402641206
24,1,"gue",12,5,5,1530,18,5,4,0.504767402641206
25,1,"gue",12,5,5,1716,18,5,4,0.504767402641206
26,1,"gue",12,4,4,1368,18,9,4,0.504767402641206
27,1,"gue",12,4,4,2848,18,9,4,0.504767402641206
28,1,"gue",12,4,4,1768,18,9,4,0.504767402641206
29,1,"gue",12,4,4,1946,18,9,4,0.504767402641206
30,1,"gue",12,4,4,2352,18,9,4,0.504767402641206
31,1,"gue",12,4,4,5140,24,9,4,0.218066388914993
32,1,"gue",12,4,4,1362,18,9,4,0.504767402641206
33,1,"gue",12,4,4,2290,18,9,4,0.504767402641206
34,1,"gue",12,4,4,1367,18,9,4,0.504767402641206
35,1,"gue",12,4,4,1098,18,9,4,0.504767402641206
36,1,"gue",12,4,4,2018,18,9,4,0.504767402641206
37,1,"gue",12,4,4,1885,18,9,4,0.504767402641206
38,1,"gue",12,4,4,2267,18,9,4,0.504767402641206
39,1,"gue",12,4,4,2198,18,9,4,0.504767402641206
40,1,"gue",12,3,3,1251,18,7,4,0.504767402641206
41,1,"gue",12,4,4,1873,18,9,4,0.504767402641206
42,1,"gue",12,4,4,1810,18,9,4,0.504767402641206
43,1,"gue",12,4,4,1366,18,9,4,0.504767402641206
44,1,"gue",12,4,4,1344,18,9,4,0.504767402641206
45,1,"gue",12,4,4,1268,18,9,4,0.504767402641206
46,1,"gue",12,4,4,1038,18,9,4,0.504767402641206
47,1,"gue",12,4,4,1289,18,9,4,0.504767402641206
48,1,"gue",12,4,4,1658,18,9,4,0.504767402641206
49,1,"gue",12,4,4,2346,24,9,4,0.218066388914993
50,1,"gue",12,4,4,1917,24,9,4,0.218066388914993
51,1,"gue",12,4,4,1325,18,9,4,0.504767402641206
52,1,"gue",12,4,4,1170,18,9,4,0.504767402641206
53,1,"gue",12,4,4,1503,18,9,4,0.504767402641206
54,1,"gue",12,4,4,1623,18,9,4,0.504767402641206
55,1,"gue",12,4,4,988,18,9,4,0.504767402641206
56,1,"gue",12,3,3,1632,18,7,4,0.504767402641206
57,1,"gue",12,3,3,1305,18,7,4,0.504767402641206
58,1,"gue",12,3,3,542,18,7,4,0.504767402641206
59,1,"gue",12,3,3,907,18,7,4,0.504767402641206
60,1,"gue",12,3,3,1274,18,7,4,0.504767402641206
61,1,"gue",12,3,3,1329,18,7,4,0.504767402641206
62,1,"gue",12,3,3,753,18,7,4,0.504767402641206
63,1,"gue",12,3,3,1027,18,7,4,0.504767402641206
64,1,"gue",12,4,4,809,18,9,4,0.504767402641206
65,1,"gue",12,4,4,798,18,9,4,0.504767402641206
66,1,"gue",12,4,4,1403,18,9,4,0.504767402641206
67,1,"gue",12,4,4,700,18,9,4,0.504767402641206
68,1,"gue",12,4,4,1051,18,9,4,0.504767402641206
69,1,"gue",12,4,4,1311,24,9,4,0.218066388914993
70,1,"gue",12,4,4,1338,24,9,4,0.218066388914993
71,1,"gue",12,4,4,1482,18,9,4,0.504767402641206
72,1,"gue",12,4,4,1692,18,9,4,0.504767402641206
73,1,"gue",12,4,4,915,18,9,4,0.504767402641206
74,1,"gue",12,4,4,1112,18,9,4,0.504767402641206
75,1,"gue",12,4,4,854,18,9,4,0.504767402641206
76,1,"gue",12,3,3,666,18,7,4,0.504767402641206
77,1,"gue",12,3,3,1149,18,7,4,0.504767402641206
78,1,"gue",12,3,3,306,18,7,4,0.504767402641206
79,1,"gue",12,3,3,790,18,7,4,0.504767402641206
