"seccion","munn.x","mun","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2005","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3_c8","pan_clv1","pan_clv1.1","esc1_panCLV1","esc1_panCLV1.1","SQ","dsiSQ_E1"
1,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,1,12,1,24,24,4,4,4,0,0,4,0.206
2,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,2,12,1,24,24,4,4,4,0,0,4,0.206
3,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,3,12,1,24,24,4,4,4,0,0,4,0.206
4,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,4,12,1,24,24,4,4,4,0,0,4,0.206
5,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,5,12,1,24,24,4,4,4,0,0,4,0.206
6,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,6,12,1,24,24,4,4,4,0,0,4,0.206
7,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,7,12,1,24,24,4,4,4,0,0,4,0.206
8,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,8,12,1,24,24,4,4,4,0,0,4,0.206
9,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,9,12,1,24,24,4,4,4,0,0,4,0.206
10,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,10,12,1,24,24,4,4,4,0,0,4,0.206
11,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,11,12,1,24,24,4,4,4,0,0,4,0.206
12,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,12,12,1,24,24,4,4,4,0,0,4,0.206
13,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,8,8,13,12,1,24,24,4,4,4,0,0,4,0.206
14,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,14,12,1,24,24,9,9,9,0,0,4,0.206
15,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,15,12,1,24,24,9,9,9,0,0,4,0.206
16,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,16,12,1,24,24,9,9,9,0,0,4,0.206
17,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,17,12,1,24,24,9,9,9,0,0,4,0.206
18,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,18,12,1,24,24,9,9,9,0,0,4,0.206
19,1,"Acapulco De Juárez",12,"gue",4,10,4,4,16,4,4,19,12,1,24,24,9,9,9,0,0,4,0.206
20,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,20,12,1,18,18,9,9,9,0,0,4,0.491
21,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,21,12,1,18,18,9,9,9,0,0,4,0.491
22,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,22,12,1,18,18,9,9,9,0,0,4,0.491
23,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,23,12,1,18,18,9,9,9,0,0,4,0.491
24,1,"Acapulco De Juárez",12,"gue",4,10,4,4,17,5,5,24,12,1,18,18,5,5,5,0,0,4,0.491
25,1,"Acapulco De Juárez",12,"gue",4,10,4,4,17,5,5,25,12,1,18,18,5,5,5,0,0,4,0.491
26,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,26,12,1,18,18,9,9,9,0,0,4,0.491
27,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,27,12,1,18,18,9,9,9,0,0,4,0.491
28,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,28,12,1,18,18,9,9,9,0,0,4,0.491
29,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,29,12,1,18,18,9,9,9,0,0,4,0.491
30,1,"Acapulco De Juárez",12,"gue",4,10,4,4,5,4,4,30,12,1,18,18,9,9,9,0,0,4,0.491
